continent,variant,freq,year,netreporductionrate
935,Constant_fertility,5yearly,2080,1.30449041261342
935,Constant_mortality,5yearly,2080,0.831605132132361
935,High_variant,5yearly,2080,1.11111251205649
935,Instant_replacement,5yearly,2080,1
935,Low_variant,5yearly,2080,0.637406070895267
935,Medium_variant,5yearly,2080,0.873622159101883
935,No_change,5yearly,2080,1.22325195919011
935,Zero_migration,5yearly,2080,0.873561743459431
935,Constant_fertility,5yearly,2085,1.33015393655721
935,Constant_mortality,5yearly,2085,0.831082181717788
935,High_variant,5yearly,2085,1.11184503856086
935,Instant_replacement,5yearly,2085,1
935,Low_variant,5yearly,2085,0.637559529220564
935,Medium_variant,5yearly,2085,0.874122376098741
935,No_change,5yearly,2085,1.24280714533752
935,Zero_migration,5yearly,2085,0.874032476271291
