continent,variant,freq,year,totalfertility
909,Constant_mortality,5yearly,2040,2.08803400926103
909,High_variant,5yearly,2040,2.5864253287419
909,Instant_replacement,5yearly,2040,2.07878709314741
909,Low_variant,5yearly,2040,1.59570002122618
909,Medium_variant,5yearly,2040,2.09096175149947
909,No_change,5yearly,2040,2.5513579617416
909,Zero_migration,5yearly,2040,2.15103160416304
909,Constant_fertility,5yearly,2045,2.58503013764686
909,Constant_mortality,5yearly,2045,2.05841789626115
909,High_variant,5yearly,2045,2.55758048605973
909,Instant_replacement,5yearly,2045,2.09070931822407
909,Low_variant,5yearly,2045,1.56804733886808
909,Medium_variant,5yearly,2045,2.06215780526166
909,No_change,5yearly,2045,2.57656134462638
909,Zero_migration,5yearly,2045,2.12645278742975
909,Constant_fertility,5yearly,2050,2.61383624562722
909,Constant_mortality,5yearly,2050,2.03261027384714
909,High_variant,5yearly,2050,2.53358122717811
909,Instant_replacement,5yearly,2050,2.10859060670816
909,Low_variant,5yearly,2050,1.54256615066197
909,Medium_variant,5yearly,2050,2.03694653428136
909,No_change,5yearly,2050,2.60269959308084
909,Zero_migration,5yearly,2050,2.10304381640321
909,Constant_fertility,5yearly,2055,2.64322675208542
909,Constant_mortality,5yearly,2055,2.00629916951084
909,High_variant,5yearly,2055,2.50875937018107
909,Instant_replacement,5yearly,2055,2.10709345378317
909,Low_variant,5yearly,2055,1.51606980129938
909,Medium_variant,5yearly,2055,2.01110158545033
909,No_change,5yearly,2055,2.62902263681449
909,Zero_migration,5yearly,2055,2.07603659777533
909,Constant_fertility,5yearly,2060,2.67350171326534
909,Constant_mortality,5yearly,2060,1.97988719209279
909,High_variant,5yearly,2060,2.48317257340909
909,Instant_replacement,5yearly,2060,2.0930263864679
909,Low_variant,5yearly,2060,1.48920706561926
909,Medium_variant,5yearly,2060,1.98499034501962
909,No_change,5yearly,2060,2.65577435429705
909,Zero_migration,5yearly,2060,2.04547927528054
909,Constant_fertility,5yearly,2065,2.70564190954495
909,Constant_mortality,5yearly,2065,1.9553962663776
909,High_variant,5yearly,2065,2.45884741679196
909,Instant_replacement,5yearly,2065,2.08268248616283
909,Low_variant,5yearly,2065,1.46416337439114
909,Medium_variant,5yearly,2065,1.96067035133098
909,No_change,5yearly,2065,2.68402302427089
909,Zero_migration,5yearly,2065,2.01545663650928
909,Constant_fertility,5yearly,2070,2.74037682448669
909,Constant_mortality,5yearly,2070,1.9342589723585
909,High_variant,5yearly,2070,2.43736528860133
909,Instant_replacement,5yearly,2070,2.07900374140541
909,Low_variant,5yearly,2070,1.4424157861585
909,Medium_variant,5yearly,2070,1.93954809598906
909,No_change,5yearly,2070,2.71457939292404
909,Zero_migration,5yearly,2070,1.98868779700741
909,Constant_fertility,5yearly,2075,2.77785465309558
909,Constant_mortality,5yearly,2075,1.91757123260637
909,High_variant,5yearly,2075,2.42044120134782
909,Instant_replacement,5yearly,2075,2.07965398945127
909,Low_variant,5yearly,2075,1.42504009623106
909,Medium_variant,5yearly,2075,1.92275825097669
909,No_change,5yearly,2075,2.74764741090625
909,Zero_migration,5yearly,2075,1.96694522459332
909,Constant_fertility,5yearly,2080,2.81758587790643
909,Constant_mortality,5yearly,2080,1.90252149051528
909,High_variant,5yearly,2080,2.4058859089087
909,Instant_replacement,5yearly,2080,2.0808811056152
909,Low_variant,5yearly,2080,1.40889447685995
909,Medium_variant,5yearly,2080,1.90747854593079
909,No_change,5yearly,2080,2.78279285277749
909,Zero_migration,5yearly,2080,1.94695234607998
909,Constant_fertility,5yearly,2085,2.85869002474607
909,Constant_mortality,5yearly,2085,1.89013375887192
909,High_variant,5yearly,2085,2.39422758671956
909,Instant_replacement,5yearly,2085,2.08055060525304
909,Low_variant,5yearly,2085,1.39517194901833
909,Medium_variant,5yearly,2085,1.89471771766906
909,No_change,5yearly,2085,2.81917494684797
909,Zero_migration,5yearly,2085,1.92877117955419
909,Constant_fertility,5yearly,2090,2.90049803414767
909,Constant_mortality,5yearly,2090,1.87904583031491
909,High_variant,5yearly,2090,2.38350962578231
909,Instant_replacement,5yearly,2090,2.07831931822859
909,Low_variant,5yearly,2090,1.38290502438968
909,Medium_variant,5yearly,2090,1.88320517258257
909,No_change,5yearly,2090,2.85615760348736
909,Zero_migration,5yearly,2090,1.91177706746652
909,Constant_fertility,5yearly,2095,2.94291577955458
909,Constant_mortality,5yearly,2095,1.86993675491356
909,High_variant,5yearly,2095,2.37414294415285
909,Instant_replacement,5yearly,2095,2.07536066752379
909,Low_variant,5yearly,2095,1.3729561802244
909,Medium_variant,5yearly,2095,1.87365489291215
909,No_change,5yearly,2095,2.89370639223239
909,Zero_migration,5yearly,2095,1.89707914219639
