region,variant,freq,year,rateofnaturalincreaseper1000population
906,low_variant,5yearly,2085,-14.855
906,medium_variant,5yearly,2085,-5.163
906,momentum,5yearly,2085,0.0449999999999999
906,no_change,5yearly,2085,-11.655
906,zero_migration,5yearly,2085,-5.062
906,constant_fertility,5yearly,2090,-9.057
906,constant_mortality,5yearly,2090,-6.712
906,high_variant,5yearly,2090,3.271
906,instant_replacement,5yearly,2090,1.132
906,low_variant,5yearly,2090,-14.918
906,medium_variant,5yearly,2090,-4.711
906,momentum,5yearly,2090,-0.275
906,no_change,5yearly,2090,-11.796
906,zero_migration,5yearly,2090,-4.617
906,constant_fertility,5yearly,2095,-9.162
906,constant_mortality,5yearly,2095,-6.577
906,high_variant,5yearly,2095,3.501
906,instant_replacement,5yearly,2095,1.101
906,low_variant,5yearly,2095,-15.181
906,medium_variant,5yearly,2095,-4.511
906,momentum,5yearly,2095,-0.594999999999999
906,no_change,5yearly,2095,-11.947
906,zero_migration,5yearly,2095,-4.422
906,constant_fertility,5yearly,Regi,Eastern Asia
906,constant_mortality,5yearly,Regi,Eastern Asia
906,estimates,5yearly,Regi,Eastern Asia
906,high_variant,5yearly,Regi,Eastern Asia
906,instant_replacement,5yearly,Regi,Eastern Asia
906,low_variant,5yearly,Regi,Eastern Asia
906,medium_variant,5yearly,Regi,Eastern Asia
906,momentum,5yearly,Regi,Eastern Asia
906,no_change,5yearly,Regi,Eastern Asia
906,zero_migration,5yearly,Regi,Eastern Asia
