agebroad,gender,population,region,variant,year
0_14,female,125245.536,906,estimates,1953
0_17,female,144007.272,906,estimates,1953
0_19,female,156293.457,906,estimates,1953
0_24,female,185093.279,906,estimates,1953
3_4,female,19021.751,906,estimates,1953
3_5,female,27570.536,906,estimates,1953
3_6,female,35585.534,906,estimates,1953
4_5,female,17711.196,906,estimates,1953
4_6,female,25726.194,906,estimates,1953
5_14,female,70112.497,906,estimates,1953
5_10,female,44689.23,906,estimates,1953
5_11,female,51120.05,906,estimates,1953
6_9,female,29563.547,906,estimates,1953
6_10,female,36140.445,906,estimates,1953
6_11,female,42571.265,906,estimates,1953
6_12,female,48931.236,906,estimates,1953
7_10,female,28125.447,906,estimates,1953
7_12,female,40916.238,906,estimates,1953
11_16,female,37985.938,906,estimates,1953
11_17,female,44185.003,906,estimates,1953
11_18,female,50341.284,906,estimates,1953
12_14,female,18992.447,906,estimates,1953
12_16,female,31555.118,906,estimates,1953
12_17,female,37754.183,906,estimates,1953
12_18,female,43910.464,906,estimates,1953
13_17,female,31394.212,906,estimates,1953
13_18,female,37550.493,906,estimates,1953
13_19,female,43680.397,906,estimates,1953
15_17,female,18761.736,906,estimates,1953
18_23,female,35649.098,906,estimates,1953
15_24,female,59847.743,906,estimates,1953
15_49,female,165546.824,906,estimates,1953
15_59,female,192370.873,906,estimates,1953
15_64,female,202639.672,906,estimates,1953
20_64,female,171591.751,906,estimates,1953
20_69,female,179356.659,906,estimates,1953
25_49,female,105699.081,906,estimates,1953
25_64,female,142791.929,906,estimates,1953
25_69,female,150556.837,906,estimates,1953
15plus,female,220222.492,906,estimates,1953
16plus,female,213920.592,906,estimates,1953
17plus,female,207659.821,906,estimates,1953
18plus,female,201460.756,906,estimates,1953
20plus,female,189174.571,906,estimates,1953
21plus,female,183111.252,906,estimates,1953
25plus,female,160374.749,906,estimates,1953
50plus,female,54675.668,906,estimates,1953
60plus,female,27851.619,906,estimates,1953
65plus,female,17582.82,906,estimates,1953
70plus,female,9817.912,906,estimates,1953
75plus,female,4447.665,906,estimates,1953
80plus,female,1678.609,906,estimates,1953
85plus,female,439.575,906,estimates,1953
90plus,female,71.12,906,estimates,1953
total,female,345468.028,906,estimates,1953
0,male,13155.415,906,estimates,1953
0_1,male,26702.632,906,estimates,1953
0_4,male,58498.728,906,estimates,1953
0_14,male,135891.622,906,estimates,1953
0_17,male,157017.585,906,estimates,1953
0_19,male,170613.55,906,estimates,1953
0_24,male,202081.453,906,estimates,1953
3_4,male,20139.298,906,estimates,1953
3_5,male,29273.718,906,estimates,1953
3_6,male,37903.514,906,estimates,1953
4_5,male,18861.129,906,estimates,1953
4_6,male,27490.925,906,estimates,1953
5_14,male,77392.894,906,estimates,1953
5_10,male,48721.938,906,estimates,1953
5_11,male,55942.609,906,estimates,1953
6_9,male,32245.28,906,estimates,1953
6_10,male,39587.518,906,estimates,1953
6_11,male,46808.189,906,estimates,1953
6_12,male,53972.865,906,estimates,1953
7_10,male,30957.722,906,estimates,1953
7_12,male,45343.069,906,estimates,1953
11_16,male,42856.79,906,estimates,1953
11_17,male,49796.919,906,estimates,1953
11_18,male,56639.132,906,estimates,1953
12_14,male,21450.285,906,estimates,1953
12_16,male,35636.119,906,estimates,1953
12_17,male,42576.248,906,estimates,1953
12_18,male,49418.461,906,estimates,1953
13_17,male,35411.572,906,estimates,1953
13_18,male,42253.785,906,estimates,1953
13_19,male,49007.537,906,estimates,1953
15_17,male,21125.963,906,estimates,1953
18_23,male,39125.053,906,estimates,1953
15_24,male,66189.831,906,estimates,1953
15_49,male,177413.192,906,estimates,1953
15_59,male,204794.285,906,estimates,1953
15_64,male,214404.562,906,estimates,1953
20_64,male,179682.634,906,estimates,1953
20_69,male,186220.283,906,estimates,1953
25_49,male,111223.361,906,estimates,1953
25_64,male,148214.731,906,estimates,1953
25_69,male,154752.38,906,estimates,1953
15plus,male,227411.26,906,estimates,1953
16plus,male,220280.603,906,estimates,1953
17plus,male,213225.426,906,estimates,1953
18plus,male,206285.297,906,estimates,1953
20plus,male,192689.332,906,estimates,1953
21plus,male,186052.271,906,estimates,1953
25plus,male,161221.429,906,estimates,1953
50plus,male,49998.068,906,estimates,1953
60plus,male,22616.975,906,estimates,1953
65plus,male,13006.698,906,estimates,1953
70plus,male,6469.049,906,estimates,1953
75plus,male,2559.663,906,estimates,1953
80plus,male,824.715,906,estimates,1953
85plus,male,164.572,906,estimates,1953
90plus,male,25.166,906,estimates,1953
total,male,363302.882,906,estimates,1953
0,female,12029.52,906,estimates,1954
0_1,female,25170.865,906,estimates,1954
0_4,female,56396.132,906,estimates,1954
0_14,female,128784.529,906,estimates,1954
0_17,female,147569.425,906,estimates,1954
0_19,female,159862.236,906,estimates,1954
0_24,female,189177.885,906,estimates,1954
3_4,female,20020.294,906,estimates,1954
3_5,female,29030.577,906,estimates,1954
3_6,female,37481.829,906,estimates,1954
4_5,female,18641.511,906,estimates,1954
4_6,female,27092.763,906,estimates,1954
5_14,female,72388.397,906,estimates,1954
5_10,female,46848.946,906,estimates,1954
5_11,female,53378.851,906,estimates,1954
6_9,female,31054.17,906,estimates,1954
6_10,female,37838.663,906,estimates,1954
6_11,female,44368.568,906,estimates,1954
6_12,female,50757.469,906,estimates,1954
7_10,female,29387.411,906,estimates,1954
7_12,female,42306.217,906,estimates,1954
11_16,female,38094.548,906,estimates,1954
11_17,female,44324.347,906,estimates,1954
11_18,female,50492.597,906,estimates,1954
12_14,female,19009.546,906,estimates,1954
12_16,female,31564.643,906,estimates,1954
12_17,female,37794.442,906,estimates,1954
12_18,female,43962.692,906,estimates,1954
13_17,female,31405.541,906,estimates,1954
13_18,female,37573.791,906,estimates,1954
13_19,female,43698.352,906,estimates,1954
15_17,female,18784.896,906,estimates,1954
18_23,female,36044.336,906,estimates,1954
15_24,female,60393.356,906,estimates,1954
15_49,female,167099.515,906,estimates,1954
15_59,female,194350.043,906,estimates,1954
15_64,female,204724.364,906,estimates,1954
20_64,female,173646.657,906,estimates,1954
20_69,female,181305.326,906,estimates,1954
25_49,female,106706.159,906,estimates,1954
25_64,female,144331.008,906,estimates,1954
25_69,female,151989.677,906,estimates,1954
15plus,female,222266.846,906,estimates,1954
16plus,female,215983.048,906,estimates,1954
17plus,female,209711.749,906,estimates,1954
18plus,female,203481.95,906,estimates,1954
20plus,female,191189.139,906,estimates,1954
21plus,female,185092.567,906,estimates,1954
25plus,female,161873.49,906,estimates,1954
50plus,female,55167.331,906,estimates,1954
60plus,female,27916.803,906,estimates,1954
65plus,female,17542.482,906,estimates,1954
70plus,female,9883.813,906,estimates,1954
75plus,female,4427.397,906,estimates,1954
80plus,female,1656.064,906,estimates,1954
85plus,female,444.337,906,estimates,1954
90plus,female,72.1,906,estimates,1954
total,female,351051.375,906,estimates,1954
0,male,12766.36,906,estimates,1954
0_1,male,26819.474,906,estimates,1954
0_4,male,59829.786,906,estimates,1954
0_14,male,139076.965,906,estimates,1954
0_17,male,160282.29,906,estimates,1954
0_19,male,173974.582,906,estimates,1954
0_24,male,206016.467,906,estimates,1954
3_4,male,21150.363,906,estimates,1954
3_5,male,30709.377,906,estimates,1954
3_6,male,39727.54,906,estimates,1954
4_5,male,19733.519,906,estimates,1954
4_6,male,28751.682,906,estimates,1954
5_14,male,79247.179,906,estimates,1954
5_10,male,50575.522,906,estimates,1954
5_11,male,57859.446,906,estimates,1954
6_9,male,33516.258,906,estimates,1954
6_10,male,41016.508,906,estimates,1954
6_11,male,48300.432,906,estimates,1954
6_12,male,55468.189,906,estimates,1954
7_10,male,31998.345,906,estimates,1954
7_12,male,46450.026,906,estimates,1954
11_16,male,42865.436,906,estimates,1954
11_17,male,49876.982,906,estimates,1954
11_18,male,56772.867,906,estimates,1954
12_14,male,21387.733,906,estimates,1954
12_16,male,35581.512,906,estimates,1954
12_17,male,42593.058,906,estimates,1954
12_18,male,49488.943,906,estimates,1954
13_17,male,35425.301,906,estimates,1954
13_18,male,42321.186,906,estimates,1954
13_19,male,49117.593,906,estimates,1954
15_17,male,21205.325,906,estimates,1954
18_23,male,39665.036,906,estimates,1954
15_24,male,66939.502,906,estimates,1954
15_49,male,179443.247,906,estimates,1954
15_59,male,207084.768,906,estimates,1954
15_64,male,216772.349,906,estimates,1954
20_64,male,181874.732,906,estimates,1954
20_69,male,188367.566,906,estimates,1954
25_49,male,112503.745,906,estimates,1954
25_64,male,149832.847,906,estimates,1954
25_69,male,156325.681,906,estimates,1954
15plus,male,229727.535,906,estimates,1954
16plus,male,222621.697,906,estimates,1954
17plus,male,215533.756,906,estimates,1954
18plus,male,208522.21,906,estimates,1954
20plus,male,194829.918,906,estimates,1954
21plus,male,188124.337,906,estimates,1954
25plus,male,162788.033,906,estimates,1954
50plus,male,50284.288,906,estimates,1954
60plus,male,22642.767,906,estimates,1954
65plus,male,12955.186,906,estimates,1954
70plus,male,6462.352,906,estimates,1954
75plus,male,2510.576,906,estimates,1954
80plus,male,806.884,906,estimates,1954
85plus,male,167.509,906,estimates,1954
90plus,male,25.316,906,estimates,1954
total,male,368804.5,906,estimates,1954
0,female,11781.668,906,estimates,1955
0_1,female,24640.756,906,estimates,1955
0_4,female,56566.114,906,estimates,1955
0_14,female,131694.825,906,estimates,1955
0_17,female,150497.173,906,estimates,1955
0_19,female,162861.844,906,estimates,1955
0_24,female,192634.467,906,estimates,1955
3_4,female,20641.88,906,estimates,1955
3_5,female,30068.038,906,estimates,1955
3_6,female,38947.437,906,estimates,1955
4_5,female,19437.085,906,estimates,1955
4_6,female,28316.484,906,estimates,1955
5_14,female,75128.711,906,estimates,1955
5_10,female,49198.87,906,estimates,1955
5_11,female,55957.371,906,estimates,1955
6_9,female,32658.527,906,estimates,1955
6_10,female,39772.712,906,estimates,1955
6_11,female,46531.213,906,estimates,1955
6_12,female,53028.924,906,estimates,1955
7_10,female,30893.313,906,estimates,1955
7_12,female,44149.525,906,estimates,1955
11_16,female,38477.12,906,estimates,1955
11_17,female,44732.189,906,estimates,1955
11_18,female,50945.301,906,estimates,1955
12_14,female,19171.34,906,estimates,1955
12_16,female,31718.619,906,estimates,1955
12_17,female,37973.688,906,estimates,1955
12_18,female,44186.8,906,estimates,1955
13_17,female,31475.977,906,estimates,1955
13_18,female,37689.089,906,estimates,1955
13_19,female,43840.648,906,estimates,1955
15_17,female,18802.348,906,estimates,1955
18_23,female,36432.43,906,estimates,1955
15_24,female,60939.642,906,estimates,1955
15_49,female,169044.425,906,estimates,1955
15_59,female,196837.975,906,estimates,1955
15_64,female,207310.985,906,estimates,1955
20_64,female,176143.966,906,estimates,1955
20_69,female,183790.226,906,estimates,1955
25_49,female,108104.783,906,estimates,1955
25_64,female,146371.343,906,estimates,1955
25_69,female,154017.603,906,estimates,1955
15plus,female,224792.823,906,estimates,1955
16plus,female,218514.525,906,estimates,1955
17plus,female,212245.544,906,estimates,1955
18plus,female,205990.475,906,estimates,1955
20plus,female,193625.804,906,estimates,1955
21plus,female,187518.935,906,estimates,1955
25plus,female,163853.181,906,estimates,1955
50plus,female,55748.398,906,estimates,1955
60plus,female,27954.848,906,estimates,1955
65plus,female,17481.838,906,estimates,1955
70plus,female,9835.578,906,estimates,1955
75plus,female,4356.602,906,estimates,1955
80plus,female,1558.448,906,estimates,1955
85plus,female,407.273,906,estimates,1955
90plus,female,62.676,906,estimates,1955
total,female,356487.648,906,estimates,1955
0,male,12496.082,906,estimates,1955
0_1,male,26272.651,906,estimates,1955
0_4,male,60003.323,906,estimates,1955
0_14,male,141594.326,906,estimates,1955
0_17,male,162812.469,906,estimates,1955
0_19,male,176664.822,906,estimates,1955
0_24,male,209270.726,906,estimates,1955
3_4,male,21788.245,906,estimates,1955
3_5,male,31748.818,906,estimates,1955
3_6,male,41162.565,906,estimates,1955
4_5,male,20524.48,906,estimates,1955
4_6,male,29938.227,906,estimates,1955
5_14,male,81591.003,906,estimates,1955
5_10,male,52660.027,906,estimates,1955
5_11,male,60122.242,906,estimates,1955
6_9,male,34930.591,906,estimates,1955
6_10,male,42699.454,906,estimates,1955
6_11,male,50161.669,906,estimates,1955
6_12,male,57404.098,906,estimates,1955
7_10,male,33285.707,906,estimates,1955
7_12,male,47990.351,906,estimates,1955
11_16,male,43087.198,906,estimates,1955
11_17,male,50149.119,906,estimates,1955
11_18,male,57133.575,906,estimates,1955
12_14,male,21468.761,906,estimates,1955
12_16,male,35624.983,906,estimates,1955
12_17,male,42686.904,906,estimates,1955
12_18,male,49671.36,906,estimates,1955
13_17,male,35444.475,906,estimates,1955
13_18,male,42428.931,906,estimates,1955
13_19,male,49296.828,906,estimates,1955
15_17,male,21218.143,906,estimates,1955
18_23,male,40242.692,906,estimates,1955
15_24,male,67676.4,906,estimates,1955
15_49,male,181903.25,906,estimates,1955
15_59,male,209916.726,906,estimates,1955
15_64,male,219673.329,906,estimates,1955
20_64,male,184602.833,906,estimates,1955
20_69,male,191107.333,906,estimates,1955
25_49,male,114226.85,906,estimates,1955
25_64,male,151996.929,906,estimates,1955
25_69,male,158501.429,906,estimates,1955
15plus,male,232516.985,906,estimates,1955
16plus,male,225442.046,906,estimates,1955
17plus,male,218360.763,906,estimates,1955
18plus,male,211298.842,906,estimates,1955
20plus,male,197446.489,906,estimates,1955
21plus,male,190679.883,906,estimates,1955
25plus,male,164840.585,906,estimates,1955
50plus,male,50613.735,906,estimates,1955
60plus,male,22600.259,906,estimates,1955
65plus,male,12843.656,906,estimates,1955
70plus,male,6339.156,906,estimates,1955
75plus,male,2397.402,906,estimates,1955
80plus,male,721.771,906,estimates,1955
85plus,male,146.419,906,estimates,1955
90plus,male,19.177,906,estimates,1955
total,male,374111.311,906,estimates,1955
0,female,11640.96,906,estimates,1956
0_1,female,24246.697,906,estimates,1956
0_4,female,57667.836,906,estimates,1956
0_14,female,135839.172,906,estimates,1956
0_17,female,154542.406,906,estimates,1956
