region,year,variant,gender,agebroad,population
931,1965,estimates,female,15_59,44180.768
931,1965,estimates,male,15_59,44188.73
931,1965,estimates,female,15_64,46129.792
931,1965,estimates,male,15_64,46005.384
931,1965,estimates,female,16plus,47996.243
931,1965,estimates,male,16plus,47151.084
931,1965,estimates,female,17plus,46267.389
931,1965,estimates,male,17plus,45394.47
931,1965,estimates,female,18plus,44609.399
931,1965,estimates,male,18plus,43710.294
931,1965,estimates,female,18_23,8681.68
931,1965,estimates,male,18_23,8790.198
931,1965,estimates,female,20plus,41488.101
931,1965,estimates,male,20plus,40543.43
931,1965,estimates,female,20_64,37818.988
931,1965,estimates,male,20_64,37566.098
931,1965,estimates,female,20_69,39353.915
931,1965,estimates,male,20_69,38903.963
931,1965,estimates,female,21plus,40019.006
931,1965,estimates,male,21plus,39055.211
931,1965,estimates,female,25plus,34631.786
931,1965,estimates,male,25plus,33613.253
931,1965,estimates,female,25_49,23532.953
931,1965,estimates,male,25_49,23517.872
931,1965,estimates,female,25_64,30962.673
931,1965,estimates,male,25_64,30635.921
931,1965,estimates,female,25_69,32497.6
931,1965,estimates,male,25_69,31973.786
931,1965,estimates,female,50plus,11098.833
931,1965,estimates,male,50plus,10095.381
931,1965,estimates,female,60plus,5618.137
931,1965,estimates,male,60plus,4793.986
931,1965,estimates,female,65plus,3669.113
931,1965,estimates,male,65plus,2977.332
931,1965,estimates,female,70plus,2134.186
931,1965,estimates,male,70plus,1639.467
931,1965,estimates,female,75plus,1091.018
931,1965,estimates,male,75plus,780.095
931,1965,estimates,female,80plus,448.708
931,1965,estimates,male,80plus,298.023
931,1970,estimates,female,total,96884.568
931,1970,estimates,male,total,96601.802
931,1970,estimates,female,0_1,5855.882
931,1970,estimates,male,0_1,6019.314
931,1970,estimates,female,0_4,14535.38
931,1970,estimates,male,0_4,14880.671
931,1970,estimates,female,0_14,39602.521
931,1970,estimates,male,0_14,40342.76
931,1970,estimates,female,0_17,45824.473
931,1970,estimates,male,0_17,46653.105
931,1970,estimates,female,0_19,49621.046
931,1970,estimates,male,0_19,50501.122
931,1970,estimates,female,0_24,57818.231
931,1970,estimates,male,0_24,58798.04
931,1970,estimates,female,3_4,5758.611
931,1970,estimates,male,3_4,5872.899
931,1970,estimates,female,3_5,8573.408
931,1970,estimates,male,3_5,8736.944
931,1970,estimates,female,3_6,11332.537
931,1970,estimates,male,3_6,11541.488
931,1970,estimates,female,4_5,5676.16
931,1970,estimates,male,4_5,5779.524
931,1970,estimates,female,4_6,8435.289
931,1970,estimates,male,4_6,8584.068
931,1970,estimates,female,5_10,15924.125
931,1970,estimates,male,5_10,16177.78
931,1970,estimates,female,5_11,18313.954
931,1970,estimates,male,5_11,18604.774
931,1970,estimates,female,5_14,25067.141
931,1970,estimates,male,5_14,25462.089
931,1970,estimates,female,6_9,10634.914
931,1970,estimates,male,6_9,10801.708
931,1970,estimates,female,6_10,13109.328
931,1970,estimates,male,6_10,13313.735
931,1970,estimates,female,6_11,15499.157
931,1970,estimates,male,6_11,15740.729
931,1970,estimates,female,6_12,17811.588
931,1970,estimates,male,6_12,18089.566
931,1970,estimates,female,7_10,10350.199
931,1970,estimates,male,7_10,10509.191
931,1970,estimates,female,7_12,15052.459
931,1970,estimates,male,7_12,15285.022
931,1970,estimates,female,11_16,13352.842
931,1970,estimates,male,11_16,13554.68
931,1970,estimates,female,11_17,15364.968
931,1970,estimates,male,11_17,15594.654
931,1970,estimates,female,11_18,17303.143
931,1970,estimates,male,11_18,17559.241
931,1970,estimates,female,12_14,6753.187
931,1970,estimates,male,12_14,6857.315
931,1970,estimates,female,12_16,10963.013
931,1970,estimates,male,12_16,11127.686
931,1970,estimates,female,12_17,12975.139
931,1970,estimates,male,12_17,13167.66
931,1970,estimates,female,12_18,14913.314
931,1970,estimates,male,12_18,15132.247
931,1970,estimates,female,13_17,10662.708
931,1970,estimates,male,13_17,10818.823
931,1970,estimates,female,13_18,12600.883
931,1970,estimates,male,13_18,12783.41
931,1970,estimates,female,13_19,14459.281
931,1970,estimates,male,13_19,14666.84
931,1970,estimates,female,15plus,57282.047
931,1970,estimates,male,15plus,56259.042
931,1970,estimates,female,15_17,6221.952
931,1970,estimates,male,15_17,6310.345
931,1970,estimates,female,15_24,18215.71
931,1970,estimates,male,15_24,18455.28
931,1970,estimates,female,15_49,44606.463
931,1970,estimates,male,15_49,44792.333
931,1970,estimates,female,15_59,50685.113
931,1970,estimates,male,15_59,50645.457
931,1970,estimates,female,15_64,52975.63
931,1970,estimates,male,15_64,52761.177
931,1970,estimates,female,16plus,55148.213
931,1970,estimates,male,16plus,54094.102
931,1970,estimates,female,17plus,53072.221
931,1970,estimates,male,17plus,51988.671
931,1970,estimates,female,18plus,51060.095
931,1970,estimates,male,18plus,49948.697
931,1970,estimates,female,18_23,10487.849
931,1970,estimates,male,18_23,10623.748
931,1970,estimates,female,20plus,47263.522
931,1970,estimates,male,20plus,46100.68
931,1970,estimates,female,20_64,42957.105
931,1970,estimates,male,20_64,42602.815
931,1970,estimates,female,20_69,44677.72
931,1970,estimates,male,20_69,44125.322
931,1970,estimates,female,21plus,45481.911
931,1970,estimates,male,21plus,44295.457
931,1970,estimates,female,25plus,39066.337
931,1970,estimates,male,25plus,37803.762
931,1970,estimates,female,25_49,26390.753
931,1970,estimates,male,25_49,26337.053
931,1970,estimates,female,25_64,34759.92
931,1970,estimates,male,25_64,34305.897
931,1970,estimates,female,25_69,36480.535
931,1970,estimates,male,25_69,35828.404
931,1970,estimates,female,50plus,12675.584
931,1970,estimates,male,50plus,11466.709
931,1970,estimates,female,60plus,6596.934
931,1970,estimates,male,60plus,5613.585
931,1970,estimates,female,65plus,4306.417
931,1970,estimates,male,65plus,3497.865
931,1970,estimates,female,70plus,2585.802
931,1970,estimates,male,70plus,1975.358
931,1970,estimates,female,75plus,1324.55
931,1970,estimates,male,75plus,946.884
931,1970,estimates,female,80plus,560.212
931,1970,estimates,male,80plus,368.173
931,1975,estimates,female,total,108815.646
931,1975,estimates,male,total,108229.855
931,1975,estimates,female,0_1,6220.742
931,1975,estimates,male,0_1,6407.174
931,1975,estimates,female,0_4,15150.348
931,1975,estimates,male,0_4,15529.932
931,1975,estimates,female,0_14,42732.098
931,1975,estimates,male,0_14,43501.674
931,1975,estimates,female,0_17,49860.326
931,1975,estimates,male,0_17,50718.443
931,1975,estimates,female,0_19,54262.232
931,1975,estimates,male,0_19,55170.332
931,1975,estimates,female,0_24,64168.576
931,1975,estimates,male,0_24,65168.644
931,1975,estimates,female,3_4,5908.587
931,1975,estimates,male,3_4,6028.021
931,1975,estimates,female,3_5,8809.188
931,1975,estimates,male,3_5,8978.069
931,1975,estimates,female,3_6,11679.884
931,1975,estimates,male,3_6,11893.468
931,1975,estimates,female,4_5,5835.105
931,1975,estimates,male,4_5,5940.263
931,1975,estimates,female,4_6,8705.801
931,1975,estimates,male,4_6,8855.662
931,1975,estimates,female,5_10,16979.244
931,1975,estimates,male,5_10,17227.688
931,1975,estimates,female,5_11,19715.487
931,1975,estimates,male,5_11,20000.849
931,1975,estimates,female,5_14,27581.75
931,1975,estimates,male,5_14,27971.742
931,1975,estimates,female,6_9,11317.876
931,1975,estimates,male,6_9,11480.146
931,1975,estimates,female,6_10,14078.643
931,1975,estimates,male,6_10,14277.64
931,1975,estimates,female,6_11,16814.886
931,1975,estimates,male,6_11,17050.801
931,1975,estimates,female,6_12,19509.712
931,1975,estimates,male,6_12,19782.229
931,1975,estimates,female,7_10,11207.947
931,1975,estimates,male,7_10,11362.241
931,1975,estimates,female,7_12,16639.016
931,1975,estimates,male,7_12,16866.83
931,1975,estimates,female,11_16,15436.617
931,1975,estimates,male,11_16,15638.842
931,1975,estimates,female,11_17,17730.734
931,1975,estimates,male,11_17,17960.823
931,1975,estimates,female,11_18,19959.846
931,1975,estimates,male,11_18,20215.918
931,1975,estimates,female,12_14,7866.263
931,1975,estimates,male,12_14,7970.893
931,1975,estimates,female,12_16,12700.374
931,1975,estimates,male,12_16,12865.681
931,1975,estimates,female,12_17,14994.491
931,1975,estimates,male,12_17,15187.662
931,1975,estimates,female,12_18,17223.603
931,1975,estimates,male,12_18,17442.757
931,1975,estimates,female,13_17,12299.665
931,1975,estimates,male,13_17,12456.234
931,1975,estimates,female,13_18,14528.777
931,1975,estimates,male,13_18,14711.329
931,1975,estimates,female,13_19,16701.571
931,1975,estimates,male,13_19,16908.123
931,1975,estimates,female,15plus,66083.548
931,1975,estimates,male,15plus,64728.181
931,1975,estimates,female,15_17,7128.228
931,1975,estimates,male,15_17,7216.769
931,1975,estimates,female,15_24,21436.478
931,1975,estimates,male,15_24,21666.97
931,1975,estimates,female,15_49,51532.633
931,1975,estimates,male,15_49,51644.193
931,1975,estimates,female,15_59,58377.36
931,1975,estimates,male,15_59,58226.758
931,1975,estimates,female,15_64,60994.08
931,1975,estimates,male,15_64,60620.026
931,1975,estimates,female,16plus,63623.03
931,1975,estimates,male,16plus,62236.539
931,1975,estimates,female,17plus,61249.437
931,1975,estimates,male,17plus,59833.393
931,1975,estimates,female,18plus,58955.32
931,1975,estimates,male,18plus,57511.412
931,1975,estimates,female,18_23,12473.273
931,1975,estimates,male,18_23,12599.87
931,1975,estimates,female,20plus,54553.414
931,1975,estimates,male,20plus,53059.523
931,1975,estimates,female,20_64,49463.946
931,1975,estimates,male,20_64,48951.368
931,1975,estimates,female,20_69,51501.797
931,1975,estimates,male,20_69,50733.578
931,1975,estimates,female,21plus,52440.12
931,1975,estimates,male,21plus,50924.226
931,1975,estimates,female,25plus,44647.07
931,1975,estimates,male,25plus,43061.211
931,1975,estimates,female,25_49,30096.155
931,1975,estimates,male,25_49,29977.223
931,1975,estimates,female,25_64,39557.602
931,1975,estimates,male,25_64,38953.056
931,1975,estimates,female,25_69,41595.453
931,1975,estimates,male,25_69,40735.266
931,1975,estimates,female,50plus,14550.915
931,1975,estimates,male,50plus,13083.988
931,1975,estimates,female,60plus,7706.188
931,1975,estimates,male,60plus,6501.423
