continent,variant,year,populationdensitypersqkm
903,highvariant,2043,79.2480406339797
903,instantreplacement,2043,55.1596445030876
903,lowvariant,2043,68.2629657492564
903,mediumvariant,2043,73.7032544440341
903,nochange,2043,81.6244958055183
903,zeromigration,2043,74.3410757543465
903,constantfertility,2044,89.5408580300239
903,constantmortality,2044,70.3618788099501
903,highvariant,2044,81.0093714421425
903,instantreplacement,2044,55.6706146603835
903,lowvariant,2044,69.3088390606181
903,mediumvariant,2044,75.0937983305967
903,nochange,2044,83.7251987049562
903,zeromigration,2044,75.759865033987
903,constantfertility,2045,92.2015750495838
903,constantmortality,2045,71.4044634536731
903,highvariant,2045,82.796258905299
903,instantreplacement,2045,56.1653375434934
903,lowvariant,2045,70.3474467720995
903,mediumvariant,2045,76.4914691252799
903,nochange,2045,85.8820055579159
903,zeromigration,2045,77.1862336226654
903,constantfertility,2046,94.9518824262358
903,constantmortality,2046,72.438084366674
903,highvariant,2046,84.6084728261587
903,instantreplacement,2046,56.6436710878036
903,lowvariant,2046,71.3777856282557
903,mediumvariant,2046,77.8955379543178
903,nochange,2046,88.0966019819508
903,zeromigration,2046,78.619461955693
903,constantfertility,2047,97.7950047771196
903,constantmortality,2047,73.4620146988994
903,highvariant,2047,86.4456779767548
903,instantreplacement,2047,57.1057279129117
903,lowvariant,2047,72.3990963996341
903,mediumvariant,2047,79.3053774668521
903,nochange,2047,90.3706962264647
903,zeromigration,2047,80.0588894595989
903,constantfertility,2048,100.734090492873
903,constantmortality,2048,74.4755758658375
903,highvariant,2048,88.3073463705103
903,instantreplacement,2048,57.5531235821918
903,lowvariant,2048,73.4108157184182
903,mediumvariant,2048,80.7203849338594
903,nochange,2048,92.7059152550787
903,zeromigration,2048,81.5038470275915
903,constantfertility,2049,103.772330630737
903,constantmortality,2049,75.4781643964372
903,highvariant,2049,90.1928416510464
903,instantreplacement,2049,57.9879987786692
903,lowvariant,2049,74.4125468020545
903,mediumvariant,2049,82.1400070386285
903,nochange,2049,95.1038901800241
903,zeromigration,2049,82.9536893989573
903,constantfertility,2050,106.913082900675
903,constantmortality,2050,76.4691891305643
903,highvariant,2050,92.1015253370866
903,instantreplacement,2050,58.4121688061363
903,lowvariant,2050,75.4038871341375
903,mediumvariant,2050,83.5636848992388
903,nochange,2050,97.5663415616223
903,zeromigration,2050,84.4077834889862
903,constantfertility,2051,110.160066177861
903,constantmortality,2051,77.4480127674411
903,highvariant,2051,94.0329618919839
903,instantreplacement,2051,58.8263466184877
903,lowvariant,2051,76.3842246765666
903,mediumvariant,2051,84.9908124138129
903,nochange,2051,100.095195468194
903,zeromigration,2051,85.865487780833
903,constantfertility,2052,113.517086188465
903,constantmortality,2052,78.4140205032266
903,highvariant,2052,95.986618134966
903,instantreplacement,2052,59.2310359852085
903,lowvariant,2052,77.352999974036
903,mediumvariant,2052,86.4207759252802
903,nochange,2052,102.69242508683
903,zeromigration,2052,87.3261798142778
903,constantfertility,2053,116.987797554792
903,constantmortality,2053,79.3666974042889
903,highvariant,2053,97.9616193500567
903,instantreplacement,2053,59.6275922539805
903,lowvariant,2053,78.3099688656391
903,mediumvariant,2053,87.8530121670097
903,nochange,2053,105.359900800031
903,zeromigration,2053,88.7892823253453
903,constantfertility,2054,120.57590758313
903,constantmortality,2054,80.3055741717119
903,highvariant,2054,99.9569679144772
903,instantreplacement,2054,60.0174844376683
903,lowvariant,2054,79.2549981910971
