region,variant,freq,year,totaldeaths
1501,low variant,5Yearly,2045,171037.253
1501,medium variant,5Yearly,2045,174545.33
1501,no change,5Yearly,2045,242452.874
1501,zero-migration,5Yearly,2045,175949.745
1501,constant-fertility,5Yearly,2050,195325.741
1501,constant-mortality,5Yearly,2050,243737.828
1501,high variant,5Yearly,2050,190738.407
1501,instant-replacement,5Yearly,2050,181065.478
1501,low variant,5Yearly,2050,182492.504
1501,medium variant,5Yearly,2050,186382.982
1501,no change,5Yearly,2050,265366.906
1501,zero-migration,5Yearly,2050,188157.49
1501,constant-fertility,5Yearly,2055,208917.659
1501,constant-mortality,5Yearly,2055,260505.426
1501,high variant,5Yearly,2055,203173.553
1501,instant-replacement,5Yearly,2055,192829.311
1501,low variant,5Yearly,2055,194087.664
1501,medium variant,5Yearly,2055,198348.308
1501,no change,5Yearly,2055,288367.425
1501,zero-migration,5Yearly,2055,200558.887
1501,constant-fertility,5Yearly,2060,222889.98
1501,constant-mortality,5Yearly,2060,275829.196
1501,high variant,5Yearly,2060,215917.071
1501,instant-replacement,5Yearly,2060,204683.842
1501,low variant,5Yearly,2060,205793.724
1501,medium variant,5Yearly,2060,210517.879
1501,no change,5Yearly,2060,311231.996
1501,zero-migration,5Yearly,2060,213249.38
1501,constant-fertility,5Yearly,2065,235769.308
1501,constant-mortality,5Yearly,2065,289040.885
1501,high variant,5Yearly,2065,227516.575
1501,instant-replacement,5Yearly,2065,214913.632
1501,low variant,5Yearly,2065,215998.243
1501,medium variant,5Yearly,2065,221351.401
1501,no change,5Yearly,2065,333661.32
1501,zero-migration,5Yearly,2065,224686.963
1501,constant-fertility,5Yearly,2070,248563.366
1501,constant-mortality,5Yearly,2070,299703.022
1501,high variant,5Yearly,2070,238935.712
1501,instant-replacement,5Yearly,2070,224226.771
1501,low variant,5Yearly,2070,225403.045
1501,medium variant,5Yearly,2070,231681.743
1501,no change,5Yearly,2070,355639.471
1501,zero-migration,5Yearly,2070,235708.487
1501,constant-fertility,5Yearly,2075,260639.228
1501,constant-mortality,5Yearly,2075,307771.149
1501,high variant,5Yearly,2075,249400.823
1501,instant-replacement,5Yearly,2075,231504.16
1501,low variant,5Yearly,2075,232928.106
1501,medium variant,5Yearly,2075,240587.941
1501,no change,5Yearly,2075,377670.212
1501,zero-migration,5Yearly,2075,245354.536
1501,constant-fertility,5Yearly,2080,272497.43
1501,constant-mortality,5Yearly,2080,313487.809
1501,high variant,5Yearly,2080,259364.214
1501,instant-replacement,5Yearly,2080,236719.136
1501,low variant,5Yearly,2080,238608.704
1501,medium variant,5Yearly,2080,248315.055
1501,no change,5Yearly,2080,400744.302
1501,zero-migration,5Yearly,2080,253811.931
1501,constant-fertility,5Yearly,2085,284115.82
1501,constant-mortality,5Yearly,2085,317165.544
1501,high variant,5Yearly,2085,268490.883
1501,instant-replacement,5Yearly,2085,238927.429
1501,low variant,5Yearly,2085,241478.953
1501,medium variant,5Yearly,2085,254203.993
1501,no change,5Yearly,2085,426067.604
1501,zero-migration,5Yearly,2085,260351.767
1501,constant-fertility,5Yearly,2090,297950.218
1501,constant-mortality,5Yearly,2090,318860.376
1501,high variant,5Yearly,2090,279007.942
1501,instant-replacement,5Yearly,2090,239633.267
1501,low variant,5Yearly,2090,242870.886
1501,medium variant,5Yearly,2090,260015.817
1501,no change,5Yearly,2090,454534.391
1501,zero-migration,5Yearly,2090,266701.512
1501,constant-fertility,5Yearly,2095,314152.333
1501,constant-mortality,5Yearly,2095,318471.346
1501,high variant,5Yearly,2095,291130.334
1501,instant-replacement,5Yearly,2095,238977.216
1501,low variant,5Yearly,2095,242145.337
1501,medium variant,5Yearly,2095,265518.318
1501,no change,5Yearly,2095,486549.028
1501,zero-migration,5Yearly,2095,272655.947
