global,variant,year,potentialsupport1664_65
900,Constant_fertility,2095,4.78336308294025
900,Constant_mortality,2095,3.80786421031231
900,High_variant,2095,3.49883063935339
900,Instant_replacement,2095,2.52932873699607
900,Low_variant,2095,1.97892322647887
900,Medium_variant,2095,2.69829599597657
900,No_change,2095,6.44060427117086
900,Zero_migration,2095,2.71209208131866
900,Constant_fertility,2100,4.99702334326403
900,Constant_mortality,2100,3.78374759371377
900,High_variant,2100,3.40141897236817
900,Instant_replacement,2100,2.46349948738859
900,Low_variant,2100,1.92784875203391
900,Medium_variant,2100,2.62130823690595
900,No_change,2100,6.79673497294997
900,Zero_migration,2100,2.63508309652483
