global,variant,freq,year,netreporductionrate
900,Constant_fertility,5yearly,2080,1.90321095559653
900,Constant_mortality,5yearly,2080,0.885384494924971
900,High_variant,5yearly,2080,1.20131173022125
900,Instant_replacement,5yearly,2080,1
900,Low_variant,5yearly,2080,0.748863288624251
900,Medium_variant,5yearly,2080,0.972470201977388
900,No_change,5yearly,2080,1.63100332843236
900,Zero_migration,5yearly,2080,0.972862921638615
900,Constant_fertility,5yearly,2085,1.96951411509186
900,Constant_mortality,5yearly,2085,0.876250713932841
900,High_variant,5yearly,2085,1.19346596894616
900,Instant_replacement,5yearly,2085,1
900,Low_variant,5yearly,2085,0.7393943054557
900,Medium_variant,5yearly,2085,0.963860486685307
900,No_change,5yearly,2085,1.67360475577273
900,Zero_migration,5yearly,2085,0.964101935630645
