country,year,variant,freq,age1yearinterval,lifeexpectancy
616,2035,medium_variant,5yearly,5,76.414299
616,2035,medium_variant,5yearly,10,71.44099
616,2035,medium_variant,5yearly,15,66.475783
616,2035,medium_variant,5yearly,20,61.552986
616,2035,medium_variant,5yearly,25,56.663433
616,2035,medium_variant,5yearly,30,51.777074
616,2035,medium_variant,5yearly,35,46.914429
616,2035,medium_variant,5yearly,40,42.108249
616,2035,medium_variant,5yearly,45,37.394413
616,2035,medium_variant,5yearly,50,32.807771
616,2035,medium_variant,5yearly,55,28.40694
616,2035,medium_variant,5yearly,60,24.201864
616,2035,medium_variant,5yearly,65,20.200653
616,2035,medium_variant,5yearly,70,16.404384
616,2035,medium_variant,5yearly,75,12.83026
616,2035,medium_variant,5yearly,80,9.601905
616,2035,medium_variant,5yearly,85,6.8865416
616,2035,medium_variant,5yearly,90,4.7897614
616,2035,medium_variant,5yearly,95,3.2969466
616,2035,medium_variant,5yearly,100plus,2.2578694
616,2040,medium_variant,5yearly,0,81.958609
616,2040,medium_variant,5yearly,1,81.167324
616,2040,medium_variant,5yearly,5,77.206052
616,2040,medium_variant,5yearly,10,72.231008
616,2040,medium_variant,5yearly,15,67.263237
616,2040,medium_variant,5yearly,20,62.332733
616,2040,medium_variant,5yearly,25,57.432318
616,2040,medium_variant,5yearly,30,52.535244
616,2040,medium_variant,5yearly,35,47.659804
616,2040,medium_variant,5yearly,40,42.835792
616,2040,medium_variant,5yearly,45,38.096311
616,2040,medium_variant,5yearly,50,33.474965
616,2040,medium_variant,5yearly,55,29.025553
616,2040,medium_variant,5yearly,60,24.760326
616,2040,medium_variant,5yearly,65,20.687675
616,2040,medium_variant,5yearly,70,16.815025
616,2040,medium_variant,5yearly,75,13.166784
616,2040,medium_variant,5yearly,80,9.8673417
616,2040,medium_variant,5yearly,85,7.0847725
616,2040,medium_variant,5yearly,90,4.9283911
616,2040,medium_variant,5yearly,95,3.3847667
616,2040,medium_variant,5yearly,100plus,2.3011416
616,2045,medium_variant,5yearly,0,82.720705
616,2045,medium_variant,5yearly,1,81.917261
616,2045,medium_variant,5yearly,5,77.954072
616,2045,medium_variant,5yearly,10,72.977644
616,2045,medium_variant,5yearly,15,68.007759
616,2045,medium_variant,5yearly,20,63.071164
616,2045,medium_variant,5yearly,25,58.162084
616,2045,medium_variant,5yearly,30,53.256348
616,2045,medium_variant,5yearly,35,48.370475
616,2045,medium_variant,5yearly,40,43.531752
616,2045,medium_variant,5yearly,45,38.770885
616,2045,medium_variant,5yearly,50,34.120208
616,2045,medium_variant,5yearly,55,29.628731
616,2045,medium_variant,5yearly,60,25.31019
616,2045,medium_variant,5yearly,65,21.173661
616,2045,medium_variant,5yearly,70,17.23287
616,2045,medium_variant,5yearly,75,13.515718
616,2045,medium_variant,5yearly,80,10.146766
616,2045,medium_variant,5yearly,85,7.2969044
616,2045,medium_variant,5yearly,90,5.0791032
616,2045,medium_variant,5yearly,95,3.4830302
616,2045,medium_variant,5yearly,100plus,2.3520425
616,2050,medium_variant,5yearly,0,83.407732
616,2050,medium_variant,5yearly,1,82.592636
616,2050,medium_variant,5yearly,5,78.627577
616,2050,medium_variant,5yearly,10,73.649799
616,2050,medium_variant,5yearly,15,68.677868
616,2050,medium_variant,5yearly,20,63.736212
616,2050,medium_variant,5yearly,25,58.819957
616,2050,medium_variant,5yearly,30,53.906971
616,2050,medium_variant,5yearly,35,49.012284
616,2050,medium_variant,5yearly,40,44.16102
616,2050,medium_variant,5yearly,45,39.38178
616,2050,medium_variant,5yearly,50,34.705737
616,2050,medium_variant,5yearly,55,30.177803
616,2050,medium_variant,5yearly,60,25.812531
616,2050,medium_variant,5yearly,65,21.619574
616,2050,medium_variant,5yearly,70,17.619301
616,2050,medium_variant,5yearly,75,13.843341
616,2050,medium_variant,5yearly,80,10.413169
616,2050,medium_variant,5yearly,85,7.5017248
616,2050,medium_variant,5yearly,90,5.2271316
616,2050,medium_variant,5yearly,95,3.5811906
616,2050,medium_variant,5yearly,100plus,2.4050947
616,2055,medium_variant,5yearly,0,84.044167
616,2055,medium_variant,5yearly,1,83.218261
616,2055,medium_variant,5yearly,5,79.251446
616,2055,medium_variant,5yearly,10,74.272396
616,2055,medium_variant,5yearly,15,69.298539
616,2055,medium_variant,5yearly,20,64.352511
616,2055,medium_variant,5yearly,25,59.430059
616,2055,medium_variant,5yearly,30,54.510753
616,2055,medium_variant,5yearly,35,49.608324
616,2055,medium_variant,5yearly,40,44.745958
616,2055,medium_variant,5yearly,45,39.950376
616,2055,medium_variant,5yearly,50,35.251575
616,2055,medium_variant,5yearly,55,30.69091
616,2055,medium_variant,5yearly,60,26.283712
616,2055,medium_variant,5yearly,65,22.039547
616,2055,medium_variant,5yearly,70,17.984897
616,2055,medium_variant,5yearly,75,14.15563
616,2055,medium_variant,5yearly,80,10.671047
616,2055,medium_variant,5yearly,85,7.7027085
616,2055,medium_variant,5yearly,90,5.3736921
616,2055,medium_variant,5yearly,95,3.6798498
616,2055,medium_variant,5yearly,100plus,2.4602688
616,2060,medium_variant,5yearly,0,84.631159
616,2060,medium_variant,5yearly,1,83.796048
616,2060,medium_variant,5yearly,5,79.827734
616,2060,medium_variant,5yearly,10,74.847574
616,2060,medium_variant,5yearly,15,69.872014
616,2060,medium_variant,5yearly,20,64.922176
616,2060,medium_variant,5yearly,25,59.994284
616,2060,medium_variant,5yearly,30,55.069382
616,2060,medium_variant,5yearly,35,50.160061
616,2060,medium_variant,5yearly,40,45.287753
616,2060,medium_variant,5yearly,45,40.477451
616,2060,medium_variant,5yearly,50,35.75805
616,2060,medium_variant,5yearly,55,31.167666
616,2060,medium_variant,5yearly,60,26.722443
616,2060,medium_variant,5yearly,65,22.431908
616,2060,medium_variant,5yearly,70,18.327417
616,2060,medium_variant,5yearly,75,14.448813
616,2060,medium_variant,5yearly,80,10.914354
616,2060,medium_variant,5yearly,85,7.8952278
616,2060,medium_variant,5yearly,90,5.5159071
616,2060,medium_variant,5yearly,95,3.77644
616,2060,medium_variant,5yearly,100plus,2.5161812
616,2065,medium_variant,5yearly,0,85.221262
616,2065,medium_variant,5yearly,1,84.376412
616,2065,medium_variant,5yearly,5,80.40647
616,2065,medium_variant,5yearly,10,75.425133
616,2065,medium_variant,5yearly,15,70.44782
616,2065,medium_variant,5yearly,20,65.494398
616,2065,medium_variant,5yearly,25,60.561414
616,2065,medium_variant,5yearly,30,55.631244
616,2065,medium_variant,5yearly,35,50.715419
616,2065,medium_variant,5yearly,40,45.833711
616,2065,medium_variant,5yearly,45,41.009468
616,2065,medium_variant,5yearly,50,36.27042
616,2065,medium_variant,5yearly,55,31.65171
616,2065,medium_variant,5yearly,60,27.170055
616,2065,medium_variant,5yearly,65,22.835043
616,2065,medium_variant,5yearly,70,18.682473
616,2065,medium_variant,5yearly,75,14.754944
616,2065,medium_variant,5yearly,80,11.169852
616,2065,medium_variant,5yearly,85,8.0989441
616,2065,medium_variant,5yearly,90,5.669262
616,2065,medium_variant,5yearly,95,3.8821647
616,2065,medium_variant,5yearly,100plus,2.5784656
616,2070,medium_variant,5yearly,0,85.783414
616,2070,medium_variant,5yearly,1,84.930057
616,2070,medium_variant,5yearly,5,80.958686
616,2070,medium_variant,5yearly,10,75.976299
616,2070,medium_variant,5yearly,15,70.997411
616,2070,medium_variant,5yearly,20,66.04074
616,2070,medium_variant,5yearly,25,61.103102
616,2070,medium_variant,5yearly,30,56.168089
616,2070,medium_variant,5yearly,35,51.246267
616,2070,medium_variant,5yearly,40,46.355875
616,2070,medium_variant,5yearly,45,41.518717
616,2070,medium_variant,5yearly,50,36.761379
616,2070,medium_variant,5yearly,55,32.116282
616,2070,medium_variant,5yearly,60,27.60069
616,2070,medium_variant,5yearly,65,23.224114
616,2070,medium_variant,5yearly,70,19.026618
616,2070,medium_variant,5yearly,75,15.053272
616,2070,medium_variant,5yearly,80,11.419652
616,2070,medium_variant,5yearly,85,8.2984682
616,2070,medium_variant,5yearly,90,5.8201527
616,2070,medium_variant,5yearly,95,3.9882773
616,2070,medium_variant,5yearly,100plus,2.6424848
616,2075,medium_variant,5yearly,0,86.342101
616,2075,medium_variant,5yearly,1,85.480777
616,2075,medium_variant,5yearly,5,81.508052
616,2075,medium_variant,5yearly,10,76.524669
616,2075,medium_variant,5yearly,15,71.544298
616,2075,medium_variant,5yearly,20,66.584562
616,2075,medium_variant,5yearly,25,61.64252
616,2075,medium_variant,5yearly,30,56.702911
616,2075,medium_variant,5yearly,35,51.775397
616,2075,medium_variant,5yearly,40,46.876763
616,2075,medium_variant,5yearly,45,42.027327
616,2075,medium_variant,5yearly,50,37.252492
616,2075,medium_variant,5yearly,55,32.582137
616,2075,medium_variant,5yearly,60,28.033924
616,2075,medium_variant,5yearly,65,23.617371
616,2075,medium_variant,5yearly,70,19.376184
616,2075,medium_variant,5yearly,75,15.358008
616,2075,medium_variant,5yearly,80,11.676632
616,2075,medium_variant,5yearly,85,8.5045634
616,2075,medium_variant,5yearly,90,5.9760819
616,2075,medium_variant,5yearly,95,4.0981739
616,2075,medium_variant,5yearly,100plus,2.7107117
616,2080,medium_variant,5yearly,0,86.890077
616,2080,medium_variant,5yearly,1,86.021354
616,2080,medium_variant,5yearly,5,82.047356
616,2080,medium_variant,5yearly,10,77.063036
616,2080,medium_variant,5yearly,15,72.081277
616,2080,medium_variant,5yearly,20,67.118694
616,2080,medium_variant,5yearly,25,62.172546
616,2080,medium_variant,5yearly,30,57.228634
616,2080,medium_variant,5yearly,35,52.295789
616,2080,medium_variant,5yearly,40,47.38943
616,2080,medium_variant,5yearly,45,42.528462
616,2080,medium_variant,5yearly,50,37.737105
616,2080,medium_variant,5yearly,55,33.042883
616,2080,medium_variant,5yearly,60,28.46376
616,2080,medium_variant,5yearly,65,24.00924
616,2080,medium_variant,5yearly,70,19.726379
616,2080,medium_variant,5yearly,75,15.664873
616,2080,medium_variant,5yearly,80,11.93723
616,2080,medium_variant,5yearly,85,8.7156688
616,2080,medium_variant,5yearly,90,6.136871
616,2080,medium_variant,5yearly,95,4.2119671
616,2080,medium_variant,5yearly,100plus,2.7827929
616,2085,medium_variant,5yearly,0,87.433894
616,2085,medium_variant,5yearly,1,86.558409
616,2085,medium_variant,5yearly,5,82.583238
616,2085,medium_variant,5yearly,10,77.598047
616,2085,medium_variant,5yearly,15,72.615004
616,2085,medium_variant,5yearly,20,67.649869
616,2085,medium_variant,5yearly,25,62.700016
616,2085,medium_variant,5yearly,30,57.75219
616,2085,medium_variant,5yearly,35,52.814476
616,2085,medium_variant,5yearly,40,47.901041
616,2085,medium_variant,5yearly,45,43.029464
616,2085,medium_variant,5yearly,50,38.222788
616,2085,medium_variant,5yearly,55,33.506338
616,2085,medium_variant,5yearly,60,28.898202
616,2085,medium_variant,5yearly,65,24.407745
616,2085,medium_variant,5yearly,70,20.08488
616,2085,medium_variant,5yearly,75,15.981172
616,2085,medium_variant,5yearly,80,12.20741
616,2085,medium_variant,5yearly,85,8.9361384
616,2085,medium_variant,5yearly,90,6.3064137
616,2085,medium_variant,5yearly,95,4.3325992
616,2085,medium_variant,5yearly,100plus,2.8603394
616,2090,medium_variant,5yearly,0,87.988185
616,2090,medium_variant,5yearly,1,87.106999
616,2090,medium_variant,5yearly,5,83.130832
616,2090,medium_variant,5yearly,10,78.144878
616,2090,medium_variant,5yearly,15,73.160689
616,2090,medium_variant,5yearly,20,68.193126
