global,variant,freq,year,populationgrowthrate
900,high_variant,5yearly,2095,0.765
900,instant_replacement,5yearly,2095,0.145
900,low_variant,5yearly,2095,-0.696
900,medium_variant,5yearly,2095,0.105
900,momentum,5yearly,2095,-0.01
900,no_change,5yearly,2095,1.764
900,zero_migration,5yearly,2095,0.103
900,constant_fertility,5yearly,Regi,WORLD
900,constant_mortality,5yearly,Regi,WORLD
900,estimates,5yearly,Regi,WORLD
900,high_variant,5yearly,Regi,WORLD
900,instant_replacement,5yearly,Regi,WORLD
900,low_variant,5yearly,Regi,WORLD
900,medium_variant,5yearly,Regi,WORLD
900,momentum,5yearly,Regi,WORLD
900,no_change,5yearly,Regi,WORLD
900,zero_migration,5yearly,Regi,WORLD
