region,variant,year,populationdensitypersqkm
928,medium variant,2081,37.6872165259918
928,no change,2081,57.8594195509734
928,zero-migration,2081,38.8388942389396
928,constant-fertility,2082,66.2084253856757
928,constant-mortality,2082,33.0949036046753
928,high variant,2082,49.2816329613475
928,instant-replacement,2082,27.318969391416
928,low variant,2082,28.3938310768708
928,medium variant,2082,37.8449121018146
928,no change,2082,58.849504333541
928,zero-migration,2082,39.0100832719651
928,constant-fertility,2083,67.5232519496214
928,constant-mortality,2083,33.1134122623161
928,high variant,2083,49.7686984270851
928,instant-replacement,2083,27.3442474366963
928,low variant,2083,28.3177930096867
928,medium variant,2083,37.9970052304613
928,no change,2083,59.8575766158727
928,zero-migration,2083,39.1754697029778
928,constant-fertility,2084,68.8666458958817
928,constant-mortality,2084,33.1256028248267
928,high variant,2084,50.2550029267924
928,instant-replacement,2084,27.3682395815631
928,low variant,2084,28.235463282917
928,medium variant,2084,38.1437149493004
928,no change,2084,60.8839725070337
928,zero-migration,2084,39.3352725693461
928,constant-fertility,2085,70.2393814082592
928,constant-mortality,2085,33.1316112464359
928,high variant,2085,50.7405785607734
928,instant-replacement,2085,27.3914443248551
928,low variant,2085,28.1471647878548
928,medium variant,2085,38.2852206423837
928,no change,2085,61.9290205630771
928,zero-migration,2085,39.4896750316282
928,constant-fertility,2086,71.6421363696444
928,constant-mortality,2086,33.1315564870938
928,high variant,2086,51.2253932287241
928,instant-replacement,2086,27.4141543458147
928,low variant,2086,28.0530939028305
928,medium variant,2086,38.4215770690534
928,no change,2086,62.9930663343341
928,zero-migration,2086,39.6387545082045
928,constant-fertility,2087,73.0755754451557
928,constant-mortality,2087,33.1255424007251
928,high variant,2087,51.7093714005174
928,instant-replacement,2087,27.4365905700636
928,low variant,2087,27.9534281236428
928,medium variant,2087,38.5528389886516
928,no change,2087,64.0764364886044
928,zero-migration,2087,39.7825506523915
928,constant-fertility,2088,74.5404331652788
928,constant-mortality,2088,33.1137087180649
928,high variant,2088,52.1925092996469
