country,year,variant,agebroad,feminityrato_femaleper100male
598,1975,estimates,0_19,94.2379607437164
598,1975,estimates,0_24,94.5350328614654
598,1975,estimates,3_4,93.2229038024049
598,1975,estimates,3_5,93.2726222859171
598,1975,estimates,3_6,93.3341184783889
598,1975,estimates,4_5,93.3195814263306
598,1975,estimates,4_6,93.3891096599799
598,1975,estimates,5_10,93.8688332012109
598,1975,estimates,5_11,93.9903087994954
598,1975,estimates,5_14,94.3328289990458
598,1975,estimates,6_9,93.858916024391
598,1975,estimates,6_10,93.9803415008275
598,1975,estimates,6_11,94.1083858491736
598,1975,estimates,6_12,94.2360168796504
598,1975,estimates,7_10,94.1027442738988
598,1975,estimates,7_12,94.3692243473318
598,1975,estimates,11_16,95.3193123203379
598,1975,estimates,11_17,95.388426267524
598,1975,estimates,11_18,95.4624088273798
598,1975,estimates,12_14,95.2850680536458
598,1975,estimates,12_16,95.4281773059254
598,1975,estimates,12_17,95.4932260465407
598,1975,estimates,12_18,95.5653751000674
598,1975,estimates,13_17,95.5792412130441
598,1975,estimates,13_18,95.651381653697
598,1975,estimates,13_19,95.7328541367945
598,1975,estimates,15plus,93.8519011104474
598,1975,estimates,15_17,95.7208704274772
598,1975,estimates,15_24,96.1118891163058
598,1975,estimates,15_49,92.0498169278181
598,1975,estimates,15_59,92.219217047729
598,1975,estimates,15_64,92.5931868498723
598,1975,estimates,16plus,93.779854404372
598,1975,estimates,17plus,93.6996509084392
598,1975,estimates,18plus,93.609211926377
598,1975,estimates,18_23,96.3711015771939
598,1975,estimates,20plus,93.3849791856541
598,1975,estimates,20_64,91.8065186239529
598,1975,estimates,20_69,92.3563761190096
598,1975,estimates,21plus,93.2499103771234
598,1975,estimates,25plus,92.6415867173573
598,1975,estimates,25_49,89.2056739728369
598,1975,estimates,25_64,90.6108965709766
598,1975,estimates,25_69,91.3328305691146
598,1975,estimates,50plus,103.818566953734
598,1975,estimates,60plus,119.619588062211
598,1975,estimates,65plus,131.735337643119
598,1975,estimates,70plus,147.310412896858
598,1975,estimates,75plus,164.864309210526
598,1975,estimates,80plus,181.771170006464
598,1975,estimates,85plus,194.489795918367
598,1975,estimates,90plus,202.325581395349
598,1980,estimates,total,94.1129525427392
598,1980,estimates,0_1,93.278440745883
598,1980,estimates,0_4,93.2008651926862
598,1980,estimates,0_14,93.4388656296794
598,1980,estimates,0_17,93.6200084892415
598,1980,estimates,0_19,93.7432146486585
598,1980,estimates,0_24,94.0137168863156
598,1980,estimates,3_4,93.1391384114786
598,1980,estimates,3_5,93.1445438720082
598,1980,estimates,3_6,93.1568831054062
598,1980,estimates,4_5,93.145597747173
598,1980,estimates,4_6,93.1618595746452
598,1980,estimates,5_10,93.3284655829403
598,1980,estimates,5_11,93.3830414129006
598,1980,estimates,5_14,93.5860302797686
598,1980,estimates,6_9,93.3140766791526
598,1980,estimates,6_10,93.3672288425774
598,1980,estimates,6_11,93.4266564743782
598,1980,estimates,6_12,93.4931013365035
598,1980,estimates,7_10,93.4149576573819
598,1980,estimates,7_12,93.5513401351264
598,1980,estimates,11_16,94.3078512847121
598,1980,estimates,11_17,94.4177440741008
598,1980,estimates,11_18,94.5184559506715
598,1980,estimates,12_14,94.1980936593452
598,1980,estimates,12_16,94.4283627530191
598,1980,estimates,12_17,94.5409080819566
598,1980,estimates,12_18,94.6425683484736
598,1980,estimates,13_17,94.6655597066556
598,1980,estimates,13_18,94.7671721927839
598,1980,estimates,13_19,94.8540029860244
598,1980,estimates,15plus,94.6742459109254
598,1980,estimates,15_17,94.919324863953
598,1980,estimates,15_24,95.3899299248991
598,1980,estimates,15_49,93.1899702551929
598,1980,estimates,15_59,93.0827618538316
598,1980,estimates,15_64,93.3844314665355
598,1980,estimates,16plus,94.6742186779755
598,1980,estimates,17plus,94.663203662811
598,1980,estimates,18plus,94.6420592155906
598,1980,estimates,18_23,95.5605230926397
598,1980,estimates,20plus,94.5771010159596
598,1980,estimates,20_64,92.9731631904487
598,1980,estimates,20_69,93.4889745284119
598,1980,estimates,21plus,94.5353219013408
598,1980,estimates,25plus,94.2925724560853
598,1980,estimates,25_49,91.6523266413215
598,1980,estimates,25_64,92.258082957278
598,1980,estimates,25_69,92.9232518002117
598,1980,estimates,50plus,102.793028166494
598,1980,estimates,60plus,119.282045678068
598,1980,estimates,65plus,132.589030500723
598,1980,estimates,70plus,149.985861727697
598,1980,estimates,75plus,171.161898115841
598,1980,estimates,80plus,192.584745762712
598,1980,estimates,85plus,212.527472527473
598,1980,estimates,90plus,231.067961165049
598,1985,estimates,total,94.9589605168579
598,1985,estimates,0_1,94.2333686056122
598,1985,estimates,0_4,94.1455070848694
598,1985,estimates,0_14,93.883291004666
598,1985,estimates,0_17,93.9143243946139
598,1985,estimates,0_19,93.9674440764316
598,1985,estimates,0_24,94.173277670399
598,1985,estimates,3_4,94.0466094507955
598,1985,estimates,3_5,94.0086194594286
598,1985,estimates,3_6,93.9716801934036
598,1985,estimates,4_5,93.9697318438655
598,1985,estimates,4_6,93.9327527874342
598,1985,estimates,5_10,93.770661962789
598,1985,estimates,5_11,93.7474166081098
598,1985,estimates,5_14,93.732802344087
598,1985,estimates,6_9,93.7622745536117
598,1985,estimates,6_10,93.7375259442249
