country,variant,freq,year,crudedeathrateper1000population
887,low_variant,5yearly,2050,7.827
887,medium_variant,5yearly,2050,7.115
887,momentum,5yearly,2050,10.605
887,no_change,5yearly,2050,8.225
887,zero_migration,5yearly,2050,7.088
887,constant_fertility,5yearly,2055,5.608
887,constant_mortality,5yearly,2055,10.521
887,high_variant,5yearly,2055,6.984
887,instant_replacement,5yearly,2055,9.18
887,low_variant,5yearly,2055,8.788
887,medium_variant,5yearly,2055,7.787
887,momentum,5yearly,2055,11.774
887,no_change,5yearly,2055,8.504
887,zero_migration,5yearly,2055,7.76
887,constant_fertility,5yearly,2060,5.611
887,constant_mortality,5yearly,2060,11.576
887,high_variant,5yearly,2060,7.479
887,instant_replacement,5yearly,2060,10.146
887,low_variant,5yearly,2060,9.914
887,medium_variant,5yearly,2060,8.549
887,momentum,5yearly,2060,12.983
887,no_change,5yearly,2060,8.725
887,zero_migration,5yearly,2060,8.525
887,constant_fertility,5yearly,2065,5.549
887,constant_mortality,5yearly,2065,12.641
887,high_variant,5yearly,2065,7.929
887,instant_replacement,5yearly,2065,10.983
887,low_variant,5yearly,2065,11.057
887,medium_variant,5yearly,2065,9.284
887,momentum,5yearly,2065,14.067
887,no_change,5yearly,2065,8.854
887,zero_migration,5yearly,2065,9.263
887,constant_fertility,5yearly,2070,5.409
887,constant_mortality,5yearly,2070,13.656
887,high_variant,5yearly,2070,8.31
887,instant_replacement,5yearly,2070,11.652
887,low_variant,5yearly,2070,12.187
887,medium_variant,5yearly,2070,9.962
887,momentum,5yearly,2070,14.922
887,no_change,5yearly,2070,8.889
887,zero_migration,5yearly,2070,9.946
887,constant_fertility,5yearly,2075,5.206
887,constant_mortality,5yearly,2075,14.612
887,high_variant,5yearly,2075,8.61
887,instant_replacement,5yearly,2075,12.117
887,low_variant,5yearly,2075,13.268
887,medium_variant,5yearly,2075,10.561
887,momentum,5yearly,2075,15.516
887,no_change,5yearly,2075,8.861
887,zero_migration,5yearly,2075,10.549
887,constant_fertility,5yearly,2080,4.995
887,constant_mortality,5yearly,2080,15.547
887,high_variant,5yearly,2080,8.887
887,instant_replacement,5yearly,2080,12.415
887,low_variant,5yearly,2080,14.357
887,medium_variant,5yearly,2080,11.138
887,momentum,5yearly,2080,15.861
887,no_change,5yearly,2080,8.819
887,zero_migration,5yearly,2080,11.125
887,constant_fertility,5yearly,2085,4.793
887,constant_mortality,5yearly,2085,16.491
887,high_variant,5yearly,2085,9.153
887,instant_replacement,5yearly,2085,12.503
887,low_variant,5yearly,2085,15.443
887,medium_variant,5yearly,2085,11.696
887,momentum,5yearly,2085,15.96
887,no_change,5yearly,2085,8.8
887,zero_migration,5yearly,2085,11.675
887,constant_fertility,5yearly,2090,4.615
887,constant_mortality,5yearly,2090,17.413
887,high_variant,5yearly,2090,9.419
887,instant_replacement,5yearly,2090,12.349
887,low_variant,5yearly,2090,16.494
887,medium_variant,5yearly,2090,12.234
887,momentum,5yearly,2090,15.81
887,no_change,5yearly,2090,8.81
887,zero_migration,5yearly,2090,12.197
887,constant_fertility,5yearly,2095,4.466
887,constant_mortality,5yearly,2095,18.237
887,high_variant,5yearly,2095,9.691
887,instant_replacement,5yearly,2095,11.979
887,low_variant,5yearly,2095,17.47
887,medium_variant,5yearly,2095,12.743
887,momentum,5yearly,2095,15.525
887,no_change,5yearly,2095,8.832
887,zero_migration,5yearly,2095,12.69
