continent,year,variant,gender,agebroad,percentagetotalpopulation
903,1955,Estimates,female,12_17,12.5852529068131
903,1955,Estimates,male,12_17,12.7984545449776
903,1955,Estimates,female,12_18,14.504656703521
903,1955,Estimates,male,12_18,14.7505862331221
903,1955,Estimates,female,13_17,10.3439798411869
903,1955,Estimates,male,13_17,10.5181144160366
903,1955,Estimates,female,13_18,12.2633836378948
903,1955,Estimates,male,13_18,12.4702461041812
903,1955,Estimates,female,13_19,14.1358171902627
903,1955,Estimates,male,13_19,14.3743947834608
903,1955,Estimates,female,15plus,58.5091865751745
903,1955,Estimates,male,15plus,57.4025300898553
903,1955,Estimates,female,15_17,6.04583546790277
903,1955,Estimates,male,15_17,6.14811714381558
903,1955,Estimates,female,15_24,18.5323375482936
903,1955,Estimates,male,15_24,18.8413661897468
903,1955,Estimates,female,15_49,46.7365880729057
903,1955,Estimates,male,15_49,47.0303650821979
903,1955,Estimates,female,15_59,52.9171263009461
903,1955,Estimates,male,15_59,52.7384021961593
903,1955,Estimates,female,15_64,55.083866912111
903,1955,Estimates,male,15_64,54.6395574356608
903,1955,Estimates,female,16plus,56.4450250273335
903,1955,Estimates,male,16plus,55.3037127196875
903,1955,Estimates,female,17plus,54.4302721510986
903,1955,Estimates,male,17plus,53.2548811178019
903,1955,Estimates,female,18plus,52.4633511072718
903,1955,Estimates,male,18plus,51.2544129460397
903,1955,Estimates,female,18_23,10.8393217682025
903,1955,Estimates,male,18_23,11.0219126290617
903,1955,Estimates,female,20plus,48.6715137581959
903,1955,Estimates,male,20plus,47.3981325786156
903,1955,Estimates,female,20_64,45.2461940951324
903,1955,Estimates,male,20_64,44.6351599244211
903,1955,Estimates,female,20_69,46.812687193409
903,1955,Estimates,male,20_69,45.9594586332856
903,1955,Estimates,female,21plus,46.8439344336958
903,1955,Estimates,male,21plus,45.5395520257535
903,1955,Estimates,female,25plus,39.9768490268809
903,1955,Estimates,male,25plus,38.5611639001085
903,1955,Estimates,female,25_49,28.2042505246121
903,1955,Estimates,male,25_49,28.1889988924511
903,1955,Estimates,female,25_64,36.5515293638174
903,1955,Estimates,male,25_64,35.798191245914
903,1955,Estimates,female,25_69,38.118022462094
903,1955,Estimates,male,25_69,37.1224899547785
903,1955,Estimates,female,50plus,11.7725985022688
903,1955,Estimates,male,50plus,10.3721650076575
903,1955,Estimates,female,60plus,5.59206027422838
903,1955,Estimates,male,60plus,4.6641278936961
903,1955,Estimates,female,65plus,3.4253196630635
903,1955,Estimates,male,65plus,2.76297265419452
903,1955,Estimates,female,70plus,1.85882656478694
903,1955,Estimates,male,70plus,1.43867394533001
903,1955,Estimates,female,75plus,0.846219559324701
903,1955,Estimates,male,75plus,0.615065090790624
903,1955,Estimates,female,80plus,0.29753507948776
903,1955,Estimates,male,80plus,0.200065124949283
903,1960,Estimates,female,total,100
903,1960,Estimates,male,total,100
903,1960,Estimates,female,0_1,7.55482263154552
903,1960,Estimates,male,0_1,7.78896688687007
903,1960,Estimates,female,0_4,17.3721488106612
903,1960,Estimates,male,0_4,17.8975069424936
903,1960,Estimates,female,0_14,42.3246933394045
903,1960,Estimates,male,0_14,43.5516037866827
903,1960,Estimates,female,0_17,48.3094295574191
903,1960,Estimates,male,0_17,49.6501124123617
903,1960,Estimates,female,0_19,52.0140346930998
903,1960,Estimates,male,0_19,53.4064405931523
903,1960,Estimates,female,0_24,60.4565576886996
903,1960,Estimates,male,0_24,61.9272977501518
903,1960,Estimates,female,3_4,6.36474514831203
903,1960,Estimates,male,3_4,6.55220219547951
903,1960,Estimates,female,3_5,9.31524480761683
903,1960,Estimates,male,3_5,9.58849152558214
903,1960,Estimates,female,3_6,12.1337351985821
903,1960,Estimates,male,3_6,12.4885661226755
903,1960,Estimates,female,4_5,6.04948897394803
903,1960,Estimates,male,4_5,6.22604568287711
903,1960,Estimates,female,4_6,8.8679793649133
903,1960,Estimates,male,4_6,9.12612027997049
903,1960,Estimates,female,5_10,15.9916713301982
903,1960,Estimates,male,5_10,16.4528062769195
903,1960,Estimates,female,5_11,18.341627614303
903,1960,Estimates,male,5_11,18.8700475940129
903,1960,Estimates,female,5_14,24.9525445287433
903,1960,Estimates,male,5_14,25.6540968441891
903,1960,Estimates,female,6_9,10.6199309404478
903,1960,Estimates,male,6_9,10.9260381071172
903,1960,Estimates,female,6_10,13.0411716708934
903,1960,Estimates,male,6_10,13.4165169468168
903,1960,Estimates,female,6_11,15.3911279549982
903,1960,Estimates,male,6_11,15.8337582639103
903,1960,Estimates,female,6_12,17.6704246845756
903,1960,Estimates,male,6_12,18.1769679165861
903,1960,Estimates,female,7_10,10.2226812799281
903,1960,Estimates,male,7_10,10.5164423497234
903,1960,Estimates,female,7_12,14.8519342936103
