agebroad,gender,percentagetotalpopulation,continent,variant,year
13_19,male,14.175,935,estimates,1951
15_17,male,6.074,935,estimates,1951
18_23,male,11.096,935,estimates,1951
15_24,male,18.862,935,estimates,1951
15_49,male,50.002,935,estimates,1951
15_59,male,57.015,935,estimates,1951
15_64,male,59.449,935,estimates,1951
20_64,male,49.511,935,estimates,1951
20_69,male,51.187,935,estimates,1951
25_49,male,31.139,935,estimates,1951
25_64,male,40.587,935,estimates,1951
25_69,male,42.264,935,estimates,1951
15plus,male,63.023,935,estimates,1951
16plus,male,60.962,935,estimates,1951
17plus,male,58.938,935,estimates,1951
18plus,male,56.949,935,estimates,1951
20plus,male,53.084,935,estimates,1951
21plus,male,51.213,935,estimates,1951
25plus,male,44.161,935,estimates,1951
50plus,male,13.021,935,estimates,1951
60plus,male,6.008,935,estimates,1951
65plus,male,3.574,935,estimates,1951
70plus,male,1.897,935,estimates,1951
75plus,male,0.858,935,estimates,1951
80plus,male,0.299,935,estimates,1951
85plus,male,0.078,935,estimates,1951
90plus,male,0.015,935,estimates,1951
total,male,100,935,estimates,1951
0_1,female,7.067,935,estimates,1952
0_4,female,15.52,935,estimates,1952
0_14,female,37.134,935,estimates,1952
0_17,female,43.027,935,estimates,1952
0_19,female,46.798,935,estimates,1952
0_24,female,55.438,935,estimates,1952
3_4,female,5.436,935,estimates,1952
3_5,female,7.914,935,estimates,1952
3_6,female,10.27,935,estimates,1952
4_5,female,5.107,935,estimates,1952
4_6,female,7.463,935,estimates,1952
5_14,female,21.614,935,estimates,1952
5_10,female,13.462,935,estimates,1952
5_11,female,15.515,935,estimates,1952
6_9,female,8.906,935,estimates,1952
6_10,female,10.983,935,estimates,1952
6_11,female,13.036,935,estimates,1952
6_12,female,15.074,935,estimates,1952
7_10,female,8.627,935,estimates,1952
7_12,female,12.718,935,estimates,1952
11_16,female,12.114,935,estimates,1952
11_17,female,14.045,935,estimates,1952
11_18,female,15.948,935,estimates,1952
12_14,female,6.099,935,estimates,1952
