country,variant,year,oldagedependencyratio2569
600,instantreplacement,2075,29.0881042132025
600,lowvariant,2075,35.4366752065386
600,mediumvariant,2075,28.3543121764351
600,nochange,2075,20.4360509037168
600,zeromigration,2075,28.1405594385681
600,constantfertility,2080,23.6785570786371
600,constantmortality,2080,25.4284439694976
600,highvariant,2080,23.6280117893092
600,instantreplacement,2080,30.5692922659985
600,lowvariant,2080,39.6991906466541
600,mediumvariant,2080,29.9836774330181
600,nochange,2080,20.0332303074103
600,zeromigration,2080,29.7214325548984
600,constantfertility,2085,23.5038132561077
600,constantmortality,2085,26.1451966973588
600,highvariant,2085,23.6912039252272
600,instantreplacement,2085,31.8183120330976
600,lowvariant,2085,44.633254150677
600,mediumvariant,2085,31.54500373345
600,nochange,2085,19.424141611079
600,zeromigration,2085,31.1460413603082
600,constantfertility,2090,24.0125465086095
600,constantmortality,2090,27.2306090218516
600,highvariant,2090,24.9761345780571
600,instantreplacement,2090,31.602758617354
600,lowvariant,2090,48.7136448406586
600,mediumvariant,2090,33.5755412732894
600,nochange,2090,19.4511393019878
600,zeromigration,2090,33.0006310438827
600,constantfertility,2095,24.897132733224
600,constantmortality,2095,28.3877612261343
600,highvariant,2095,26.8529503617619
600,instantreplacement,2095,32.2013034062425
600,lowvariant,2095,52.0871244649534
600,mediumvariant,2095,35.8405055975336
600,nochange,2095,19.7547222877465
600,zeromigration,2095,35.1319622292406
600,constantfertility,2100,25.8148369578922
600,constantmortality,2100,29.3317241412209
600,highvariant,2100,28.7835182362873
600,instantreplacement,2100,33.3234948713494
600,lowvariant,2100,54.7208851153431
600,mediumvariant,2100,38.0294876057594
600,nochange,2100,20.0066544379994
600,zeromigration,2100,37.1892762229919
