global,variant,year,populationdensitypersqkm
900,constantfertility,2031,67.5825960281285
900,constantmortality,2031,64.7292678888397
900,highvariant,2031,68.5645523393164
900,instantreplacement,2031,64.3806969741653
900,lowvariant,2031,63.1849047989249
900,mediumvariant,2031,65.8754379484389
900,nochange,2031,66.386803307129
900,zeromigration,2031,65.8878175576316
900,constantfertility,2032,68.3150454016603
900,constantmortality,2032,65.1255002216541
900,highvariant,2032,69.3114880447128
900,instantreplacement,2032,64.8228381694079
900,lowvariant,2032,63.4900705406218
900,mediumvariant,2032,66.4013405867661
900,nochange,2032,66.9798047228052
900,zeromigration,2032,66.414218082065
900,constantfertility,2033,69.0552744800481
900,constantmortality,2033,65.5086097519488
900,highvariant,2033,70.0536362276029
900,instantreplacement,2033,65.2584402165288
900,lowvariant,2033,63.7883306146314
900,mediumvariant,2033,66.9210849784449
900,nochange,2033,67.572233683223
900,zeromigration,2033,66.9343237355733
900,constantfertility,2034,69.8041423036129
900,constantmortality,2034,65.8786099545946
900,highvariant,2034,70.7934529272802
900,instantreplacement,2034,65.6867603757195
900,lowvariant,2034,64.0778037198826
900,mediumvariant,2034,67.4347744871892
900,nochange,2034,68.1647231767893
900,zeromigration,2034,67.4482309868566
900,constantfertility,2035,70.5624748289086
900,constantmortality,2035,66.2355056953038
900,highvariant,2035,71.5329519336214
900,instantreplacement,2035,66.1071707318273
900,lowvariant,2035,64.356962115012
900,mediumvariant,2035,67.9424662870382
900,nochange,2035,68.7578923019551
900,zeromigration,2035,67.9559935662903
900,constantfertility,2036,71.3309806896387
900,constantmortality,2036,66.5793385747619
900,highvariant,2036,72.272645729869
900,instantreplacement,2036,66.51948807119
900,lowvariant,2036,64.6255581867738
900,mediumvariant,2036,68.4441772119719
900,nochange,2036,69.3522908995633
900,zeromigration,2036,68.4576219355398
900,constantfertility,2037,72.1103365887514
900,constantmortality,2037,66.9101259650218
900,highvariant,2037,73.0126705713357
900,instantreplacement,2037,66.923555668682
900,lowvariant,2037,64.8836634834278
900,mediumvariant,2037,68.9398574441702
900,nochange,2037,69.948461292816
900,zeromigration,2037,68.9530672606887
900,constantfertility,2038,72.9013083416761
900,constantmortality,2038,67.2278063874647
900,highvariant,2038,73.7542731334083
900,instantreplacement,2038,67.3188133832172
900,lowvariant,2038,65.1303531660812
900,mediumvariant,2038,69.4293928892178
900,nochange,2038,70.5470146551264
900,zeromigration,2038,69.4422293295903
900,constantfertility,2039,73.7046744546648
900,constantmortality,2039,67.532284626331
900,highvariant,2039,74.4988414661609
900,instantreplacement,2039,67.7046263277617
900,lowvariant,2039,65.3645465085716
900,mediumvariant,2039,69.9126181743965
900,nochange,2039,71.1485794935263
900,zeromigration,2039,69.9249619787123
900,constantfertility,2040,74.52120227281
900,constantmortality,2040,67.8234760966346
900,highvariant,2040,75.2474985728755
900,instantreplacement,2040,68.0805494164883
900,lowvariant,2040,65.5853147133306
900,mediumvariant,2040,70.3893591102873
900,nochange,2040,71.7537745759368
900,zeromigration,2040,70.4011069148327
900,constantfertility,2041,75.3517178987134
900,constantmortality,2041,68.1013775315071
900,highvariant,2041,76.0008545738804
900,instantreplacement,2041,68.4463463817928
900,lowvariant,2041,65.7921723390985
900,mediumvariant,2041,70.8595317729646
900,nochange,2041,72.3632462964549
900,zeromigration,2041,70.8705847184606
900,constantfertility,2042,76.1969671776306
900,constantmortality,2042,68.3659659091355
900,highvariant,2042,76.7592106667486
900,instantreplacement,2042,68.8021101180369
900,lowvariant,2042,65.9847377387876
900,mediumvariant,2042,71.322991843716
900,nochange,2042,72.9775861273558
900,zeromigration,2042,71.3332515551489
900,constantfertility,2043,77.0575505061525
900,constantmortality,2043,68.6171123765459
900,highvariant,2043,77.5229359691669
900,instantreplacement,2043,69.1481639760042
900,lowvariant,2043,66.1623391750892
900,mediumvariant,2043,71.7794194999757
900,nochange,2043,73.5972992417838
900,zeromigration,2043,71.7887950584783
900,constantfertility,2044,77.9340101690475
900,constantmortality,2044,68.8546556657447
900,highvariant,2044,78.2922629899192
900,instantreplacement,2044,69.4850269496136
900,lowvariant,2044,66.3242928963065
900,mediumvariant,2044,72.2284278753534
900,nochange,2044,74.2228551617415
900,zeromigration,2044,72.2368358566388
900,constantfertility,2045,78.8269910845568
900,constantmortality,2045,69.078483219666
900,highvariant,2045,79.0673147093027
900,instantreplacement,2045,69.8131325100147
900,lowvariant,2045,66.4700773411463
900,mediumvariant,2045,72.6696931886076
900,nochange,2045,74.8547904146222
900,zeromigration,2045,72.6770556721013
900,constantfertility,2046,79.7373469045905
900,constantmortality,2046,69.2885958915391
900,highvariant,2046,79.8482365606084
900,instantreplacement,2046,70.1325270313642
900,lowvariant,2046,66.5993772068512
900,mediumvariant,2046,73.1030407353071
900,nochange,2046,75.4937858234718
900,zeromigration,2046,73.1092830519292
900,constantfertility,2047,80.6660423161483
900,constantmortality,2047,69.48503750352
900,highvariant,2047,80.6349756128828
900,instantreplacement,2047,70.4432455806112
900,lowvariant,2047,66.7121056869649
900,mediumvariant,2047,73.5283692425338
900,nochange,2047,76.1405880099072
900,zeromigration,2047,73.5334178531566
900,constantfertility,2048,81.6139949863861
900,constantmortality,2048,69.6678020906914
900,highvariant,2048,81.427135306745
900,instantreplacement,2048,70.7457092071187
900,lowvariant,2048,66.8083072416436
900,mediumvariant,2048,73.9455224309937
900,nochange,2048,76.7958981822325
900,zeromigration,2048,73.9493053415263
900,constantfertility,2049,82.5821672885919
900,constantmortality,2049,69.8368954181151
900,highvariant,2049,82.2241269602096
900,instantreplacement,2049,71.0404272886829
900,lowvariant,2049,66.8881719411297
900,mediumvariant,2049,74.3543623850364
900,nochange,2049,77.4604419234331
900,zeromigration,2049,74.3568079857248
900,constantfertility,2050,83.5715755954654
900,constantmortality,2050,69.9923624148391
900,highvariant,2050,83.0253853743091
900,instantreplacement,2050,71.3277681589423
900,lowvariant,2050,66.9519104254063
900,mediumvariant,2050,74.75477162039
900,nochange,2050,78.1349916518554
900,zeromigration,2050,74.755807648107
900,constantfertility,2051,84.58331626033
900,constantmortality,2051,70.1343267760282
900,highvariant,2051,83.8307759233218
900,instantreplacement,2051,71.6080159662605
900,lowvariant,2051,66.9996212616556
900,mediumvariant,2051,75.1467195745407
900,nochange,2051,78.8203504175412
900,zeromigration,2051,75.1462739506409
900,constantfertility,2052,85.6185244776515
900,constantmortality,2052,70.2629371710948
900,highvariant,2052,84.6399942504208
900,instantreplacement,2052,71.8811379650866
900,lowvariant,2052,67.031454103194
900,mediumvariant,2052,75.530146290846
900,nochange,2052,79.5173939871775
900,zeromigration,2052,75.5281443001291
900,constantfertility,2053,86.6783440510545
900,constantmortality,2053,70.3783174412521
900,highvariant,2053,85.4520793582463
900,instantreplacement,2053,72.1467929483195
900,lowvariant,2053,67.0477842171076
900,mediumvariant,2053,75.904893599072
900,nochange,2053,80.2270810213528
900,zeromigration,2053,75.901252524432
900,constantfertility,2054,87.7639572332824
900,constantmortality,2054,70.4806079157898
900,highvariant,2054,86.2658497319828
900,instantreplacement,2054,72.4044494156993
900,lowvariant,2054,67.0490826166282
900,mediumvariant,2054,76.2707825593885
900,nochange,2054,80.9504295069839
900,zeromigration,2054,76.2654089991384
900,constantfertility,2055,88.8766213689293
900,constantmortality,2055,70.570004929651
900,highvariant,2055,87.0804046460694
900,instantreplacement,2055,72.653760825521
900,lowvariant,2055,67.035819077421
900,mediumvariant,2055,76.6277323225697
900,nochange,2055,81.6884584302654
900,zeromigration,2055,76.6205244503453
900,constantfertility,2056,90.0176913551209
900,constantmortality,2056,70.6467066625983
900,highvariant,2056,87.8954435716802
900,instantreplacement,2056,72.8947460795003
900,lowvariant,2056,67.0082814451758
900,mediumvariant,2056,76.9757553949561
900,nochange,2056,82.4421335159083
900,zeromigration,2056,76.9666092474774
900,constantfertility,2057,91.1886022925223
900,constantmortality,2057,70.7110331985469
900,highvariant,2057,88.7109864482421
900,instantreplacement,2057,73.1276865972049
900,lowvariant,2057,66.9668415663753
900,mediumvariant,2057,77.3150358050055
900,nochange,2057,83.2124314729869
900,zeromigration,2057,77.3038456664134
900,constantfertility,2058,92.3908380926544
900,constantmortality,2058,70.763471762082
900,highvariant,2058,89.5268931002006
900,instantreplacement,2058,73.3528289080488
900,lowvariant,2058,66.9121720546176
900,mediumvariant,2058,77.6458999782011
900,nochange,2058,84.0004140106472
900,zeromigration,2058,77.6325512160078
900,constantfertility,2059,93.6259471281152
900,constantmortality,2059,70.8046022184882
900,highvariant,2059,90.3431333032585
900,instantreplacement,2059,73.5705150031816
900,lowvariant,2059,66.8450527613355
900,mediumvariant,2059,77.9687837608979
900,nochange,2059,84.8071747072956
900,zeromigration,2059,77.953151465432
900,constantfertility,2060,94.8955367673017
900,constantmortality,2060,70.834949818698
900,highvariant,2060,91.1597871302799
900,instantreplacement,2060,73.7810700551464
900,lowvariant,2060,66.7661494742938
900,mediumvariant,2060,78.2840809145001
900,nochange,2060,85.6338061420617
900,zeromigration,2060,78.2660333656308
900,constantfertility,2061,96.2012007500043
900,constantmortality,2061,70.8548653705623
900,highvariant,2061,91.9768253793057
900,instantreplacement,2061,73.9846529413582
900,lowvariant,2061,66.6758225713458
900,mediumvariant,2061,78.5919398316972
900,nochange,2061,86.4813831838052
900,zeromigration,2061,78.5713447327875
900,constantfertility,2062,97.5446455806217
900,constantmortality,2062,70.8646499486659
900,highvariant,2062,92.794500083462
900,instantreplacement,2062,74.181456660711
900,lowvariant,2062,66.5743395590436
900,mediumvariant,2062,78.8925372231619
900,nochange,2062,87.3509729070222
900,zeromigration,2062,78.8692652677202
900,constantfertility,2063,98.9277679414095
900,constantmortality,2063,70.8647220349981
900,highvariant,2063,93.6135708395982
900,instantreplacement,2063,74.371896136229
900,lowvariant,2063,66.4621399349478
900,mediumvariant,2063,79.1863334098582
900,nochange,2063,88.2436621180937
900,zeromigration,2063,79.1602587658032
900,constantfertility,2064,100.352568808434
900,constantmortality,2064,70.8555090512368
900,highvariant,2064,94.4350454343154
900,instantreplacement,2064,74.5564562710994
900,lowvariant,2064,66.3396557327862
900,mediumvariant,2064,79.4738645732759
900,nochange,2064,89.1605443646794
900,zeromigration,2064,79.4448669814196
900,constantfertility,2065,101.821026143633
900,constantmortality,2065,70.8374057734374
900,highvariant,2065,95.2597741373545
900,instantreplacement,2065,74.7355490212613
900,lowvariant,2065,66.2072192276577
900,mediumvariant,2065,79.755547081548
900,nochange,2065,90.1027296671422
900,zeromigration,2065,79.7235125781496
900,constantfertility,2066,103.335108646416
900,constantmortality,2066,70.8107425473246
900,highvariant,2066,96.0881414014665
900,instantreplacement,2066,74.90948482376
900,lowvariant,2066,66.065136490534
900,mediumvariant,2066,80.0316287016549
900,nochange,2066,91.071353896382
900,zeromigration,2066,79.9964485653367
900,constantfertility,2067,104.896675603004
900,constantmortality,2067,70.7758168962054
900,highvariant,2067,96.9203785824232
900,instantreplacement,2067,75.0784411733166
900,lowvariant,2067,65.9135021145483
900,mediumvariant,2067,80.3021612038515
900,nochange,2067,92.0675667056392
900,zeromigration,2067,80.2637344845386
900,constantfertility,2068,106.507499124197
900,constantmortality,2068,70.7329389035347
900,highvariant,2068,97.7570042436851
900,instantreplacement,2068,75.2425346932868
900,lowvariant,2068,65.7521492434401
900,mediumvariant,2068,80.5671092060317
900,nochange,2068,93.092518086372
900,zeromigration,2068,80.5253482056051
900,constantfertility,2069,108.169309704738
900,constantmortality,2069,70.682402687389
900,highvariant,2069,98.5985469338007
900,instantreplacement,2069,75.4018183376846
900,lowvariant,2069,65.5807582544992
900,mediumvariant,2069,80.8263356304008
900,nochange,2069,94.147368676185
900,zeromigration,2069,80.7811684085765
900,constantfertility,2070,109.883976669742
900,constantmortality,2070,70.6244786983455
900,highvariant,2070,99.4454569886466
900,instantreplacement,2070,75.5563971689953
900,lowvariant,2070,65.3991047177151
