global,variant,year,sexratio_maleper100female
900,low_variant,2075,99.6052911734851
900,medium_variant,2075,100.752497698463
900,momentum,2075,100.633928218102
900,no_change,2075,101.582303900455
900,zero_migration,2075,100.763254195773
900,constant_fertility,2080,102.204285646095
900,constant_mortality,2080,99.9318666777531
900,high_variant,2080,101.646093149966
900,instant_replacement,2080,101.143514073679
900,low_variant,2080,99.4109235407905
900,medium_variant,2080,100.692700517198
900,momentum,2080,100.590163110848
900,no_change,2080,101.599393149686
900,zero_migration,2080,100.699866637457
900,constant_fertility,2085,102.271644408437
900,constant_mortality,2085,99.7517078020531
900,high_variant,2085,101.643532799093
900,instant_replacement,2085,101.173768407163
900,low_variant,2085,99.1924105469842
900,medium_variant,2085,100.614067474903
900,momentum,2085,100.522387935023
900,no_change,2085,101.588463898914
900,zero_migration,2085,100.621814501933
900,constant_fertility,2090,102.326474465848
900,constant_mortality,2090,99.5559935206944
900,high_variant,2090,101.624939140529
900,instant_replacement,2090,101.216231242804
900,low_variant,2090,98.9656422103007
900,medium_variant,2090,100.524563521851
900,momentum,2090,100.430859998949
900,no_change,2090,101.561090388917
900,zero_migration,2090,100.536441233476
900,constant_fertility,2095,102.373023928264
900,constant_mortality,2095,99.369766150335
900,high_variant,2095,101.592756877349
900,instant_replacement,2095,101.27096711958
900,low_variant,2095,98.7472227156476
900,medium_variant,2095,100.430862718583
900,momentum,2095,100.326594267522
900,no_change,2095,101.53236335159
900,zero_migration,2095,100.447875814979
900,constant_fertility,2100,102.420348293057
900,constant_mortality,2100,99.2098735654352
900,high_variant,2100,101.559128809875
900,instant_replacement,2100,101.340109050793
900,low_variant,2100,98.5670625955759
900,medium_variant,2100,100.349936258248
900,momentum,2100,100.225062315433
900,no_change,2100,101.509944445807
900,zero_migration,2100,100.371283219944
