global,year,variant,agebroad,feminityratio_femaleper100male
900,1955,estimates,0_14,95.8515269163973
900,1955,estimates,0_17,95.8115406150987
900,1955,estimates,0_19,95.8213901244244
900,1955,estimates,0_24,95.9572425415408
900,1955,estimates,3_4,96.2031821878853
900,1955,estimates,3_5,96.2424447105239
900,1955,estimates,3_6,96.2600438380269
900,1955,estimates,4_5,96.2973633787777
900,1955,estimates,4_6,96.3040338647753
900,1955,estimates,5_10,96.1356552713076
900,1955,estimates,5_11,96.0530760191038
900,1955,estimates,5_14,95.8553100917853
900,1955,estimates,6_9,96.1693537473557
900,1955,estimates,6_10,96.0918755984573
900,1955,estimates,6_11,95.9998639286991
900,1955,estimates,6_12,95.9098241709267
900,1955,estimates,7_10,96.0288262923399
900,1955,estimates,7_12,95.8312738764402
900,1955,estimates,11_16,95.405490652796
900,1955,estimates,11_17,95.4431663655927
900,1955,estimates,11_18,95.4911670701327
900,1955,estimates,12_14,95.3149819263356
900,1955,estimates,12_16,95.389805177051
900,1955,estimates,12_17,95.4365909339868
900,1955,estimates,12_18,95.4926291050036
900,1955,estimates,13_17,95.4648936889079
900,1955,estimates,13_18,95.5257289494937
900,1955,estimates,13_19,95.5958708886386
900,1955,estimates,15plus,102.72938965384
900,1955,estimates,15_17,95.5582475109237
900,1955,estimates,15_24,96.1707047888099
900,1955,estimates,15_49,99.0373944969141
900,1955,estimates,15_59,100.004435346195
900,1955,estimates,15_64,100.62737280918
900,1955,estimates,16plus,102.954260128766
900,1955,estimates,17plus,103.191917996499
900,1955,estimates,18plus,103.440517165698
900,1955,estimates,18_23,96.3899825160293
900,1955,estimates,20plus,103.954649174893
900,1955,estimates,20_64,101.561534273289
900,1955,estimates,20_69,102.308562471433
900,1955,estimates,21plus,104.216249178816
900,1955,estimates,25plus,105.318436004353
900,1955,estimates,25_49,100.702093232195
900,1955,estimates,25_64,102.573647001701
900,1955,estimates,25_69,103.423146571881
900,1955,estimates,50plus,115.118233272323
900,1955,estimates,60plus,124.8181423831
900,1955,estimates,65plus,131.140975639483
900,1955,estimates,70plus,138.877115579472
900,1955,estimates,75plus,147.340850911596
900,1955,estimates,80plus,160.651916199763
900,1955,estimates,85plus,181.848643670354
900,1955,estimates,90plus,211.719115720312
900,1960,estimates,total,100.042205953035
900,1960,estimates,0_1,96.1112378855906
900,1960,estimates,0_4,95.8547722830509
900,1960,estimates,0_14,95.8752553226276
900,1960,estimates,0_17,95.8528197870823
900,1960,estimates,0_19,95.8448044825419
900,1960,estimates,0_24,95.9144903591966
900,1960,estimates,3_4,95.624763028201
900,1960,estimates,3_5,95.606657565193
900,1960,estimates,3_6,95.6028615696579
900,1960,estimates,4_5,95.5794958918153
900,1960,estimates,4_6,95.5831656397295
900,1960,estimates,5_10,95.719919060829
900,1960,estimates,5_11,95.7793786740741
900,1960,estimates,5_14,95.8880465610278
900,1960,estimates,6_9,95.7002864773433
900,1960,estimates,6_10,95.7534221014805
900,1960,estimates,6_11,95.8191191071544
900,1960,estimates,6_12,95.8800035669102
900,1960,estimates,7_10,95.7980795103358
900,1960,estimates,7_12,95.9352662401632
