region,year,variant,gender,freq,agebroad,totaldeaths
1517,1965,estimates,female,5yearly,0_19,42772.237
1517,1965,estimates,male,5yearly,0_19,48825.474
1517,1965,estimates,female,5yearly,0_24,44419.512
1517,1965,estimates,male,5yearly,0_24,50670.407
1517,1965,estimates,female,5yearly,5_14,4602.543
1517,1965,estimates,male,5yearly,5_14,4804.555
1517,1965,estimates,female,5yearly,15plus,43067.046
1517,1965,estimates,male,5yearly,15plus,45539.05
1517,1965,estimates,female,5yearly,15_24,3216.261
1517,1965,estimates,male,5yearly,15_24,3616.992
1517,1965,estimates,female,5yearly,15_49,13645.15
1517,1965,estimates,male,5yearly,15_49,15582.109
1517,1965,estimates,female,5yearly,15_59,19902.64
1517,1965,estimates,male,5yearly,15_59,23458.47
1517,1965,estimates,female,5yearly,15_64,24011.093
1517,1965,estimates,male,5yearly,15_64,28469.745
1517,1965,estimates,female,5yearly,20plus,41498.06
1517,1965,estimates,male,5yearly,20plus,43766.991
1517,1965,estimates,female,5yearly,20_64,22442.107
1517,1965,estimates,male,5yearly,20_64,26697.686
1517,1965,estimates,female,5yearly,20_69,27038.584
1517,1965,estimates,male,5yearly,20_69,31887.384
1517,1965,estimates,female,5yearly,25plus,39850.785
1517,1965,estimates,male,5yearly,25plus,41922.058
1517,1965,estimates,female,5yearly,25_69,25391.309
1517,1965,estimates,male,5yearly,25_69,30042.451
1517,1965,estimates,female,5yearly,40plus,34072.337
1517,1965,estimates,male,5yearly,40plus,35579.212
1517,1965,estimates,female,5yearly,50plus,29421.896
1517,1965,estimates,male,5yearly,50plus,29956.941
1517,1965,estimates,female,5yearly,60plus,23164.406
1517,1965,estimates,male,5yearly,60plus,22080.58
1517,1965,estimates,female,5yearly,65plus,19055.953
1517,1965,estimates,male,5yearly,65plus,17069.305
1517,1965,estimates,female,5yearly,70plus,14459.476
1517,1965,estimates,male,5yearly,70plus,11879.607
1517,1965,estimates,female,5yearly,80plus,5433.123
1517,1965,estimates,male,5yearly,80plus,3548.328
1517,1965,estimates,female,5yearly,90plus,689.051
1517,1965,estimates,male,5yearly,90plus,333.679
1517,1970,estimates,female,5yearly,"Region, subregion, country or area *",Middle-income countries
1517,1970,estimates,male,5yearly,"Region, subregion, country or area *",Middle-income countries
1517,1970,estimates,female,5yearly,0_4,33490.233
1517,1970,estimates,male,5yearly,0_4,37360.958
1517,1970,estimates,female,5yearly,0_14,37877.058
1517,1970,estimates,male,5yearly,0_14,41934.971
1517,1970,estimates,female,5yearly,0_19,39322.34
1517,1970,estimates,male,5yearly,0_19,43553.012
1517,1970,estimates,female,5yearly,0_24,40895.269
1517,1970,estimates,male,5yearly,0_24,45299.568
1517,1970,estimates,female,5yearly,5_14,4386.825
1517,1970,estimates,male,5yearly,5_14,4574.013
