continent,year,variant,gender,freq,agebroad,totaldeaths
908,1975,estimates,male,5yearly,20plus,17344.031
908,1975,estimates,female,5yearly,20_64,3331.136
908,1975,estimates,male,5yearly,20_64,6378.554
908,1975,estimates,female,5yearly,20_69,5083.387
908,1975,estimates,male,5yearly,20_69,8720.028
908,1975,estimates,female,5yearly,25plus,16880.606
908,1975,estimates,male,5yearly,25plus,17084.636
908,1975,estimates,female,5yearly,25_69,5004.594
908,1975,estimates,male,5yearly,25_69,8460.633
908,1975,estimates,female,5yearly,40plus,16536.665
908,1975,estimates,male,5yearly,40plus,16129.289
908,1975,estimates,female,5yearly,50plus,15918.527
908,1975,estimates,male,5yearly,50plus,14711.723
908,1975,estimates,female,5yearly,60plus,14652.14
908,1975,estimates,male,5yearly,60plus,12508.693
908,1975,estimates,female,5yearly,65plus,13628.263
908,1975,estimates,male,5yearly,65plus,10965.477
908,1975,estimates,female,5yearly,70plus,11876.012
908,1975,estimates,male,5yearly,70plus,8624.003
908,1975,estimates,female,5yearly,80plus,6291.617
908,1975,estimates,male,5yearly,80plus,3350.507
908,1975,estimates,female,5yearly,90plus,1236.279
908,1975,estimates,male,5yearly,90plus,475.36
908,1980,estimates,female,5yearly,0_4,468.784
908,1980,estimates,male,5yearly,0_4,638.907
908,1980,estimates,female,5yearly,0_14,536.818
908,1980,estimates,male,5yearly,0_14,757.397
908,1980,estimates,female,5yearly,0_19,590.963
908,1980,estimates,male,5yearly,0_19,905.54
908,1980,estimates,female,5yearly,0_24,664.833
908,1980,estimates,male,5yearly,0_24,1158.379
908,1980,estimates,female,5yearly,5_14,68.034
908,1980,estimates,male,5yearly,5_14,118.49
908,1980,estimates,female,5yearly,15plus,18101.452
908,1980,estimates,male,5yearly,15plus,18405.111
908,1980,estimates,female,5yearly,15_24,128.015
908,1980,estimates,male,5yearly,15_24,400.982
908,1980,estimates,female,5yearly,15_49,1054.362
908,1980,estimates,male,5yearly,15_49,2819.826
908,1980,estimates,female,5yearly,15_59,2421.856
908,1980,estimates,male,5yearly,15_59,5518.602
908,1980,estimates,female,5yearly,15_64,3428.904
