region,variant,year,potentialsupport2569_70
913,Instant_replacement,2070,5.55440056702813
913,Low_variant,2070,4.58845115411742
913,Medium_variant,2070,5.44494577683237
913,No_change,2070,8.3971284943995
913,Zero_migration,2070,5.41868880092014
913,Constant_fertility,2075,6.07151566566932
913,Constant_mortality,2075,7.24470260104646
913,High_variant,2075,6.19621322494553
913,Instant_replacement,2075,5.29497277273312
913,Low_variant,2075,4.13611667848194
913,Medium_variant,2075,5.13142303736061
913,No_change,2075,8.65090410889095
913,Zero_migration,2075,5.11111805033737
913,Constant_fertility,2080,5.82932228351215
913,Constant_mortality,2080,6.89903624173169
913,High_variant,2080,5.91922777679907
913,Instant_replacement,2080,4.91985289750885
913,Low_variant,2080,3.59316160064039
913,Medium_variant,2080,4.69910324173447
913,No_change,2080,8.65394158146929
913,Zero_migration,2080,4.67571645157263
913,Constant_fertility,2085,5.64421571573958
913,Constant_mortality,2085,6.61313861086867
913,High_variant,2085,5.68352826164829
913,Instant_replacement,2085,4.5980968519798
913,Low_variant,2085,3.10836016231581
913,Medium_variant,2085,4.31434547448761
913,No_change,2085,8.75828225732076
913,Zero_migration,2085,4.28705881624836
913,Constant_fertility,2090,5.40038090543178
913,Constant_mortality,2090,6.37538411795828
913,High_variant,2090,5.26244213776941
913,Instant_replacement,2090,4.40117339564312
913,Low_variant,2090,2.81822718486285
913,Medium_variant,2090,3.97596971001261
913,No_change,2090,8.74344354714066
913,Zero_migration,2090,3.95085666481999
913,Constant_fertility,2095,5.20190272118201
