region,variant,freq,year,netreporductionrate
923,Constant_fertility,5yearly,2080,0.757217022672174
923,Constant_mortality,5yearly,2080,0.885391194101399
923,High_variant,5yearly,2080,1.13569001624634
923,Instant_replacement,5yearly,2080,1
923,Low_variant,5yearly,2080,0.656260868810263
923,Medium_variant,5yearly,2080,0.89601871206721
923,No_change,5yearly,2080,0.750844556521402
923,Zero_migration,5yearly,2080,0.894697532392788
923,Constant_fertility,5yearly,2085,0.758706378012263
923,Constant_mortality,5yearly,2085,0.887723148681935
923,High_variant,5yearly,2085,1.13877207922566
923,Instant_replacement,5yearly,2085,1
923,Low_variant,5yearly,2085,0.659267634166588
923,Medium_variant,5yearly,2085,0.899055221366419
923,No_change,5yearly,2085,0.751688363321935
923,Zero_migration,5yearly,2085,0.897734865097579
