region,variant,freq,year,birthper1000population
5500,instant_replacement,5yearly,2035,15.854
5500,low_variant,5yearly,2035,12.932
5500,medium_variant,5yearly,2035,16.048
5500,momentum,5yearly,2035,16.338
5500,no_change,5yearly,2035,20.154
5500,zero_migration,5yearly,2035,16.104
5500,constant_fertility,5yearly,2040,20.057
5500,constant_mortality,5yearly,2040,16.031
5500,high_variant,5yearly,2040,19.015
5500,instant_replacement,5yearly,2040,15.415
5500,low_variant,5yearly,2040,12.356
5500,medium_variant,5yearly,2040,15.763
5500,momentum,5yearly,2040,15.996
5500,no_change,5yearly,2040,20.381
5500,zero_migration,5yearly,2040,15.807
5500,constant_fertility,5yearly,2045,19.589
5500,constant_mortality,5yearly,2045,15.281
5500,high_variant,5yearly,2045,18.602
5500,instant_replacement,5yearly,2045,14.591
5500,low_variant,5yearly,2045,11.261
5500,medium_variant,5yearly,2045,14.958
5500,momentum,5yearly,2045,15.279
5500,no_change,5yearly,2045,19.982
5500,zero_migration,5yearly,2045,15.015
5500,constant_fertility,5yearly,2050,18.999
5500,constant_mortality,5yearly,2050,14.277
5500,high_variant,5yearly,2050,17.761
5500,instant_replacement,5yearly,2050,13.812
5500,low_variant,5yearly,2050,10.036
5500,medium_variant,5yearly,2050,13.903
5500,momentum,5yearly,2050,14.614
5500,no_change,5yearly,2050,19.462
5500,zero_migration,5yearly,2050,13.984
5500,constant_fertility,5yearly,2055,18.788
5500,constant_mortality,5yearly,2055,13.462
5500,high_variant,5yearly,2055,16.916
5500,instant_replacement,5yearly,2055,13.39
5500,low_variant,5yearly,2055,9.11
5500,medium_variant,5yearly,2055,13.028
5500,momentum,5yearly,2055,14.311
5500,no_change,5yearly,2055,19.339
5500,zero_migration,5yearly,2055,13.122
5500,constant_fertility,5yearly,2060,18.972
5500,constant_mortality,5yearly,2060,13.072
5500,high_variant,5yearly,2060,16.426
5500,instant_replacement,5yearly,2060,13.312
5500,low_variant,5yearly,2060,8.626
5500,medium_variant,5yearly,2060,12.559
5500,momentum,5yearly,2060,14.36
5500,no_change,5yearly,2060,19.629
5500,zero_migration,5yearly,2060,12.645
5500,constant_fertility,5yearly,2065,19.206
5500,constant_mortality,5yearly,2065,12.961
5500,high_variant,5yearly,2065,16.257
5500,instant_replacement,5yearly,2065,13.334
5500,low_variant,5yearly,2065,8.379
5500,medium_variant,5yearly,2065,12.353
5500,momentum,5yearly,2065,14.512
5500,no_change,5yearly,2065,19.973
5500,zero_migration,5yearly,2065,12.423
5500,constant_fertility,5yearly,2070,19.232
5500,constant_mortality,5yearly,2070,12.87
5500,high_variant,5yearly,2070,16.177
5500,instant_replacement,5yearly,2070,13.236
5500,low_variant,5yearly,2070,8.124
5500,medium_variant,5yearly,2070,12.166
5500,momentum,5yearly,2070,14.54
5500,no_change,5yearly,2070,20.092
5500,zero_migration,5yearly,2070,12.225
5500,constant_fertility,5yearly,2075,19.084
5500,constant_mortality,5yearly,2075,12.628
5500,high_variant,5yearly,2075,15.952
5500,instant_replacement,5yearly,2075,12.992
5500,low_variant,5yearly,2075,7.743
5500,medium_variant,5yearly,2075,11.84
5500,momentum,5yearly,2075,14.414
5500,no_change,5yearly,2075,20.021
5500,zero_migration,5yearly,2075,11.899
5500,constant_fertility,5yearly,2080,18.954
5500,constant_mortality,5yearly,2080,12.276
5500,high_variant,5yearly,2080,15.56
5500,instant_replacement,5yearly,2080,12.712
5500,low_variant,5yearly,2080,7.298
5500,medium_variant,5yearly,2080,11.409
5500,momentum,5yearly,2080,14.249
5500,no_change,5yearly,2080,19.971
5500,zero_migration,5yearly,2080,11.476
5500,constant_fertility,5yearly,2085,18.952
5500,constant_mortality,5yearly,2085,11.954
5500,high_variant,5yearly,2085,15.127
5500,instant_replacement,5yearly,2085,12.513
5500,low_variant,5yearly,2085,6.906
5500,medium_variant,5yearly,2085,10.999
5500,momentum,5yearly,2085,14.172
5500,no_change,5yearly,2085,20.066
5500,zero_migration,5yearly,2085,11.072
5500,constant_fertility,5yearly,2090,19.026
5500,constant_mortality,5yearly,2090,11.774
5500,high_variant,5yearly,2090,14.799
5500,instant_replacement,5yearly,2090,12.43
5500,low_variant,5yearly,2090,6.645
5500,medium_variant,5yearly,2090,10.712
5500,momentum,5yearly,2090,14.218
5500,no_change,5yearly,2090,20.254
5500,zero_migration,5yearly,2090,10.782
5500,constant_fertility,5yearly,2095,19.073
5500,constant_mortality,5yearly,2095,11.74
5500,high_variant,5yearly,2095,14.622
5500,instant_replacement,5yearly,2095,12.407
5500,low_variant,5yearly,2095,6.505
5500,medium_variant,5yearly,2095,10.555
5500,momentum,5yearly,2095,14.319
5500,no_change,5yearly,2095,20.413
5500,zero_migration,5yearly,2095,10.617
5500,constant_fertility,5yearly,Regi,Central Asia
5500,constant_mortality,5yearly,Regi,Central Asia
5500,estimates,5yearly,Regi,Central Asia
5500,high_variant,5yearly,Regi,Central Asia
5500,instant_replacement,5yearly,Regi,Central Asia
5500,low_variant,5yearly,Regi,Central Asia
5500,medium_variant,5yearly,Regi,Central Asia
5500,momentum,5yearly,Regi,Central Asia
5500,no_change,5yearly,Regi,Central Asia
5500,zero_migration,5yearly,Regi,Central Asia
