global,year,variant,freq,age1yearinterval,lifeexpectancy
900,1990,estimates,5yearly,55,21.8725655637747
900,1990,estimates,5yearly,60,18.1320083097607
900,1990,estimates,5yearly,65,14.7238703263419
900,1990,estimates,5yearly,70,11.6805151914
900,1990,estimates,5yearly,75,9.06569027218855
900,1990,estimates,5yearly,80,6.91116970398987
900,1990,estimates,5yearly,85,5.20553727053365
900,1990,estimates,5yearly,90,3.90982693405382
900,1990,estimates,5yearly,95,2.96424073502019
900,1990,estimates,5yearly,100plus,2.29898414129295
900,1995,estimates,5yearly,0,65.6712936253097
900,1995,estimates,5yearly,1,68.634020138641
900,1995,estimates,5yearly,5,66.4832220321358
900,1995,estimates,5yearly,10,61.996032532518
900,1995,estimates,5yearly,15,57.3113196181912
900,1995,estimates,5yearly,20,52.7289535581367
900,1995,estimates,5yearly,25,48.2388302957312
900,1995,estimates,5yearly,30,43.7623796810933
900,1995,estimates,5yearly,35,39.3030095615878
900,1995,estimates,5yearly,40,34.8979511159174
900,1995,estimates,5yearly,45,30.5612942608897
900,1995,estimates,5yearly,50,26.3403594186794
900,1995,estimates,5yearly,55,22.3026160543819
900,1995,estimates,5yearly,60,18.5236970872859
900,1995,estimates,5yearly,65,15.0628978593692
900,1995,estimates,5yearly,70,11.9712131144513
900,1995,estimates,5yearly,75,9.2992091330077
900,1995,estimates,5yearly,80,7.09026496381117
900,1995,estimates,5yearly,85,5.33626227486537
900,1995,estimates,5yearly,90,4.00054523127681
900,1995,estimates,5yearly,95,3.02417521471207
900,1995,estimates,5yearly,100plus,2.33680945582897
900,2000,estimates,5yearly,0,67.1952275999692
900,2000,estimates,5yearly,1,69.657727196284
900,2000,estimates,5yearly,5,67.189582537391
900,2000,estimates,5yearly,10,62.7083668278566
900,2000,estimates,5yearly,15,58.0072032750644
900,2000,estimates,5yearly,20,53.3888043805242
900,2000,estimates,5yearly,25,48.8861803751532
900,2000,estimates,5yearly,30,44.4203525415659
