country,year,variant,agebroad,population
512,1990,estimates,4_5,121.801
512,1990,estimates,4_6,179.831
512,1990,estimates,5_10,327.784
512,1990,estimates,5_11,374.38
512,1990,estimates,5_14,496.807
512,1990,estimates,6_9,218.886
512,1990,estimates,6_10,267.786
512,1990,estimates,6_11,314.382
512,1990,estimates,6_12,358.354
512,1990,estimates,7_10,209.756
512,1990,estimates,7_12,300.324
512,1990,estimates,11_16,234.709
512,1990,estimates,11_17,263.658
512,1990,estimates,11_18,291.585
512,1990,estimates,12_14,122.427
512,1990,estimates,12_16,188.113
512,1990,estimates,12_17,217.062
512,1990,estimates,12_18,244.989
512,1990,estimates,13_17,173.09
512,1990,estimates,13_18,201.017
512,1990,estimates,13_19,228.799
512,1990,estimates,15plus,992.176
512,1990,estimates,15_17,94.6350000000001
512,1990,estimates,15_24,288.635
512,1990,estimates,15_49,848.039
512,1990,estimates,15_59,928.158
512,1990,estimates,15_64,950.743
512,1990,estimates,16plus,957.751
512,1990,estimates,17plus,926.49
512,1990,estimates,18plus,897.541
512,1990,estimates,18_23,166.452
512,1990,estimates,20plus,841.832
512,1990,estimates,20_64,800.399
512,1990,estimates,20_69,816.993
512,1990,estimates,21plus,814.179
512,1990,estimates,25plus,703.541
512,1990,estimates,25_49,559.404
512,1990,estimates,25_64,662.108
512,1990,estimates,25_69,678.702
512,1990,estimates,50plus,144.137
512,1990,estimates,60plus,64.018
512,1990,estimates,65plus,41.433
512,1990,estimates,70plus,24.839
512,1990,estimates,75plus,12.727
512,1990,estimates,80plus,5.093
512,1990,estimates,85plus,1.452
512,1990,estimates,90plus,0.257
512,1995,estimates,total,2191.864
512,1995,estimates,0_1,124.263
512,1995,estimates,0_4,307.506
512,1995,estimates,0_14,870.759
512,1995,estimates,0_17,1001.159
512,1995,estimates,0_19,1073.546
512,1995,estimates,0_24,1224.761
512,1995,estimates,3_4,121.779
512,1995,estimates,3_5,182.068
512,1995,estimates,3_6,241.888
512,1995,estimates,4_5,120.988
512,1995,estimates,4_6,180.808
512,1995,estimates,5_10,352.376
512,1995,estimates,5_11,408.195
512,1995,estimates,5_14,563.253
512,1995,estimates,6_9,235.328
512,1995,estimates,6_10,292.087
512,1995,estimates,6_11,347.906
512,1995,estimates,6_12,402.182
512,1995,estimates,7_10,232.267
512,1995,estimates,7_12,342.362
512,1995,estimates,11_16,300.527
512,1995,estimates,11_17,341.277
512,1995,estimates,11_18,378.976
512,1995,estimates,12_14,155.058
512,1995,estimates,12_16,244.708
512,1995,estimates,12_17,285.458
512,1995,estimates,12_18,323.157
512,1995,estimates,13_17,231.182
512,1995,estimates,13_18,268.881
512,1995,estimates,13_19,303.569
512,1995,estimates,15plus,1321.105
512,1995,estimates,15_17,130.4
512,1995,estimates,15_24,354.002
512,1995,estimates,15_49,1145.443
512,1995,estimates,15_59,1247.893
512,1995,estimates,15_64,1275.445
512,1995,estimates,16plus,1274.987
512,1995,estimates,17plus,1231.455
512,1995,estimates,18plus,1190.705
512,1995,estimates,18_23,190.229
512,1995,estimates,20plus,1118.318
512,1995,estimates,20_64,1072.658
512,1995,estimates,20_69,1090.429
512,1995,estimates,21plus,1086.499
512,1995,estimates,25plus,967.103
512,1995,estimates,25_49,791.441
512,1995,estimates,25_64,921.443
512,1995,estimates,25_69,939.214
512,1995,estimates,50plus,175.662
512,1995,estimates,60plus,73.212
512,1995,estimates,65plus,45.66
512,1995,estimates,70plus,27.889
512,1995,estimates,75plus,15.523
512,1995,estimates,80plus,6.711
512,1995,estimates,85plus,2.145
512,1995,estimates,90plus,0.458
512,2000,estimates,total,2239.403
512,2000,estimates,0_1,109.572
512,2000,estimates,0_4,279.246
512,2000,estimates,0_14,832.016
512,2000,estimates,0_17,979.253
512,2000,estimates,0_19,1074.541
512,2000,estimates,0_24,1308.773
512,2000,estimates,3_4,113.605
512,2000,estimates,3_5,170.741
512,2000,estimates,3_6,227.853
512,2000,estimates,4_5,114.115
512,2000,estimates,4_6,171.227
512,2000,estimates,5_10,339.324
512,2000,estimates,5_11,394.187
512,2000,estimates,5_14,552.77
512,2000,estimates,6_9,226.692
512,2000,estimates,6_10,282.188
512,2000,estimates,6_11,337.051
512,2000,estimates,6_12,391.071
512,2000,estimates,7_10,225.076
512,2000,estimates,7_12,333.959
512,2000,estimates,11_16,312.746
512,2000,estimates,11_17,360.683
512,2000,estimates,11_18,408.29
512,2000,estimates,12_14,158.583
512,2000,estimates,12_16,257.883
512,2000,estimates,12_17,305.82
512,2000,estimates,12_18,353.427
512,2000,estimates,13_17,251.8
512,2000,estimates,13_18,299.407
512,2000,estimates,13_19,347.088
512,2000,estimates,15plus,1407.387
512,2000,estimates,15_17,147.237
512,2000,estimates,15_24,476.757
512,2000,estimates,15_49,1223.133
512,2000,estimates,15_59,1317.127
512,2000,estimates,15_64,1352.216
512,2000,estimates,16plus,1357.028
512,2000,estimates,17plus,1308.087
512,2000,estimates,18plus,1260.15
512,2000,estimates,18_23,284.598
512,2000,estimates,20plus,1164.862
512,2000,estimates,20_64,1109.691
512,2000,estimates,20_69,1132.409
512,2000,estimates,21plus,1117.176
512,2000,estimates,25plus,930.63
512,2000,estimates,25_49,746.376
512,2000,estimates,25_64,875.459
512,2000,estimates,25_69,898.177
512,2000,estimates,50plus,184.254
512,2000,estimates,60plus,90.26
512,2000,estimates,65plus,55.171
512,2000,estimates,70plus,32.453
512,2000,estimates,75plus,17.894
512,2000,estimates,80plus,8.627
512,2000,estimates,85plus,3.072
512,2000,estimates,90plus,0.765
512,2005,estimates,total,2506.891
512,2005,estimates,0_1,104.121
512,2005,estimates,0_4,266.836
512,2005,estimates,0_14,853.29
512,2005,estimates,0_17,1023.802
512,2005,estimates,0_19,1132.352
512,2005,estimates,0_24,1388.385
512,2005,estimates,3_4,109.392
512,2005,estimates,3_5,165.466
512,2005,estimates,3_6,222.416
512,2005,estimates,4_5,111.233
512,2005,estimates,4_6,168.183
512,2005,estimates,5_10,347.914
512,2005,estimates,5_11,407.972
512,2005,estimates,5_14,586.454
512,2005,estimates,6_9,232.255
512,2005,estimates,6_10,291.84
512,2005,estimates,6_11,351.898
512,2005,estimates,6_12,412.022
512,2005,estimates,7_10,234.89
512,2005,estimates,7_12,355.072
512,2005,estimates,11_16,353.218
512,2005,estimates,11_17,409.052
512,2005,estimates,11_18,463.842
512,2005,estimates,12_14,178.482
512,2005,estimates,12_16,293.16
512,2005,estimates,12_17,348.994
512,2005,estimates,12_18,403.784
512,2005,estimates,13_17,288.87
512,2005,estimates,13_18,343.66
512,2005,estimates,13_19,397.42
512,2005,estimates,15plus,1653.601
512,2005,estimates,15_17,170.512
512,2005,estimates,15_24,535.095
512,2005,estimates,15_49,1426.447
512,2005,estimates,15_59,1550.408
512,2005,estimates,15_64,1588.626
512,2005,estimates,16plus,1595.781
512,2005,estimates,17plus,1538.923
512,2005,estimates,18plus,1483.089
512,2005,estimates,18_23,313.505
512,2005,estimates,20plus,1374.539
512,2005,estimates,20_64,1309.564
512,2005,estimates,20_69,1336.491
512,2005,estimates,21plus,1321.912
512,2005,estimates,25plus,1118.506
512,2005,estimates,25_49,891.352
512,2005,estimates,25_64,1053.531
512,2005,estimates,25_69,1080.458
512,2005,estimates,50plus,227.154
512,2005,estimates,60plus,103.193
512,2005,estimates,65plus,64.975
512,2005,estimates,70plus,38.048
512,2005,estimates,75plus,21.565
512,2005,estimates,80plus,10.371
512,2005,estimates,85plus,4.262
512,2005,estimates,90plus,1.226
512,2010,estimates,total,2943.747
512,2010,estimates,0_1,133.434
512,2010,estimates,0_4,302.554
512,2010,estimates,0_14,779.94
512,2010,estimates,0_17,931.517
512,2010,estimates,0_19,1045.604
512,2010,estimates,0_24,1392.12
512,2010,estimates,3_4,109.303
512,2010,estimates,3_5,160.047
512,2010,estimates,3_6,208.947
512,2010,estimates,4_5,103.891
512,2010,estimates,4_6,152.791
512,2010,estimates,5_10,286.592
512,2010,estimates,5_11,333.473
512,2010,estimates,5_14,477.386
512,2010,estimates,6_9,189.503
512,2010,estimates,6_10,235.848
512,2010,estimates,6_11,282.729
512,2010,estimates,6_12,330.213
512,2010,estimates,7_10,186.948
512,2010,estimates,7_12,281.313
512,2010,estimates,11_16,290.329
512,2010,estimates,11_17,342.371
512,2010,estimates,11_18,397.484
512,2010,estimates,12_14,143.913
512,2010,estimates,12_16,243.448
512,2010,estimates,12_17,295.49
512,2010,estimates,12_18,350.603
512,2010,estimates,13_17,248.006
512,2010,estimates,13_18,303.119
512,2010,estimates,13_19,362.093
512,2010,estimates,15plus,2163.807
512,2010,estimates,15_17,151.577
