country,year,variant,gender,freq,age1yearinterval,survivorage
116,1970,estimates,male,5yearly,35,47640.24
116,1970,estimates,female,5yearly,40,50696.803
116,1970,estimates,male,5yearly,40,43823.746
116,1970,estimates,female,5yearly,45,47209.102
116,1970,estimates,male,5yearly,45,40403.719
116,1970,estimates,female,5yearly,50,43704.176
116,1970,estimates,male,5yearly,50,36624.16
116,1970,estimates,female,5yearly,55,39785.456
116,1970,estimates,male,5yearly,55,31986.855
116,1970,estimates,female,5yearly,60,35218.778
116,1970,estimates,male,5yearly,60,26532.037
116,1970,estimates,female,5yearly,65,29462.477
116,1970,estimates,male,5yearly,65,20256.282
116,1970,estimates,female,5yearly,70,22794.857
116,1970,estimates,male,5yearly,70,13875.062
116,1970,estimates,female,5yearly,75,15354.519
116,1970,estimates,male,5yearly,75,8197.4586
116,1970,estimates,female,5yearly,80,8563.9031
116,1970,estimates,male,5yearly,80,3994.7443
116,1970,estimates,female,5yearly,85,3626.3096
116,1970,estimates,male,5yearly,85,1480.6971
116,1970,estimates,female,5yearly,90,1053.7755
116,1970,estimates,male,5yearly,90,373.3385
116,1970,estimates,female,5yearly,95,193.41755
116,1970,estimates,male,5yearly,95,57.814681
116,1970,estimates,female,5yearly,100plus,19.518481
116,1970,estimates,male,5yearly,100plus,4.8467663
116,1975,estimates,female,5yearly,0,100000
116,1975,estimates,male,5yearly,0,100000
116,1975,estimates,female,5yearly,1,70805.897
116,1975,estimates,male,5yearly,1,65380.9
116,1975,estimates,female,5yearly,5,56278.109
116,1975,estimates,male,5yearly,5,51589.506
116,1975,estimates,female,5yearly,10,47936.752
116,1975,estimates,male,5yearly,10,43158.366
116,1975,estimates,female,5yearly,15,40238.602
116,1975,estimates,male,5yearly,15,30673.255
116,1975,estimates,female,5yearly,20,33393.084
116,1975,estimates,male,5yearly,20,20645.785
116,1975,estimates,female,5yearly,25,27864.671
116,1975,estimates,male,5yearly,25,14695.647
116,1975,estimates,female,5yearly,30,23566.082
116,1975,estimates,male,5yearly,30,10816.385
116,1975,estimates,female,5yearly,35,19907.844
116,1975,estimates,male,5yearly,35,7889.2222
116,1975,estimates,female,5yearly,40,16750.357
116,1975,estimates,male,5yearly,40,6314.3135
116,1975,estimates,female,5yearly,45,14014.112
116,1975,estimates,male,5yearly,45,5345.7077
116,1975,estimates,female,5yearly,50,11769.14
116,1975,estimates,male,5yearly,50,4405.8937
116,1975,estimates,female,5yearly,55,9847.3431
116,1975,estimates,male,5yearly,55,3403.492
116,1975,estimates,female,5yearly,60,8206.4155
116,1975,estimates,male,5yearly,60,2403.8606
116,1975,estimates,female,5yearly,65,6463.8998
116,1975,estimates,male,5yearly,65,1476.723
116,1975,estimates,female,5yearly,70,4705.4928
116,1975,estimates,male,5yearly,70,730.03013
116,1975,estimates,female,5yearly,75,2979.8067
116,1975,estimates,male,5yearly,75,277.50855
116,1975,estimates,female,5yearly,80,1504.8651
116,1975,estimates,male,5yearly,80,75.718241
116,1975,estimates,female,5yearly,85,487.65661
116,1975,estimates,male,5yearly,85,14.017117
116,1975,estimates,female,5yearly,90,85.208159
116,1975,estimates,male,5yearly,90,1.6775312
116,1975,estimates,female,5yearly,95,7.2043231
116,1975,estimates,male,5yearly,95,0.12897466
116,1975,estimates,female,5yearly,100plus,0.42307275
116,1975,estimates,male,5yearly,100plus,0.0084538316
116,1980,estimates,female,5yearly,0,100000
116,1980,estimates,male,5yearly,0,100000
116,1980,estimates,female,5yearly,1,86054.92
116,1980,estimates,male,5yearly,1,83338.514
116,1980,estimates,female,5yearly,5,80788.613
116,1980,estimates,male,5yearly,5,78400.912
116,1980,estimates,female,5yearly,10,78160.001
116,1980,estimates,male,5yearly,10,75421.375
116,1980,estimates,female,5yearly,15,75921.581
116,1980,estimates,male,5yearly,15,72661.48
116,1980,estimates,female,5yearly,20,73603.389
116,1980,estimates,male,5yearly,20,69738.038
116,1980,estimates,female,5yearly,25,70914.032
116,1980,estimates,male,5yearly,25,66570.307
116,1980,estimates,female,5yearly,30,67985.426
116,1980,estimates,male,5yearly,30,63339.106
116,1980,estimates,female,5yearly,35,64958.343
116,1980,estimates,male,5yearly,35,59840.203
116,1980,estimates,female,5yearly,40,61879.994
116,1980,estimates,male,5yearly,40,56479.319
116,1980,estimates,female,5yearly,45,58705.007
116,1980,estimates,male,5yearly,45,53175.554
116,1980,estimates,female,5yearly,50,55357.991
116,1980,estimates,male,5yearly,50,49535.13
116,1980,estimates,female,5yearly,55,51530.728
116,1980,estimates,male,5yearly,55,45008.12
116,1980,estimates,female,5yearly,60,46853.12
116,1980,estimates,male,5yearly,60,39334.066
116,1980,estimates,female,5yearly,65,40248.937
116,1980,estimates,male,5yearly,65,32242.717
116,1980,estimates,female,5yearly,70,32058.256
116,1980,estimates,male,5yearly,70,24291.847
116,1980,estimates,female,5yearly,75,22276.884
116,1980,estimates,male,5yearly,75,15831.073
116,1980,estimates,female,5yearly,80,12747.445
116,1980,estimates,male,5yearly,80,8370.1
116,1980,estimates,female,5yearly,85,5512.76
116,1980,estimates,male,5yearly,85,3237.134
116,1980,estimates,female,5yearly,90,1628.7843
116,1980,estimates,male,5yearly,90,830.99514
116,1980,estimates,female,5yearly,95,300.40137
116,1980,estimates,male,5yearly,95,129.48991
116,1980,estimates,female,5yearly,100plus,30.189468
116,1980,estimates,male,5yearly,100plus,10.908581
116,1985,estimates,female,5yearly,0,100000
116,1985,estimates,male,5yearly,0,100000
116,1985,estimates,female,5yearly,1,92246.871
116,1985,estimates,male,5yearly,1,90587.6
116,1985,estimates,female,5yearly,5,88959.087
116,1985,estimates,male,5yearly,5,87396.096
116,1985,estimates,female,5yearly,10,86377.691
116,1985,estimates,male,5yearly,10,84433.328
116,1985,estimates,female,5yearly,15,84310.655
116,1985,estimates,male,5yearly,15,81902.118
116,1985,estimates,female,5yearly,20,82280.516
116,1985,estimates,male,5yearly,20,79365.695
116,1985,estimates,female,5yearly,25,79978.172
116,1985,estimates,male,5yearly,25,76441.968
116,1985,estimates,female,5yearly,30,77348.457
116,1985,estimates,male,5yearly,30,73168.774
116,1985,estimates,female,5yearly,35,74493.629
116,1985,estimates,male,5yearly,35,69803.015
116,1985,estimates,female,5yearly,40,71501.326
116,1985,estimates,male,5yearly,40,66426.549
116,1985,estimates,female,5yearly,45,68352.384
116,1985,estimates,male,5yearly,45,62887.49
116,1985,estimates,female,5yearly,50,64908.83
116,1985,estimates,male,5yearly,50,58903.522
116,1985,estimates,female,5yearly,55,60927.397
116,1985,estimates,male,5yearly,55,54149.124
116,1985,estimates,female,5yearly,60,55873.482
116,1985,estimates,male,5yearly,60,47798.937
116,1985,estimates,female,5yearly,65,48900.236
116,1985,estimates,male,5yearly,65,39300.112
116,1985,estimates,female,5yearly,70,39924.839
116,1985,estimates,male,5yearly,70,29690.96
116,1985,estimates,female,5yearly,75,28886.163
116,1985,estimates,male,5yearly,75,19569.39
116,1985,estimates,female,5yearly,80,17354.401
116,1985,estimates,male,5yearly,80,10540.347
116,1985,estimates,female,5yearly,85,7925.1042
116,1985,estimates,male,5yearly,85,4206.9098
116,1985,estimates,female,5yearly,90,2442.0266
116,1985,estimates,male,5yearly,90,1124.1882
116,1985,estimates,female,5yearly,95,465.23786
116,1985,estimates,male,5yearly,95,181.01881
116,1985,estimates,female,5yearly,100plus,47.269904
116,1985,estimates,male,5yearly,100plus,15.729307
116,1990,estimates,female,5yearly,0,100000
116,1990,estimates,male,5yearly,0,100000
116,1990,estimates,female,5yearly,1,92234.453
116,1990,estimates,male,5yearly,1,90574.044
116,1990,estimates,female,5yearly,5,88945.339
116,1990,estimates,male,5yearly,5,87372.135
116,1990,estimates,female,5yearly,10,86772.587
116,1990,estimates,male,5yearly,10,84881.35
116,1990,estimates,female,5yearly,15,85065.802
116,1990,estimates,male,5yearly,15,82813.67
116,1990,estimates,female,5yearly,20,83490.209
116,1990,estimates,male,5yearly,20,80845.088
116,1990,estimates,female,5yearly,25,81764.561
116,1990,estimates,male,5yearly,25,78588.627
116,1990,estimates,female,5yearly,30,79724.701
116,1990,estimates,male,5yearly,30,75858.404
116,1990,estimates,female,5yearly,35,77384.675
116,1990,estimates,male,5yearly,35,72856.72
116,1990,estimates,female,5yearly,40,74817.154
116,1990,estimates,male,5yearly,40,69771.25
116,1990,estimates,female,5yearly,45,72024.808
116,1990,estimates,male,5yearly,45,66531.932
116,1990,estimates,female,5yearly,50,68894.769
116,1990,estimates,male,5yearly,50,62877.979
116,1990,estimates,female,5yearly,55,65202.992
116,1990,estimates,male,5yearly,55,58476.375
116,1990,estimates,female,5yearly,60,60344.04
116,1990,estimates,male,5yearly,60,52442.21
116,1990,estimates,female,5yearly,65,53241.18
116,1990,estimates,male,5yearly,65,43935.229
116,1990,estimates,female,5yearly,70,43851.945
116,1990,estimates,male,5yearly,70,33879.775
116,1990,estimates,female,5yearly,75,31956.866
116,1990,estimates,male,5yearly,75,22822.88
116,1990,estimates,female,5yearly,80,19281.062
116,1990,estimates,male,5yearly,80,12543.325
116,1990,estimates,female,5yearly,85,8820.611
116,1990,estimates,male,5yearly,85,5093.4602
116,1990,estimates,female,5yearly,90,2727.542
116,1990,estimates,male,5yearly,90,1365.7114
116,1990,estimates,female,5yearly,95,519.34731
116,1990,estimates,male,5yearly,95,219.72431
116,1990,estimates,female,5yearly,100plus,52.710458
116,1990,estimates,male,5yearly,100plus,19.060918
116,1995,estimates,female,5yearly,0,100000
116,1995,estimates,male,5yearly,0,100000
116,1995,estimates,female,5yearly,1,92214.883
116,1995,estimates,male,5yearly,1,90545.826
116,1995,estimates,female,5yearly,5,88887.816
116,1995,estimates,male,5yearly,5,87313.806
116,1995,estimates,female,5yearly,10,87145.526
116,1995,estimates,male,5yearly,10,85253.354
116,1995,estimates,female,5yearly,15,85799.152
116,1995,estimates,male,5yearly,15,83635.4
116,1995,estimates,female,5yearly,20,84590.278
116,1995,estimates,male,5yearly,20,82144.976
116,1995,estimates,female,5yearly,25,83316.519
116,1995,estimates,male,5yearly,25,80443.729
116,1995,estimates,female,5yearly,30,81794.998
116,1995,estimates,male,5yearly,30,78258.934
116,1995,estimates,female,5yearly,35,79953.697
116,1995,estimates,male,5yearly,35,75674.681
116,1995,estimates,female,5yearly,40,77807.065
116,1995,estimates,male,5yearly,40,72898.76
116,1995,estimates,female,5yearly,45,75360.847
116,1995,estimates,male,5yearly,45,69950.863
116,1995,estimates,female,5yearly,50,72538.586
116,1995,estimates,male,5yearly,50,66633.226
116,1995,estimates,female,5yearly,55,69162.158
116,1995,estimates,male,5yearly,55,62634.604
116,1995,estimates,female,5yearly,60,64599.741
116,1995,estimates,male,5yearly,60,56989.833
116,1995,estimates,female,5yearly,65,57505.078
116,1995,estimates,male,5yearly,65,48558.703
116,1995,estimates,female,5yearly,70,47830.855
116,1995,estimates,male,5yearly,70,38159.711
116,1995,estimates,female,5yearly,75,35140.727
116,1995,estimates,male,5yearly,75,26239.835
116,1995,estimates,female,5yearly,80,21301.518
116,1995,estimates,male,5yearly,80,14703.235
116,1995,estimates,female,5yearly,85,9761.5671
116,1995,estimates,male,5yearly,85,6071.1947
116,1995,estimates,female,5yearly,90,3030.0679
