region,year,variant,gender,freq,age1yearinterval,survivorage
912,1975,estimates,male,5yearly,20,80804.6099201194
912,1975,estimates,female,5yearly,25,80343.1149444313
912,1975,estimates,male,5yearly,25,79489.8967090496
912,1975,estimates,female,5yearly,30,79124.9419533039
912,1975,estimates,male,5yearly,30,78043.9460383075
912,1975,estimates,female,5yearly,35,77748.001096394
912,1975,estimates,male,5yearly,35,76461.9159830627
912,1975,estimates,female,5yearly,40,76151.18240567
912,1975,estimates,male,5yearly,40,74597.9476671224
912,1975,estimates,female,5yearly,45,74327.417731361
912,1975,estimates,male,5yearly,45,72284.1781262783
912,1975,estimates,female,5yearly,50,71999.3409121022
912,1975,estimates,male,5yearly,50,69054.2287944652
912,1975,estimates,female,5yearly,55,68833.7840110101
912,1975,estimates,male,5yearly,55,64542.1663134576
912,1975,estimates,female,5yearly,60,64551.8194177706
912,1975,estimates,male,5yearly,60,58643.4207471146
912,1975,estimates,female,5yearly,65,58525.3178890264
912,1975,estimates,male,5yearly,65,50968.924748786
912,1975,estimates,female,5yearly,70,49836.7948612303
912,1975,estimates,male,5yearly,70,41154.9347793266
912,1975,estimates,female,5yearly,75,38132.7587247269
912,1975,estimates,male,5yearly,75,29279.25894993
912,1975,estimates,female,5yearly,80,24601.9379850795
912,1975,estimates,male,5yearly,80,17023.5085423006
912,1975,estimates,female,5yearly,85,12203.0918370718
912,1975,estimates,male,5yearly,85,7336.07726775131
912,1975,estimates,female,5yearly,90,4128.55723771705
912,1975,estimates,male,5yearly,90,2082.12663718617
912,1975,estimates,female,5yearly,95,836.105070689801
912,1975,estimates,male,5yearly,95,346.215450175006
912,1975,estimates,female,5yearly,100plus,91.2632429804175
912,1975,estimates,male,5yearly,100plus,31.1309389644103
912,1980,estimates,female,5yearly,0,100000
912,1980,estimates,male,5yearly,0,100000
912,1980,estimates,female,5yearly,1,91392.5627921186
912,1980,estimates,male,5yearly,1,90597.8533123233
912,1980,estimates,female,5yearly,5,87571.4767564375
912,1980,estimates,male,5yearly,5,86864.4847602816
912,1980,estimates,female,5yearly,10,86628.4347032609
912,1980,estimates,male,5yearly,10,85856.1719649137
912,1980,estimates,female,5yearly,15,86154.8099139457
912,1980,estimates,male,5yearly,15,85327.0935744025
912,1980,estimates,female,5yearly,20,85447.0546695804
912,1980,estimates,male,5yearly,20,84457.8675628923
912,1980,estimates,female,5yearly,25,84552.0007281126
912,1980,estimates,male,5yearly,25,83294.6141695264
912,1980,estimates,female,5yearly,30,83492.3727632798
912,1980,estimates,male,5yearly,30,81994.579972099
912,1980,estimates,female,5yearly,35,82290.2960639124
912,1980,estimates,male,5yearly,35,80571.447245662
912,1980,estimates,female,5yearly,40,80894.2265652481
912,1980,estimates,male,5yearly,40,78878.0598204714
912,1980,estimates,female,5yearly,45,79206.0007400298
912,1980,estimates,male,5yearly,45,76700.0346561598
912,1980,estimates,female,5yearly,50,76976.157445176
912,1980,estimates,male,5yearly,50,73565.1459449833
912,1980,estimates,female,5yearly,55,73871.9477332202
912,1980,estimates,male,5yearly,55,69078.1025781388
912,1980,estimates,female,5yearly,60,69631.6348988312
912,1980,estimates,male,5yearly,60,63126.5057754719
912,1980,estimates,female,5yearly,65,63622.9847814762
912,1980,estimates,male,5yearly,65,55257.1647610546
912,1980,estimates,female,5yearly,70,54888.2963757043
912,1980,estimates,male,5yearly,70,45043.7661767436
912,1980,estimates,female,5yearly,75,42794.0847465162
912,1980,estimates,male,5yearly,75,32493.3628411001
912,1980,estimates,female,5yearly,80,28275.2372051587
912,1980,estimates,male,5yearly,80,19254.7358014005
912,1980,estimates,female,5yearly,85,14409.555520041
912,1980,estimates,male,5yearly,85,8503.0803844426
912,1980,estimates,female,5yearly,90,5000.23818215481
912,1980,estimates,male,5yearly,90,2483.99690355053
912,1980,estimates,female,5yearly,95,1028.93194307744
912,1980,estimates,male,5yearly,95,425.774024599363
912,1980,estimates,female,5yearly,100plus,112.226928175664
912,1980,estimates,male,5yearly,100plus,39.3670592333007
912,1985,estimates,female,5yearly,0,100000
912,1985,estimates,male,5yearly,0,100000
912,1985,estimates,female,5yearly,1,93443.1361343664
912,1985,estimates,male,5yearly,1,92754.9377608869
912,1985,estimates,female,5yearly,5,90660.8307051129
912,1985,estimates,male,5yearly,5,90005.0808622545
912,1985,estimates,female,5yearly,10,89890.8641853817
912,1985,estimates,male,5yearly,10,89165.7131762676
912,1985,estimates,female,5yearly,15,89452.2515417606
912,1985,estimates,male,5yearly,15,88659.5267035212
912,1985,estimates,female,5yearly,20,88842.8221422715
912,1985,estimates,male,5yearly,20,87875.5735979404
912,1985,estimates,female,5yearly,25,88071.7029060141
912,1985,estimates,male,5yearly,25,86831.8342089891
912,1985,estimates,female,5yearly,30,87154.3043664751
912,1985,estimates,male,5yearly,30,85665.6522688399
912,1985,estimates,female,5yearly,35,86070.3863590934
