continent,year,variant,agebroad,sexratio_maleper100female
935,1970,estimates,0_14,105.104852588827
935,1970,estimates,0_17,105.176253777614
935,1970,estimates,0_19,105.179512185354
935,1970,estimates,0_24,105.067610606466
935,1970,estimates,3_4,104.954773323363
935,1970,estimates,3_5,105.034965309207
935,1970,estimates,3_6,105.103797833447
935,1970,estimates,4_5,105.125683487764
935,1970,estimates,4_6,105.189902489996
935,1970,estimates,5_10,105.403721978996
935,1970,estimates,5_11,105.413860848776
935,1970,estimates,5_14,105.437637815046
935,1970,estimates,6_9,105.431619700593
935,1970,estimates,6_10,105.448182164325
935,1970,estimates,6_11,105.453498502707
935,1970,estimates,6_12,105.454816189724
935,1970,estimates,7_10,105.481756336296
935,1970,estimates,7_12,105.479255278349
935,1970,estimates,11_16,105.539296402486
935,1970,estimates,11_17,105.549720258272
935,1970,estimates,11_18,105.530965965246
935,1970,estimates,12_14,105.502425595736
935,1970,estimates,12_16,105.551034807807
935,1970,estimates,12_17,105.561372009841
935,1970,estimates,12_18,105.538198688582
935,1970,estimates,13_17,105.581379562809
935,1970,estimates,13_18,105.551037308209
935,1970,estimates,13_19,105.484109941806
935,1970,estimates,15plus,103.629756388735
935,1970,estimates,15_17,105.621486004643
935,1970,estimates,15_24,104.986545818829
935,1970,estimates,15_49,106.156740341785
935,1970,estimates,15_59,105.738071464801
935,1970,estimates,15_64,105.258002832902
935,1970,estimates,16plus,103.555625668101
935,1970,estimates,17plus,103.473265791655
935,1970,estimates,18plus,103.387462128925
935,1970,estimates,18_23,104.630742003451
935,1970,estimates,20plus,103.240043086737
935,1970,estimates,20_64,105.209263047927
935,1970,estimates,20_69,104.588734607785
935,1970,estimates,21plus,103.185662002349
935,1970,estimates,25plus,103.018196118529
935,1970,estimates,25_49,106.9408938858
935,1970,estimates,25_64,105.394368515583
935,1970,estimates,25_69,104.635266550626
935,1970,estimates,50plus,94.9580074769065
935,1970,estimates,60plus,87.0093486447546
935,1970,estimates,65plus,82.2642676226685
935,1970,estimates,70plus,76.6278533265108
935,1970,estimates,75plus,69.1091013547904
935,1970,estimates,80plus,60.1889147960579
935,1970,estimates,85plus,49.8188834495621
935,1970,estimates,90plus,40.8105775904654
935,1975,estimates,"Region, subregion, country or area *",ASIA
935,1975,estimates,total,104.245764957114
935,1975,estimates,0_1,105.788606906886
935,1975,estimates,0_4,105.314375643927
935,1975,estimates,0_14,105.168906030507
935,1975,estimates,0_17,105.199925496458
935,1975,estimates,0_19,105.215714108573
935,1975,estimates,0_24,105.240408661363
935,1975,estimates,3_4,104.890853805283
935,1975,estimates,3_5,104.83966554784
935,1975,estimates,3_6,104.810932467878
935,1975,estimates,4_5,104.774753557528
935,1975,estimates,4_6,104.757500674617
935,1975,estimates,5_10,104.858233246953
935,1975,estimates,5_11,104.924309498552
935,1975,estimates,5_14,105.085864596542
935,1975,estimates,6_9,104.824828713868
935,1975,estimates,6_10,104.884451415428
935,1975,estimates,6_11,104.958385627003
935,1975,estimates,6_12,105.031858378166
935,1975,estimates,7_10,104.927540275472
935,1975,estimates,7_12,105.088312952038
935,1975,estimates,11_16,105.463958488273
935,1975,estimates,11_17,105.450312030083
935,1975,estimates,11_18,105.442221730282
935,1975,estimates,12_14,105.524976766122
935,1975,estimates,12_16,105.486685566326
935,1975,estimates,12_17,105.467016056606
935,1975,estimates,12_18,105.455425199177
935,1975,estimates,13_17,105.454735354286
935,1975,estimates,13_18,105.442864734785
935,1975,estimates,13_19,105.441003275507
935,1975,estimates,15plus,103.638731397767
935,1975,estimates,15_17,105.402277990395
935,1975,estimates,15_24,105.388936314955
935,1975,estimates,15_49,106.004247793983
935,1975,estimates,15_59,105.677435480268
935,1975,estimates,15_64,105.30179570473
935,1975,estimates,16plus,103.573148169931
935,1975,estimates,17plus,103.507738995004
935,1975,estimates,18plus,103.441033465907
935,1975,estimates,18_23,105.44107987599
935,1975,estimates,20plus,103.291196113068
