continent,year,variant,freq,agebroad,percentagetotaldeaths
905,1985,estimates,5yearly,15_24,1.70164987050568
905,1985,estimates,5yearly,15_49,9.97024021902905
905,1985,estimates,5yearly,15_59,18.0340667157586
905,1985,estimates,5yearly,15_64,25.5049176625473
905,1985,estimates,5yearly,20plus,96.7557774178372
905,1985,estimates,5yearly,20_64,24.8457239500511
905,1985,estimates,5yearly,20_69,34.8888842706992
905,1985,estimates,5yearly,25plus,95.7133212598277
905,1985,estimates,5yearly,25_69,33.8464281126897
905,1985,estimates,5yearly,40plus,91.4958152107643
905,1985,estimates,5yearly,50plus,87.4447309113043
905,1985,estimates,5yearly,60plus,79.3809044145748
905,1985,estimates,5yearly,65plus,71.9100534677861
905,1985,estimates,5yearly,70plus,61.8668931471379
905,1985,estimates,5yearly,80plus,35.492426015976
905,1985,estimates,5yearly,90plus,9.79361115750166
905,1990,estimates,5yearly,0_4,1.84087382319367
905,1990,estimates,5yearly,0_14,2.23303399837019
905,1990,estimates,5yearly,0_19,2.83865435218235
905,1990,estimates,5yearly,0_24,3.73425394320117
905,1990,estimates,5yearly,5_14,0.392160175176516
905,1990,estimates,5yearly,15plus,97.7669660016298
905,1990,estimates,5yearly,15_24,1.50121994483098
905,1990,estimates,5yearly,15_49,10.6647311656688
905,1990,estimates,5yearly,15_59,18.127213739322
905,1990,estimates,5yearly,15_64,24.5444935961946
905,1990,estimates,5yearly,20plus,97.1613456478176
905,1990,estimates,5yearly,20_64,23.9388732423825
905,1990,estimates,5yearly,20_69,33.2467506349103
905,1990,estimates,5yearly,25plus,96.2657460567988
905,1990,estimates,5yearly,25_69,32.3511510438915
905,1990,estimates,5yearly,40plus,91.820328230722
905,1990,estimates,5yearly,50plus,87.102234835961
905,1990,estimates,5yearly,60plus,79.6397522623079
905,1990,estimates,5yearly,65plus,73.2224724054352
905,1990,estimates,5yearly,70plus,63.9145950129074
905,1990,estimates,5yearly,80plus,38.2486129311739
905,1990,estimates,5yearly,90plus,11.0895921370071
905,1995,estimates,5yearly,0_4,1.46161921562316
905,1995,estimates,5yearly,0_14,1.80691766698781
905,1995,estimates,5yearly,0_19,2.33198147457196
905,1995,estimates,5yearly,0_24,3.07192769949562
905,1995,estimates,5yearly,5_14,0.345298451364647
905,1995,estimates,5yearly,15plus,98.1930823330122
905,1995,estimates,5yearly,15_24,1.26501003250781
905,1995,estimates,5yearly,15_49,9.71079071954588
905,1995,estimates,5yearly,15_59,17.3165821217303
905,1995,estimates,5yearly,15_64,23.0088838824434
905,1995,estimates,5yearly,20plus,97.668018525428
905,1995,estimates,5yearly,20_64,22.4838200748592
905,1995,estimates,5yearly,20_69,30.5952044388583
905,1995,estimates,5yearly,25plus,96.9280723005044
905,1995,estimates,5yearly,25_69,29.8552582139347
905,1995,estimates,5yearly,40plus,93.4078592832705
905,1995,estimates,5yearly,50plus,88.4822916134663
905,1995,estimates,5yearly,60plus,80.8765002112819
905,1995,estimates,5yearly,65plus,75.1841984505688
905,1995,estimates,5yearly,70plus,67.0728140865697
905,1995,estimates,5yearly,80plus,41.8568248443665
905,1995,estimates,5yearly,90plus,13.1429831514599
905,2000,estimates,5yearly,0_4,1.34276149858226
905,2000,estimates,5yearly,0_14,1.64358125473378
905,2000,estimates,5yearly,0_19,2.14445656286203
905,2000,estimates,5yearly,0_24,2.8856901291695
905,2000,estimates,5yearly,5_14,0.300819756151519
905,2000,estimates,5yearly,15plus,98.3564187452662
905,2000,estimates,5yearly,15_24,1.24210887443572
905,2000,estimates,5yearly,15_49,9.46470150929097
905,2000,estimates,5yearly,15_59,18.0178611358282
905,2000,estimates,5yearly,15_64,23.6839024088343
905,2000,estimates,5yearly,20plus,97.855543437138
905,2000,estimates,5yearly,20_64,23.183027100706
905,2000,estimates,5yearly,20_69,30.4125872388451
905,2000,estimates,5yearly,25plus,97.1143098708305
905,2000,estimates,5yearly,25_69,29.6713536725376
905,2000,estimates,5yearly,40plus,94.0743566332765
905,2000,estimates,5yearly,50plus,88.8917172359753
905,2000,estimates,5yearly,60plus,80.3385576094381
905,2000,estimates,5yearly,65plus,74.6725163364319
905,2000,estimates,5yearly,70plus,67.4429561982929
905,2000,estimates,5yearly,80plus,44.4111646678716
905,2000,estimates,5yearly,90plus,14.2917576725775
905,2005,estimates,5yearly,0_4,1.32010948318455
905,2005,estimates,5yearly,0_14,1.57350795398283
905,2005,estimates,5yearly,0_19,2.03898992751444
905,2005,estimates,5yearly,0_24,2.8114613644705
905,2005,estimates,5yearly,5_14,0.253398470798277
905,2005,estimates,5yearly,15plus,98.4264920460172
905,2005,estimates,5yearly,15_24,1.23795341048768
905,2005,estimates,5yearly,15_49,9.07496600955383
905,2005,estimates,5yearly,15_59,18.648243843607
905,2005,estimates,5yearly,15_64,24.9376184704858
905,2005,estimates,5yearly,20plus,97.9610100724856
905,2005,estimates,5yearly,20_64,24.4721364969542
905,2005,estimates,5yearly,20_69,31.721780562581
905,2005,estimates,5yearly,25plus,97.1885386355295
905,2005,estimates,5yearly,25_69,30.949309125625
905,2005,estimates,5yearly,40plus,94.3266330277926
905,2005,estimates,5yearly,50plus,89.3515260364633
905,2005,estimates,5yearly,60plus,79.7782482024102
905,2005,estimates,5yearly,65plus,73.4888735755313
905,2005,estimates,5yearly,70plus,66.2392295099045
905,2005,estimates,5yearly,80plus,45.5194028195319
905,2005,estimates,5yearly,90plus,15.3998507774433
905,2010,estimates,5yearly,0_4,1.07013910357664
905,2010,estimates,5yearly,0_14,1.27799518457826
905,2010,estimates,5yearly,0_19,1.65098966846265
905,2010,estimates,5yearly,0_24,2.34281746537551
905,2010,estimates,5yearly,5_14,0.207856081001619
905,2010,estimates,5yearly,15plus,98.7220048154217
905,2010,estimates,5yearly,15_24,1.06482228079726
905,2010,estimates,5yearly,15_49,7.96795962876605
905,2010,estimates,5yearly,15_59,17.7509698800229
905,2010,estimates,5yearly,15_64,24.6724309006698
905,2010,estimates,5yearly,20plus,98.3490103315373
905,2010,estimates,5yearly,20_64,24.2994364167854
905,2010,estimates,5yearly,20_69,32.2857690132752
905,2010,estimates,5yearly,25plus,97.6571825346245
905,2010,estimates,5yearly,25_69,31.5939412163623
905,2010,estimates,5yearly,40plus,94.9228708589521
905,2010,estimates,5yearly,50plus,90.7540451866557
905,2010,estimates,5yearly,60plus,80.9710349353988
905,2010,estimates,5yearly,65plus,74.049573914752
905,2010,estimates,5yearly,70plus,66.0632413182622
905,2010,estimates,5yearly,80plus,46.0745157994142
905,2010,estimates,5yearly,90plus,17.0445648339003
905,2015,constant_fertility,5yearly,0_4,0.914393034463839
905,2015,constant_mortality,5yearly,0_4,0.995730034873915
905,2015,high_variant,5yearly,0_4,1.02618006009963
905,2015,instant_replacement,5yearly,0_4,1.01114372377846
905,2015,low_variant,5yearly,0_4,0.807260672082903
905,2015,medium_variant,5yearly,0_4,0.916851478731067
905,2015,momentum,5yearly,0_4,1.07719162715387
905,2015,no_change,5yearly,0_4,0.993009260897873
905,2015,zero_migration,5yearly,0_4,0.898197441474749
905,2015,constant_fertility,5yearly,0_14,1.08991076842484
905,2015,constant_mortality,5yearly,0_14,1.1822940805519
905,2015,high_variant,5yearly,0_14,1.20149950592095
905,2015,instant_replacement,5yearly,0_14,1.18648983995361
905,2015,low_variant,5yearly,0_14,0.982968402321626
905,2015,medium_variant,5yearly,0_14,1.09236485786618
905,2015,momentum,5yearly,0_14,1.26239581355163
905,2015,no_change,5yearly,0_14,1.17957839781902
905,2015,zero_migration,5yearly,0_14,1.07258716083958
905,2015,constant_fertility,5yearly,0_19,1.39554440411913
905,2015,constant_mortality,5yearly,0_19,1.50736606973263
905,2015,high_variant,5yearly,0_19,1.50678785727458
905,2015,instant_replacement,5yearly,0_19,1.49182463309417
905,2015,low_variant,5yearly,0_19,1.28893288351976
905,2015,medium_variant,5yearly,0_19,1.39799091038786
905,2015,momentum,5yearly,0_19,1.58170966800393
905,2015,no_change,5yearly,0_19,1.50465925805812
905,2015,zero_migration,5yearly,0_19,1.37319813521804
905,2015,constant_fertility,5yearly,0_24,2.01035337859465
905,2015,constant_mortality,5yearly,0_24,2.13520416562197
905,2015,high_variant,5yearly,0_24,2.12090226189068
905,2015,instant_replacement,5yearly,0_24,2.10603245945467
905,2015,low_variant,5yearly,0_24,1.9044073828629
905,2015,medium_variant,5yearly,0_24,2.01278463064388
905,2015,momentum,5yearly,0_24,2.19770953338818
905,2015,no_change,5yearly,0_24,2.13251448734738
905,2015,zero_migration,5yearly,0_24,1.9770749861785
905,2015,constant_fertility,5yearly,5_14,0.175517733961004
905,2015,constant_mortality,5yearly,5_14,0.18656404567799
905,2015,high_variant,5yearly,5_14,0.175319445821328
905,2015,instant_replacement,5yearly,5_14,0.175346116175148
905,2015,low_variant,5yearly,5_14,0.175707730238723
905,2015,medium_variant,5yearly,5_14,0.175513379135111
905,2015,momentum,5yearly,5_14,0.185204186397762
905,2015,no_change,5yearly,5_14,0.186569136921143
905,2015,zero_migration,5yearly,5_14,0.17438971936483
905,2015,constant_fertility,5yearly,15plus,98.9100892315752
905,2015,constant_mortality,5yearly,15plus,98.8177059194481
905,2015,high_variant,5yearly,15plus,98.7985004940791
905,2015,instant_replacement,5yearly,15plus,98.8135101600464
905,2015,low_variant,5yearly,15plus,99.0170315976784
905,2015,medium_variant,5yearly,15plus,98.9076351421338
905,2015,momentum,5yearly,15plus,98.7376041864484
905,2015,no_change,5yearly,15plus,98.820421602181
905,2015,zero_migration,5yearly,15plus,98.9274128391604
905,2015,constant_fertility,5yearly,15_24,0.92044261016981
905,2015,constant_mortality,5yearly,15_24,0.952910085070064
905,2015,high_variant,5yearly,15_24,0.919402755969722
905,2015,instant_replacement,5yearly,15_24,0.91954261950106
905,2015,low_variant,5yearly,15_24,0.921438980541279
905,2015,medium_variant,5yearly,15_24,0.920419772777705
905,2015,momentum,5yearly,15_24,0.935313719836553
905,2015,no_change,5yearly,15_24,0.952936089528365
905,2015,zero_migration,5yearly,15_24,0.90448782533892
905,2015,constant_fertility,5yearly,15_49,7.07382156499656
905,2015,constant_mortality,5yearly,15_49,7.13845222628283
905,2015,high_variant,5yearly,15_49,7.0658366991469
905,2015,instant_replacement,5yearly,15_49,7.066924911549
905,2015,low_variant,5yearly,15_49,7.08147223246971
905,2015,medium_variant,5yearly,15_49,7.07364605417711
905,2015,momentum,5yearly,15_49,7.07517061976
905,2015,no_change,5yearly,15_49,7.1386470312137
905,2015,zero_migration,5yearly,15_49,7.01811390410974
905,2015,constant_fertility,5yearly,15_59,15.8913616260939
905,2015,constant_mortality,5yearly,15_59,16.087929370826
905,2015,high_variant,5yearly,15_59,15.873428620768
905,2015,instant_replacement,5yearly,15_59,15.8758566822196
905,2015,low_variant,5yearly,15_59,15.9085505197283
905,2015,medium_variant,5yearly,15_59,15.8909740102136
905,2015,momentum,5yearly,15_59,16.0105688539911
905,2015,no_change,5yearly,15_59,16.0883684026874
905,2015,zero_migration,5yearly,15_59,15.83036135487
905,2015,constant_fertility,5yearly,15_64,22.7098203956342
905,2015,constant_mortality,5yearly,15_64,23.0447244656845
905,2015,high_variant,5yearly,15_64,22.6841976785214
905,2015,instant_replacement,5yearly,15_64,22.6876551603233
905,2015,low_variant,5yearly,15_64,22.7343835289444
905,2015,medium_variant,5yearly,15_64,22.7092636048214
905,2015,momentum,5yearly,15_64,22.9619537197657
905,2015,no_change,5yearly,15_64,23.0453533451411
905,2015,zero_migration,5yearly,15_64,22.650131384306
905,2015,constant_fertility,5yearly,20plus,98.6044555958809
905,2015,constant_mortality,5yearly,20plus,98.4926339302674
905,2015,high_variant,5yearly,20plus,98.4932121427254
905,2015,instant_replacement,5yearly,20plus,98.5081753669058
905,2015,low_variant,5yearly,20plus,98.7110671164802
905,2015,medium_variant,5yearly,20plus,98.6020090896121
905,2015,momentum,5yearly,20plus,98.4182903319961
905,2015,no_change,5yearly,20plus,98.4953407419419
905,2015,zero_migration,5yearly,20plus,98.626801864782
905,2015,constant_fertility,5yearly,20_64,22.40418675994
905,2015,constant_mortality,5yearly,20_64,22.7196524765038
905,2015,high_variant,5yearly,20_64,22.3789093271677
905,2015,instant_replacement,5yearly,20_64,22.3823203671827
905,2015,low_variant,5yearly,20_64,22.4284190477462
905,2015,medium_variant,5yearly,20_64,22.4036375522997
905,2015,momentum,5yearly,20_64,22.6426398653134
905,2015,no_change,5yearly,20_64,22.720272484902
905,2015,zero_migration,5yearly,20_64,22.3495204099276
905,2015,constant_fertility,5yearly,20_69,30.8533896999937
905,2015,constant_mortality,5yearly,20_69,31.3843196547558
905,2015,high_variant,5yearly,20_69,30.8185802502694
905,2015,instant_replacement,5yearly,20_69,30.8232751695973
905,2015,low_variant,5yearly,20_69,30.8867548154368
905,2015,medium_variant,5yearly,20_69,30.8526375262211
905,2015,momentum,5yearly,20_69,31.3031385837437
905,2015,no_change,5yearly,20_69,31.3851824494325
905,2015,zero_migration,5yearly,20_69,30.802829085134
905,2015,constant_fertility,5yearly,25plus,97.9896466214053
905,2015,constant_mortality,5yearly,25plus,97.8647958343781
905,2015,high_variant,5yearly,25plus,97.8790977381094
905,2015,instant_replacement,5yearly,25plus,97.8939675405453
