country,variant,year,potentialsupport2069_65
643,low variant,2050,4.14025186489602
643,medium variant,2050,4.41397737705865
643,no change,2050,4.73999602131232
643,zero-migration,2050,4.26856868336397
643,constant-fertility,2055,3.80244854662645
643,constant-mortality,2055,4.4402903799444
643,high variant,2055,4.29624998870871
643,instant-replacement,2055,4.23487444703483
643,low variant,2055,3.59430329878062
643,medium variant,2055,3.94500624305586
643,no change,2055,4.27622192804504
643,zero-migration,2055,3.79605352996696
643,constant-fertility,2060,3.31458259574013
643,constant-mortality,2060,3.9970328665811
643,high variant,2060,3.89040376863794
643,instant-replacement,2060,3.79054540073448
643,low variant,2060,3.05501994395215
643,medium variant,2060,3.47106203811517
643,no change,2060,3.8134171098729
643,zero-migration,2060,3.32569789325857
643,constant-fertility,2065,3.37400759202552
643,constant-mortality,2065,4.29345586321222
643,high variant,2065,4.14590396550045
643,instant-replacement,2065,3.99232101735896
643,low variant,2065,3.04561092787379
643,medium variant,2065,3.5889567899838
643,no change,2065,4.03162169519983
643,zero-migration,2065,3.44643791449254
643,constant-fertility,2070,3.80599368367175
643,constant-mortality,2070,5.18325015808436
643,high variant,2070,4.93151208279508
643,instant-replacement,2070,4.69294195561916
643,low variant,2070,3.37547817957846
643,medium variant,2070,4.13293617111043
643,no change,2070,4.76483902965701
643,zero-migration,2070,4.00512921954436
643,constant-fertility,2075,4.07212956382287
643,constant-mortality,2075,5.88774945662746
643,high variant,2075,5.60375677587722
643,instant-replacement,2075,5.25488079322013
643,low variant,2075,3.53223349181022
643,medium variant,2075,4.5240696680861
643,no change,2075,5.28716380469541
643,zero-migration,2075,4.42362222400324
643,constant-fertility,2080,3.98111470125168
643,constant-mortality,2080,5.99645087987203
643,high variant,2080,5.83542524437754
643,instant-replacement,2080,5.37177935478041
643,low variant,2080,3.35015478262847
643,medium variant,2080,4.52199910166425
643,no change,2080,5.26627807109706
643,zero-migration,2080,4.42709368327531
643,constant-fertility,2085,3.51901383302624
643,constant-mortality,2085,5.48205046118778
643,high variant,2085,5.51671678012106
643,instant-replacement,2085,4.96899240573542
643,low variant,2085,2.84702232776667
643,medium variant,2085,4.08895869676997
643,no change,2085,4.7101780131516
643,zero-migration,2085,3.97699321085655
643,constant-fertility,2090,3.23452614807342
643,constant-mortality,2090,5.13034624005923
643,high variant,2090,4.97996110441591
643,instant-replacement,2090,4.25116720330653
643,low variant,2090,2.5997375864815
643,medium variant,2090,3.73041517038663
643,no change,2090,4.45654821236282
643,zero-migration,2090,3.61596170187116
643,constant-fertility,2095,3.14313828416797
643,constant-mortality,2095,5.10910459615759
643,high variant,2095,4.66003119631746
643,instant-replacement,2095,3.94693173432946
643,low variant,2095,2.54319716294868
643,medium variant,2095,3.5666407128828
643,no change,2095,4.52604530872047
643,zero-migration,2095,3.459459670349
643,constant-fertility,2100,3.15291482761507
643,constant-mortality,2100,5.38533879711607
643,high variant,2100,4.60071221730908
643,instant-replacement,2100,3.93692678543538
643,low variant,2100,2.63232066290843
643,medium variant,2100,3.58570170262568
643,no change,2100,4.76008105885105
643,zero-migration,2100,3.49674851127812
