region,variant,freq,year,totalfertility
914,medium variant,5Yearly,2075,2.60184227253733
914,no change,5Yearly,2075,5.76864634587322
914,zero-migration,5Yearly,2075,2.60043206284484
914,constant-fertility,5Yearly,2080,5.79697703856133
914,constant-mortality,5Yearly,2080,2.49877092160415
914,high variant,5Yearly,2080,2.99549729331461
914,instant-replacement,5Yearly,2080,2.1274892324256
914,low variant,5Yearly,2080,2.00638490151215
914,medium variant,5Yearly,2080,2.50015486729887
914,no change,5Yearly,2080,5.79191836356938
914,zero-migration,5Yearly,2080,2.49882965462627
914,constant-fertility,5Yearly,2085,5.81969739099022
914,constant-mortality,5Yearly,2085,2.40855779021066
914,high variant,5Yearly,2085,2.9054834303081
914,instant-replacement,5Yearly,2085,2.11913036428488
914,low variant,5Yearly,2085,1.91605855158309
914,medium variant,5Yearly,2085,2.40998334528323
