region,year,variant,gender,agebroad,percentagetotalpopulation
923,1955,Estimates,female,16plus,73.6561723896504
923,1955,Estimates,male,16plus,67.7073273168771
923,1955,Estimates,female,17plus,71.7721113905839
923,1955,Estimates,male,17plus,65.4557602675057
923,1955,Estimates,female,18plus,69.7602195881303
923,1955,Estimates,male,18plus,63.0521875225377
923,1955,Estimates,female,18_23,10.0691099940751
923,1955,Estimates,male,18_23,11.9381547658149
923,1955,Estimates,female,20plus,65.9678520818396
923,1955,Estimates,male,20plus,58.5244955141228
923,1955,Estimates,female,20_64,58.4420587356415
923,1955,Estimates,male,20_64,53.6829215064916
923,1955,Estimates,female,20_69,61.4197113674438
923,1955,Estimates,male,20_69,55.7220740349162
923,1955,Estimates,female,21plus,64.2716968674842
923,1955,Estimates,male,21plus,56.5044763235184
923,1955,Estimates,female,25plus,58.0164231114284
923,1955,Estimates,male,25plus,49.18538248203
923,1955,Estimates,female,25_49,36.5209872625387
923,1955,Estimates,male,25_49,33.5893065917323
923,1955,Estimates,female,25_64,50.4906297652303
923,1955,Estimates,male,25_64,44.3438084743988
923,1955,Estimates,female,25_69,53.4682823970326
923,1955,Estimates,male,25_69,46.3829610028234
923,1955,Estimates,female,50plus,21.4954358488897
923,1955,Estimates,male,50plus,15.5960758902977
923,1955,Estimates,female,60plus,11.1242068508161
923,1955,Estimates,male,60plus,7.52881275609476
923,1955,Estimates,female,65plus,7.52579334619806
923,1955,Estimates,male,65plus,4.84157400763115
923,1955,Estimates,female,70plus,4.54814071439576
923,1955,Estimates,male,70plus,2.80242147920661
923,1955,Estimates,female,75plus,2.37181915789482
923,1955,Estimates,male,75plus,1.37303567649355
923,1955,Estimates,female,80plus,1.05222176678891
923,1955,Estimates,male,80plus,0.567657258907874
923,1960,Estimates,female,total,100
923,1960,Estimates,male,total,100
923,1960,Estimates,female,0_1,3.72916183707822
923,1960,Estimates,male,0_1,4.56921215891542
923,1960,Estimates,female,0_4,9.58785495676232
923,1960,Estimates,male,0_4,11.7267984674355
923,1960,Estimates,female,0_14,26.8996538300023
923,1960,Estimates,male,0_14,32.7665941049396
923,1960,Estimates,female,0_17,30.2662588547203
923,1960,Estimates,male,0_17,36.7768981648568
923,1960,Estimates,female,0_19,32.7690920306505
923,1960,Estimates,male,0_19,39.7107945582782
923,1960,Estimates,female,0_24,41.4659833411724
923,1960,Estimates,male,0_24,49.8187061850366
923,1960,Estimates,female,3_4,3.92292174800735
923,1960,Estimates,male,3_4,4.79058590313789
923,1960,Estimates,female,3_5,5.87798371408351
923,1960,Estimates,male,3_5,7.1757592914697
923,1960,Estimates,female,3_6,7.80978622146777
923,1960,Estimates,male,3_6,9.53128197832523
923,1960,Estimates,female,4_5,3.91949784465028
923,1960,Estimates,male,4_5,4.78322590928903
923,1960,Estimates,female,4_6,5.85130035203454
923,1960,Estimates,male,4_6,7.13874859614456
923,1960,Estimates,female,5_10,11.1611075026321
923,1960,Estimates,male,5_10,13.5962608901268
923,1960,Estimates,female,5_11,12.8469185885196
923,1960,Estimates,male,5_11,15.6434844677918
923,1960,Estimates,female,5_14,17.3117988732399
923,1960,Estimates,male,5_14,21.0397956375041
923,1960,Estimates,female,6_9,7.4703296164806
923,1960,Estimates,male,6_9,9.10077287816226
923,1960,Estimates,female,6_10,9.2060455365559
923,1960,Estimates,male,6_10,11.211087501795
923,1960,Estimates,female,6_11,10.8918566224435
923,1960,Estimates,male,6_11,13.2583110794599
923,1960,Estimates,female,6_12,12.5012752889451
923,1960,Estimates,male,6_12,15.2092996537548
923,1960,Estimates,female,7_10,7.27424302917164
923,1960,Estimates,male,7_10,8.8555648149395
923,1960,Estimates,female,7_12,10.5694727815608
923,1960,Estimates,male,7_12,12.8537769668993
923,1960,Estimates,female,11_16,8.47384157558989
923,1960,Estimates,male,11_16,10.2197986095985
923,1960,Estimates,female,11_17,9.51729639532594
923,1960,Estimates,male,11_17,11.4538388072945
923,1960,Estimates,female,11_18,10.6683554319376
923,1960,Estimates,male,11_18,12.8062145485492
923,1960,Estimates,female,12_14,4.46488028472032
923,1960,Estimates,male,12_14,5.39631116971237
923,1960,Estimates,female,12_16,6.78803048970234
923,1960,Estimates,male,12_16,8.17257503193357
923,1960,Estimates,female,12_17,7.83148530943839
923,1960,Estimates,male,12_17,9.40661522962958
923,1960,Estimates,female,12_18,8.98254434605002
923,1960,Estimates,male,12_18,10.7589909708843
923,1960,Estimates,female,13_17,6.22206664293676
923,1960,Estimates,male,13_17,7.45562665533474
923,1960,Estimates,female,13_18,7.37312567954839
923,1960,Estimates,male,13_18,8.80800239658943
923,1960,Estimates,female,13_19,8.72489981886697
923,1960,Estimates,male,13_19,10.3895230487562
923,1960,Estimates,female,15plus,73.1003461699977
923,1960,Estimates,male,15plus,67.2334058950604
923,1960,Estimates,female,15_17,3.36660502471807
923,1960,Estimates,male,15_17,4.0103040599172
923,1960,Estimates,female,15_24,14.5663295111702
923,1960,Estimates,male,15_24,17.052112080097
923,1960,Estimates,female,15_49,49.6274461495683
923,1960,Estimates,male,15_49,50.5740212707249
923,1960,Estimates,female,15_59,60.9556155908678
923,1960,Estimates,male,15_59,59.4152138816611
923,1960,Estimates,female,15_64,65.0319737931355
923,1960,Estimates,male,15_64,62.2736189415267
923,1960,Estimates,female,16plus,71.8664004744345
923,1960,Estimates,male,16plus,65.7548009483153
923,1960,Estimates,female,17plus,70.7771959650157
923,1960,Estimates,male,17plus,64.4571420328392
923,1960,Estimates,female,18plus,69.7337411452796
923,1960,Estimates,male,18plus,63.2231018351432
923,1960,Estimates,female,18_23,9.50685082372307
923,1960,Estimates,male,18_23,11.0687531700998
923,1960,Estimates,female,20plus,67.2309079693495
923,1960,Estimates,male,20plus,60.2892054417218
923,1960,Estimates,female,20_64,59.1625355924872
923,1960,Estimates,male,20_64,55.329418488188
923,1960,Estimates,female,20_69,62.2617182051418
923,1960,Estimates,male,20_69,57.3872263400611
923,1960,Estimates,female,21plus,65.6889636483735
923,1960,Estimates,male,21plus,58.4921599789918
923,1960,Estimates,female,25plus,58.5340166588276
923,1960,Estimates,male,25plus,50.1812938149634
923,1960,Estimates,female,25_49,35.0611166383981
923,1960,Estimates,male,25_49,33.5219091906278
923,1960,Estimates,female,25_64,50.4656442819653
923,1960,Estimates,male,25_64,45.2215068614296
923,1960,Estimates,female,25_69,53.5648268946199
923,1960,Estimates,male,25_69,47.2793147133027
923,1960,Estimates,female,50plus,23.4729000204295
923,1960,Estimates,male,50plus,16.6593846243355
923,1960,Estimates,female,60plus,12.14473057913
923,1960,Estimates,male,60plus,7.8181920133993
923,1960,Estimates,female,65plus,8.06837237686232
923,1960,Estimates,male,65plus,4.95978695353373
923,1960,Estimates,female,70plus,4.96918976420768
923,1960,Estimates,male,70plus,2.90197910166067
923,1960,Estimates,female,75plus,2.61229069829263
923,1960,Estimates,male,75plus,1.46378559227752
923,1960,Estimates,female,80plus,1.12547363205053
923,1960,Estimates,male,80plus,0.586745356924923
923,1965,Estimates,female,total,100
923,1965,Estimates,male,total,100
923,1965,Estimates,female,0_1,2.97938883685892
923,1965,Estimates,male,0_1,3.63126402046476
923,1965,Estimates,female,0_4,8.02476253723573
923,1965,Estimates,male,0_4,9.70236107500499
923,1965,Estimates,female,0_14,26.1111338019901
923,1965,Estimates,male,0_14,31.4269955672995
923,1965,Estimates,female,0_17,30.8755114778811
923,1965,Estimates,male,0_17,37.1676143221865
923,1965,Estimates,female,0_19,33.5800318750326
923,1965,Estimates,male,0_19,40.406733896999
923,1965,Estimates,female,0_24,39.1335502947585
