continent,year,variant,freq,age5yearinterval,fertilityrateper1000women
935,2020,low_variant,5yearly,25_29,107.469099806275
935,2020,medium_variant,5yearly,25_29,133.000300143736
935,2020,momentum,5yearly,25_29,141.698562754701
935,2020,no_change,5yearly,25_29,141.51331488211
935,2020,zero_migration,5yearly,25_29,133.112094372152
935,2020,constant_fertility,5yearly,30_34,79.5861464536848
935,2020,constant_mortality,5yearly,30_34,81.8018682351921
935,2020,high_variant,5yearly,30_34,98.0589199840326
935,2020,instant_replacement,5yearly,30_34,87.5262026336856
935,2020,low_variant,5yearly,30_34,65.7412828838133
935,2020,medium_variant,5yearly,30_34,81.7988365215883
935,2020,momentum,5yearly,30_34,88.5373888453061
935,2020,no_change,5yearly,30_34,79.5759855401938
935,2020,zero_migration,5yearly,30_34,81.7978709868188
935,2020,constant_fertility,5yearly,35_39,35.2632710377722
935,2020,constant_mortality,5yearly,35_39,35.7413195884897
935,2020,high_variant,5yearly,35_39,42.9958724243456
935,2020,instant_replacement,5yearly,35_39,38.3844773911735
935,2020,low_variant,5yearly,35_39,28.7203309658856
935,2020,medium_variant,5yearly,35_39,35.73943775965
935,2020,momentum,5yearly,35_39,38.7526437154579
935,2020,no_change,5yearly,35_39,35.2554615767147
935,2020,zero_migration,5yearly,35_39,35.7108910447386
935,2020,constant_fertility,5yearly,40_44,12.0062293378012
935,2020,constant_mortality,5yearly,40_44,11.5106902783757
935,2020,high_variant,5yearly,40_44,13.8450828211129
935,2020,instant_replacement,5yearly,40_44,12.3571293515734
935,2020,low_variant,5yearly,40_44,9.25942952830921
935,2020,medium_variant,5yearly,40_44,11.5104194122374
935,2020,momentum,5yearly,40_44,12.4955044620402
935,2020,no_change,5yearly,40_44,12.0019842394549
935,2020,zero_migration,5yearly,40_44,11.5197631260771
935,2020,constant_fertility,5yearly,45_49,2.922446445081
935,2020,constant_mortality,5yearly,45_49,2.15997255475165
935,2020,high_variant,5yearly,45_49,2.55588155708694
935,2020,instant_replacement,5yearly,45_49,2.15578260277595
935,2020,low_variant,5yearly,45_49,1.76132384389848
935,2020,medium_variant,5yearly,45_49,2.16107461730917
935,2020,momentum,5yearly,45_49,2.19746344596709
935,2020,no_change,5yearly,45_49,2.9207051120838
935,2020,zero_migration,5yearly,45_49,2.17236246669139
