country,year,variant,gender,agebroad,population
862,1960,estimates,male,75plus,24.422
862,1960,estimates,female,80plus,12.726
862,1960,estimates,male,80plus,10.234
862,1965,estimates,female,total,4826.504
862,1965,estimates,male,total,4998.19
862,1965,estimates,female,0_1,398.467
862,1965,estimates,male,0_1,415.641
862,1965,estimates,female,0_4,928.744
862,1965,estimates,male,0_4,966.892
862,1965,estimates,female,0_14,2248.81
862,1965,estimates,male,0_14,2340.845
862,1965,estimates,female,0_17,2552.13
862,1965,estimates,male,0_17,2655.189
862,1965,estimates,female,0_19,2736.119
862,1965,estimates,male,0_19,2845.64
862,1965,estimates,female,0_24,3137.811
862,1965,estimates,male,0_24,3262.844
862,1965,estimates,female,3_4,344.974
862,1965,estimates,male,3_4,358.444
862,1965,estimates,female,3_5,505.511
862,1965,estimates,male,3_5,525.152
862,1965,estimates,female,3_6,658.646
862,1965,estimates,male,3_6,684.192
862,1965,estimates,female,4_5,328.898
862,1965,estimates,male,4_5,341.585
862,1965,estimates,female,4_6,482.033
862,1965,estimates,male,4_6,500.625
862,1965,estimates,female,5_10,860.277
862,1965,estimates,male,5_10,894.35
862,1965,estimates,female,5_11,982.261
862,1965,estimates,male,5_11,1021.652
862,1965,estimates,female,5_14,1320.066
862,1965,estimates,male,5_14,1373.953
862,1965,estimates,female,6_9,572.211
862,1965,estimates,male,6_9,594.776
862,1965,estimates,female,6_10,699.74
862,1965,estimates,male,6_10,727.642
862,1965,estimates,female,6_11,821.724
862,1965,estimates,male,6_11,854.944
862,1965,estimates,female,6_12,938.659
862,1965,estimates,male,6_12,977.067
862,1965,estimates,female,7_10,546.605
862,1965,estimates,male,7_10,568.602
862,1965,estimates,female,7_12,785.524
862,1965,estimates,male,7_12,818.027
862,1965,estimates,female,11_16,665.518
862,1965,estimates,male,11_16,693.012
862,1965,estimates,female,11_17,763.109
862,1965,estimates,male,11_17,793.947
862,1965,estimates,female,11_18,856.988
862,1965,estimates,male,11_18,891.056
862,1965,estimates,female,12_14,337.805
862,1965,estimates,male,12_14,352.301
862,1965,estimates,female,12_16,543.534
862,1965,estimates,male,12_16,565.71
862,1965,estimates,female,12_17,641.125
862,1965,estimates,male,12_17,666.645
862,1965,estimates,female,12_18,735.004
862,1965,estimates,male,12_18,763.754
862,1965,estimates,female,13_17,524.19
862,1965,estimates,male,13_17,544.522
862,1965,estimates,female,13_18,618.069
862,1965,estimates,male,13_18,641.631
862,1965,estimates,female,13_19,708.179
862,1965,estimates,male,13_19,734.973
862,1965,estimates,female,15plus,2577.694
862,1965,estimates,male,15plus,2657.345
862,1965,estimates,female,15_17,303.32
862,1965,estimates,male,15_17,314.344
862,1965,estimates,female,15_24,889.001
862,1965,estimates,male,15_24,921.999
862,1965,estimates,female,15_49,2140.23
862,1965,estimates,male,15_49,2216.86
862,1965,estimates,female,15_59,2381.796
862,1965,estimates,male,15_59,2463.661
862,1965,estimates,female,15_64,2457.037
862,1965,estimates,male,15_64,2541.681
862,1965,estimates,female,16plus,2473.078
862,1965,estimates,male,16plus,2548.687
862,1965,estimates,female,17plus,2371.965
862,1965,estimates,male,17plus,2443.936
862,1965,estimates,female,18plus,2274.374
862,1965,estimates,male,18plus,2343.001
862,1965,estimates,female,18_23,511.072
862,1965,estimates,male,18_23,530.193
862,1965,estimates,female,20plus,2090.385
862,1965,estimates,male,20plus,2152.55
862,1965,estimates,female,20_64,1969.728
862,1965,estimates,male,20_64,2036.886
862,1965,estimates,female,20_69,2021.295
862,1965,estimates,male,20_69,2089.597
862,1965,estimates,female,21plus,2003.807
862,1965,estimates,male,21plus,2062.754
862,1965,estimates,female,25plus,1688.693
862,1965,estimates,male,25plus,1735.346
862,1965,estimates,female,25_49,1251.229
862,1965,estimates,male,25_49,1294.861
862,1965,estimates,female,25_64,1568.036
862,1965,estimates,male,25_64,1619.682
862,1965,estimates,female,25_69,1619.603
862,1965,estimates,male,25_69,1672.393
862,1965,estimates,female,50plus,437.464
862,1965,estimates,male,50plus,440.485
862,1965,estimates,female,60plus,195.898
862,1965,estimates,male,60plus,193.684
862,1965,estimates,female,65plus,120.657
862,1965,estimates,male,65plus,115.664
862,1965,estimates,female,70plus,69.09
862,1965,estimates,male,70plus,62.953
862,1965,estimates,female,75plus,35.865
862,1965,estimates,male,75plus,30.649
862,1965,estimates,female,80plus,16.216
862,1965,estimates,male,80plus,12.836
862,1970,estimates,female,total,5704.565
862,1970,estimates,male,total,5883.193
862,1970,estimates,female,0_1,391.403
862,1970,estimates,male,0_1,407.611
862,1970,estimates,female,0_4,987.842
862,1970,estimates,male,0_4,1028.294
862,1970,estimates,female,0_14,2629.823
862,1970,estimates,male,0_14,2733.719
862,1970,estimates,female,0_17,2995.009
862,1970,estimates,male,0_17,3113.726
862,1970,estimates,female,0_19,3214.794
862,1970,estimates,male,0_19,3342.007
862,1970,estimates,female,0_24,3698.886
862,1970,estimates,male,0_24,3841.447
862,1970,estimates,female,3_4,396.865
862,1970,estimates,male,3_4,412.932
862,1970,estimates,female,3_5,590.837
862,1970,estimates,male,3_5,614.655
862,1970,estimates,female,3_6,780.005
862,1970,estimates,male,3_6,811.313
862,1970,estimates,female,4_5,391.433
862,1970,estimates,male,4_5,407.144
862,1970,estimates,female,4_6,580.601
862,1970,estimates,male,4_6,603.802
862,1970,estimates,female,5_10,1073.355
862,1970,estimates,male,5_10,1115.3
862,1970,estimates,female,5_11,1225.988
862,1970,estimates,male,5_11,1273.659
862,1970,estimates,female,5_14,1641.981
862,1970,estimates,male,5_14,1705.425
862,1970,estimates,female,6_9,718.175
862,1970,estimates,male,6_9,746.228
862,1970,estimates,female,6_10,879.383
862,1970,estimates,male,6_10,913.577
862,1970,estimates,female,6_11,1032.016
862,1970,estimates,male,6_11,1071.936
862,1970,estimates,female,6_12,1176.803
862,1970,estimates,male,6_12,1222.125
862,1970,estimates,female,7_10,690.215
862,1970,estimates,male,7_10,716.919
862,1970,estimates,female,7_12,987.635
862,1970,estimates,male,7_12,1025.467
862,1970,estimates,female,11_16,817.397
862,1970,estimates,male,11_16,848.915
862,1970,estimates,female,11_17,933.812
862,1970,estimates,male,11_17,970.132
862,1970,estimates,female,11_18,1045.72
862,1970,estimates,male,11_18,1086.504
862,1970,estimates,female,12_14,415.993
862,1970,estimates,male,12_14,431.766
862,1970,estimates,female,12_16,664.764
862,1970,estimates,male,12_16,690.556
862,1970,estimates,female,12_17,781.179
862,1970,estimates,male,12_17,811.773
862,1970,estimates,female,12_18,893.087
862,1970,estimates,male,12_18,928.145
862,1970,estimates,female,13_17,636.392
862,1970,estimates,male,13_17,661.584
862,1970,estimates,female,13_18,748.3
862,1970,estimates,male,13_18,777.956
862,1970,estimates,female,13_19,856.177
