agebroad,gender,population,country,variant,year
4_6,female,348.611,604,estimates,1952
5_14,female,991.392,604,estimates,1952
5_10,female,628.652,604,estimates,1952
5_11,female,722.094,604,estimates,1952
6_9,female,416.895,604,estimates,1952
6_10,female,512.762,604,estimates,1952
6_11,female,606.204,604,estimates,1952
6_12,female,697.635,604,estimates,1952
7_10,female,402.324,604,estimates,1952
7_12,female,587.197,604,estimates,1952
11_16,female,532.178,604,estimates,1952
11_17,female,613.508,604,estimates,1952
11_18,female,692.78,604,estimates,1952
12_14,female,269.298,604,estimates,1952
12_16,female,438.736,604,estimates,1952
12_17,female,520.066,604,estimates,1952
12_18,female,599.338,604,estimates,1952
13_17,female,428.635,604,estimates,1952
13_18,female,507.907,604,estimates,1952
13_19,female,584.946,604,estimates,1952
15_17,female,250.768,604,estimates,1952
18_23,female,438.603,604,estimates,1952
15_24,female,753.532,604,estimates,1952
15_49,female,1852.198,604,estimates,1952
15_59,female,2112.886,604,estimates,1952
15_64,female,2206.416,604,estimates,1952
20_64,female,1799.337,604,estimates,1952
20_69,female,1864.399,604,estimates,1952
25_49,female,1098.666,604,estimates,1952
25_64,female,1452.884,604,estimates,1952
25_69,female,1517.946,604,estimates,1952
15plus,female,2357.978,604,estimates,1952
16plus,female,2272.065,604,estimates,1952
17plus,female,2188.54,604,estimates,1952
18plus,female,2107.21,604,estimates,1952
20plus,female,1950.899,604,estimates,1952
21plus,female,1876.368,604,estimates,1952
25plus,female,1604.446,604,estimates,1952
50plus,female,505.78,604,estimates,1952
60plus,female,245.092,604,estimates,1952
65plus,female,151.562,604,estimates,1952
70plus,female,86.5,604,estimates,1952
75plus,female,42.58,604,estimates,1952
80plus,female,16.356,604,estimates,1952
85plus,female,4.822,604,estimates,1952
90plus,female,0.947,604,estimates,1952
total,female,4045.282,604,estimates,1952
0,male,172.837,604,estimates,1952
0_1,male,314.597,604,estimates,1952
0_4,male,714.817,604,estimates,1952
0_14,male,1730.301,604,estimates,1952
0_17,male,1987.272,604,estimates,1952
0_19,male,2147.552,604,estimates,1952
0_24,male,2501.382,604,estimates,1952
3_4,male,258.328,604,estimates,1952
3_5,male,377.061,604,estimates,1952
3_6,male,490.183,604,estimates,1952
4_5,male,244.056,604,estimates,1952
4_6,male,357.178,604,estimates,1952
5_14,male,1015.484,604,estimates,1952
5_10,male,643.956,604,estimates,1952
5_11,male,739.663,604,estimates,1952
6_9,male,427.024,604,estimates,1952
6_10,male,525.223,604,estimates,1952
6_11,male,620.93,604,estimates,1952
6_12,male,714.576,604,estimates,1952
7_10,male,412.101,604,estimates,1952
7_12,male,601.454,604,estimates,1952
11_16,male,545.134,604,estimates,1952
11_17,male,628.499,604,estimates,1952
11_18,male,709.788,604,estimates,1952
12_14,male,275.821,604,estimates,1952
12_16,male,449.427,604,estimates,1952
12_17,male,532.792,604,estimates,1952
12_18,male,614.081,604,estimates,1952
13_17,male,439.146,604,estimates,1952
13_18,male,520.435,604,estimates,1952
13_19,male,599.426,604,estimates,1952
15_17,male,256.971,604,estimates,1952
18_23,male,448.784,604,estimates,1952
15_24,male,771.081,604,estimates,1952
15_49,male,1886.441,604,estimates,1952
15_59,male,2137.947,604,estimates,1952
15_64,male,2224.646,604,estimates,1952
20_64,male,1807.395,604,estimates,1952
20_69,male,1865.497,604,estimates,1952
25_49,male,1115.36,604,estimates,1952
25_64,male,1453.565,604,estimates,1952
25_69,male,1511.667,604,estimates,1952
15plus,male,2352.942,604,estimates,1952
16plus,male,2264.928,604,estimates,1952
17plus,male,2179.336,604,estimates,1952
18plus,male,2095.971,604,estimates,1952
20plus,male,1935.691,604,estimates,1952
21plus,male,1859.344,604,estimates,1952
25plus,male,1581.861,604,estimates,1952
50plus,male,466.501,604,estimates,1952
60plus,male,214.995,604,estimates,1952
65plus,male,128.296,604,estimates,1952
70plus,male,70.194,604,estimates,1952
75plus,male,32.819,604,estimates,1952
80plus,male,11.688,604,estimates,1952
85plus,male,3.154,604,estimates,1952
90plus,male,0.569,604,estimates,1952
total,male,4083.243,604,estimates,1952
0,female,171.262,604,estimates,1953
0_1,female,317.084,604,estimates,1953
0_4,female,720.956,604,estimates,1953
