country,variant,year,populationdensitypersqkm
703,momentum,2025,116.387581101314
703,no_change,2025,111.12398103477
703,zero_migration,2025,112.851834137415
703,constant_fertility,2026,111.722862252537
703,constant_mortality,2026,111.890076526368
703,high_variant,2026,115.713005323573
703,instant_replacement,2026,117.714128264848
703,low_variant,2026,110.159416070537
703,medium_variant,2026,112.936345865913
703,momentum,2026,116.422517052071
703,no_change,2026,110.678152553652
703,zero_migration,2026,112.681687739145
703,constant_fertility,2027,111.389390284478
703,constant_mortality,2027,111.556958076859
703,high_variant,2027,115.865226251872
703,instant_replacement,2027,117.875041590418
703,low_variant,2027,109.653468640825
703,medium_variant,2027,112.759565796041
703,momentum,2027,116.402033771419
703,no_change,2027,110.188654134088
703,zero_migration,2027,112.479100815172
703,constant_fertility,2028,111.022521211113
