region,year,variant,agebroad,sexratio_maleper100female
906,1985,estimates,12_14,105.657903560123
906,1985,estimates,12_16,105.192371532049
906,1985,estimates,12_17,104.994942093192
906,1985,estimates,12_18,104.874107138441
906,1985,estimates,13_17,104.788452048007
906,1985,estimates,13_18,104.682228674532
906,1985,estimates,13_19,104.659010563148
906,1985,estimates,15plus,103.503256341612
906,1985,estimates,15_17,104.352023089082
906,1985,estimates,15_24,104.820891645858
906,1985,estimates,15_49,105.966380633114
906,1985,estimates,15_59,106.192220126336
906,1985,estimates,15_64,105.812719150821
906,1985,estimates,16plus,103.460117374338
906,1985,estimates,17plus,103.430719374512
906,1985,estimates,18plus,103.408546862145
906,1985,estimates,18_23,104.976222031213
906,1985,estimates,20plus,103.338285483536
906,1985,estimates,20_64,106.138349807356
906,1985,estimates,20_69,105.542253484215
906,1985,estimates,21plus,103.28094189641
906,1985,estimates,25plus,102.931493975165
906,1985,estimates,25_49,106.732088222442
906,1985,estimates,25_64,106.30858248358
906,1985,estimates,25_69,105.574548963884
906,1985,estimates,50plus,95.8994051485388
906,1985,estimates,60plus,86.2258999609418
906,1985,estimates,65plus,80.734347456502
906,1985,estimates,70plus,72.7102086436617
906,1985,estimates,75plus,63.3702542021964
906,1985,estimates,80plus,54.5106123520944
906,1985,estimates,85plus,46.7100489191871
906,1985,estimates,90plus,40.0610603594721
906,1990,estimates,"Region, subregion, country or area *",Eastern Asia
906,1990,estimates,total,104.298989748711
906,1990,estimates,0_1,107.998231137999
906,1990,estimates,0_4,107.441262910319
906,1990,estimates,0_14,106.613206721077
906,1990,estimates,0_17,106.508811153175
906,1990,estimates,0_19,106.373317463502
906,1990,estimates,0_24,105.870446217263
906,1990,estimates,3_4,106.85246138331
906,1990,estimates,3_5,106.727094590751
906,1990,estimates,3_6,106.620468487408
906,1990,estimates,4_5,106.583048507111
906,1990,estimates,4_6,106.484070135675
906,1990,estimates,5_10,106.162528971344
906,1990,estimates,5_11,106.140100530388
906,1990,estimates,5_14,106.101230085104
906,1990,estimates,6_9,106.122430725534
906,1990,estimates,6_10,106.097557370278
906,1990,estimates,6_11,106.081375835028
906,1990,estimates,6_12,106.071189023962
906,1990,estimates,7_10,106.050423489149
906,1990,estimates,7_12,106.034666731244
906,1990,estimates,11_16,106.024998739932
906,1990,estimates,11_17,106.016001844781
906,1990,estimates,11_18,105.953303343553
906,1990,estimates,12_14,106.010486200954
906,1990,estimates,12_16,106.030165763079
906,1990,estimates,12_17,106.018894052439
906,1990,estimates,12_18,105.948093748218
906,1990,estimates,13_17,106.020776971989
906,1990,estimates,13_18,105.939700822029
906,1990,estimates,13_19,105.79931949346
906,1990,estimates,15plus,103.427066032602
906,1990,estimates,15_17,106.026098530044
906,1990,estimates,15_24,104.892755140782
906,1990,estimates,15_49,105.332420633684
906,1990,estimates,15_59,105.69794749222
906,1990,estimates,15_64,105.642630534847
906,1990,estimates,16plus,103.358200243305
906,1990,estimates,17plus,103.279600949946
906,1990,estimates,18plus,103.196501551371
906,1990,estimates,18_23,104.469684024129
906,1990,estimates,20plus,103.053168622984
906,1990,estimates,20_64,105.627205994082
906,1990,estimates,20_69,105.126652151351
906,1990,estimates,21plus,102.999691131064
906,1990,estimates,25plus,102.839295634204
906,1990,estimates,25_49,105.601766289886
906,1990,estimates,25_64,105.989798431137
906,1990,estimates,25_69,105.357681828596
906,1990,estimates,50plus,97.6037992126854
906,1990,estimates,60plus,89.2666053812029
906,1990,estimates,65plus,82.4444169850725
906,1990,estimates,70plus,75.7036564774298
906,1990,estimates,75plus,65.6591626120982
906,1990,estimates,80plus,54.6513043462351
906,1990,estimates,85plus,45.7659668258859
906,1990,estimates,90plus,38.8817529128658
906,1995,estimates,"Region, subregion, country or area *",Eastern Asia
906,1995,estimates,total,104.391658607565
906,1995,estimates,0_1,114.245578948411
906,1995,estimates,0_4,111.02098996442
906,1995,estimates,0_14,108.032739168681
906,1995,estimates,0_17,107.710686771168
906,1995,estimates,0_19,107.532250395625
906,1995,estimates,0_24,107.090104126464
906,1995,estimates,3_4,109.087258938184
906,1995,estimates,3_5,108.736186825706
906,1995,estimates,3_6,108.441999614551
906,1995,estimates,4_5,108.378412283215
906,1995,estimates,4_6,108.116211484254
906,1995,estimates,5_10,107.158864541385
906,1995,estimates,5_11,107.033382326906
906,1995,estimates,5_14,106.746355926852
906,1995,estimates,6_9,107.100143633303
906,1995,estimates,6_10,106.968267332253
906,1995,estimates,6_11,106.848945990811
906,1995,estimates,6_12,106.743231698156
906,1995,estimates,7_10,106.799534676458
906,1995,estimates,7_12,106.583537960042
906,1995,estimates,11_16,105.959899888637
906,1995,estimates,11_17,105.951268913378
906,1995,estimates,11_18,105.943767506349
906,1995,estimates,12_14,105.931737704265
906,1995,estimates,12_16,105.915463146664
906,1995,estimates,12_17,105.912581883298
906,1995,estimates,12_18,105.909584549106
906,1995,estimates,13_17,105.896005354972
906,1995,estimates,13_18,105.895337841924
906,1995,estimates,13_19,105.890789516721
906,1995,estimates,15plus,103.126798655181
906,1995,estimates,15_17,105.892888591024
906,1995,estimates,15_24,105.697277657231
906,1995,estimates,15_49,104.921057763862
906,1995,estimates,15_59,105.300521149385
906,1995,estimates,15_64,105.209242849462
906,1995,estimates,16plus,103.068598197124
906,1995,estimates,17plus,103.008667431657
906,1995,estimates,18plus,102.945395061259
906,1995,estimates,18_23,105.775340876141
906,1995,estimates,20plus,102.800676527816
906,1995,estimates,20_64,105.118819514695
906,1995,estimates,20_69,104.887738434331
906,1995,estimates,21plus,102.716392088333
906,1995,estimates,25plus,102.336720605992
906,1995,estimates,25_49,104.563150742701
906,1995,estimates,25_64,105.036052362392
906,1995,estimates,25_69,104.766515251515
906,1995,estimates,50plus,97.8850367636631
906,1995,estimates,60plus,90.6438427688657
906,1995,estimates,65plus,84.8723382445802
906,1995,estimates,70plus,76.5350896060554
906,1995,estimates,75plus,68.5901934487262
906,1995,estimates,80plus,58.0645440619769
906,1995,estimates,85plus,46.971849741414
906,1995,estimates,90plus,37.5961779978573
906,2000,estimates,"Region, subregion, country or area *",Eastern Asia
906,2000,estimates,total,104.381531095229
906,2000,estimates,0_1,111.458316163007
906,2000,estimates,0_4,112.598403856797
906,2000,estimates,0_14,109.828678319659
906,2000,estimates,0_17,109.182717603026
906,2000,estimates,0_19,108.852606408169
906,2000,estimates,0_24,108.209614555973
906,2000,estimates,3_4,113.465357120736
906,2000,estimates,3_5,113.226292890258
906,2000,estimates,3_6,112.882343769708
906,2000,estimates,4_5,113.068268489159
906,2000,estimates,4_6,112.67652143281
906,2000,estimates,5_10,110.422545901666
906,2000,estimates,5_11,109.929567016247
906,2000,estimates,5_14,108.844591605998
906,2000,estimates,6_9,110.519672345282
906,2000,estimates,6_10,110.038870184505
906,2000,estimates,6_11,109.556254608111
906,2000,estimates,6_12,109.125764353694
906,2000,estimates,7_10,109.633925279392
906,2000,estimates,7_12,108.751582792965
906,2000,estimates,11_16,106.729895463043
906,2000,estimates,11_17,106.634072305193
906,2000,estimates,11_18,106.546918970396
906,2000,estimates,12_14,106.736893062286
906,2000,estimates,12_16,106.552754408613
906,2000,estimates,12_17,106.46511892904
906,2000,estimates,12_18,106.384934087617
906,2000,estimates,13_17,106.346136261683
906,2000,estimates,13_18,106.267790234332
906,2000,estimates,13_19,106.1990769558
906,2000,estimates,15plus,102.753103422282
906,2000,estimates,15_17,106.144614501052
906,2000,estimates,15_24,105.796646595395
906,2000,estimates,15_49,104.849322488348
906,2000,estimates,15_59,104.81958795594
906,2000,estimates,15_64,104.855412823605
906,2000,estimates,16plus,102.670648152817
906,2000,estimates,17plus,102.594450510526
906,2000,estimates,18plus,102.522896945394
906,2000,estimates,18_23,105.648704187608
906,2000,estimates,20plus,102.382216156803
906,2000,estimates,20_64,104.705887368772
906,2000,estimates,20_69,104.43571036425
906,2000,estimates,21plus,102.31067663346
906,2000,estimates,25plus,101.989404337104
906,2000,estimates,25_49,104.48786848816
906,2000,estimates,25_64,104.58108158751
906,2000,estimates,25_69,104.28127431086
906,2000,estimates,50plus,97.1900952010339
906,2000,estimates,60plus,91.6270812729287
906,2000,estimates,65plus,85.9460493424834
906,2000,estimates,70plus,78.6478357113449
906,2000,estimates,75plus,68.7993676875335
906,2000,estimates,80plus,60.3985262728524
906,2000,estimates,85plus,50.2033933981678
906,2000,estimates,90plus,38.8243384317415
906,2005,estimates,"Region, subregion, country or area *",Eastern Asia
906,2005,estimates,total,104.545163299467
906,2005,estimates,0_1,115.284117481151
906,2005,estimates,0_4,114.392853167306
906,2005,estimates,0_14,112.429923115313
906,2005,estimates,0_17,111.311893600352
906,2005,estimates,0_19,110.679975456935
906,2005,estimates,0_24,109.630081476287
906,2005,estimates,3_4,113.52565111643
906,2005,estimates,3_5,113.349142106285
906,2005,estimates,3_6,113.194372990574
906,2005,estimates,4_5,113.15941698129
906,2005,estimates,4_6,113.018196052107
906,2005,estimates,5_10,112.393127677035
906,2005,estimates,5_11,112.299774309602
906,2005,estimates,5_14,111.593259831395
906,2005,estimates,6_9,112.39516934395
906,2005,estimates,6_10,112.282358440337
906,2005,estimates,6_11,112.19532594598
906,2005,estimates,6_12,112.059224233728
906,2005,estimates,7_10,112.176845512579
906,2005,estimates,7_12,111.959078850735
906,2005,estimates,11_16,109.597031280523
906,2005,estimates,11_17,109.145740719753
906,2005,estimates,11_18,108.784892830187
906,2005,estimates,12_14,110.284644285467
906,2005,estimates,12_16,109.233782294375
906,2005,estimates,12_17,108.791495163095
906,2005,estimates,12_18,108.445612586111
906,2005,estimates,13_17,108.374720510236
906,2005,estimates,13_18,108.056545115162
906,2005,estimates,13_19,107.820170522743
906,2005,estimates,15plus,102.732657956701
906,2005,estimates,15_17,107.5595964421
906,2005,estimates,15_24,106.528110871666
906,2005,estimates,15_49,105.045995131381
906,2005,estimates,15_59,104.72975640923
906,2005,estimates,15_64,104.694936614426
906,2005,estimates,16plus,102.608800407223
906,2005,estimates,17plus,102.490511686413
906,2005,estimates,18plus,102.377736248779
906,2005,estimates,18_23,106.098221546935
906,2005,estimates,20plus,102.168183208233
906,2005,estimates,20_64,104.334197370155
906,2005,estimates,20_69,104.224926554516
906,2005,estimates,21plus,102.072558875728
906,2005,estimates,25plus,101.738986737238
906,2005,estimates,25_49,104.419475045122
906,2005,estimates,25_64,104.131720401316
