global,variant,freq,year,birthper1000population
900,constant-mortality,5Yearly,2050,14.784
900,high variant,5Yearly,2050,18.083
900,instant-replacement,5Yearly,2050,13.377
900,low variant,5Yearly,2050,10.763
900,medium variant,5Yearly,2050,14.396
900,no change,5Yearly,2050,21.354
900,zero-migration,5Yearly,2050,14.413
900,constant-fertility,5Yearly,2055,21.639
900,constant-mortality,5Yearly,2055,14.4
900,high variant,5Yearly,2055,17.722
900,instant-replacement,5Yearly,2055,13.077
900,low variant,5Yearly,2055,10.226
900,medium variant,5Yearly,2055,13.96
900,no change,5Yearly,2055,22.104
900,zero-migration,5Yearly,2055,13.978
900,constant-fertility,5Yearly,2060,22.453
900,constant-mortality,5Yearly,2060,14.117
900,high variant,5Yearly,2060,17.351
900,instant-replacement,5Yearly,2060,12.844
900,low variant,5Yearly,2060,9.879
900,medium variant,5Yearly,2060,13.621
900,no change,5Yearly,2060,22.947
900,zero-migration,5Yearly,2060,13.639
900,constant-fertility,5Yearly,2065,23.347
900,constant-mortality,5Yearly,2065,13.914
900,high variant,5Yearly,2065,17.095
900,instant-replacement,5Yearly,2065,12.674
900,low variant,5Yearly,2065,9.61
900,medium variant,5Yearly,2065,13.358
900,no change,5Yearly,2065,23.85
900,zero-migration,5Yearly,2065,13.374
900,constant-fertility,5Yearly,2070,24.284
900,constant-mortality,5Yearly,2070,13.733
900,high variant,5Yearly,2070,16.938
900,instant-replacement,5Yearly,2070,12.555
900,low variant,5Yearly,2070,9.325
900,medium variant,5Yearly,2070,13.119
900,no change,5Yearly,2070,24.775
900,zero-migration,5Yearly,2070,13.135
900,constant-fertility,5Yearly,2075,25.239
900,constant-mortality,5Yearly,2075,13.53
900,high variant,5Yearly,2075,16.789
900,instant-replacement,5Yearly,2075,12.467
900,low variant,5Yearly,2075,9.002
900,medium variant,5Yearly,2075,12.862
900,no change,5Yearly,2075,25.699
900,zero-migration,5Yearly,2075,12.879
900,constant-fertility,5Yearly,2080,26.197
900,constant-mortality,5Yearly,2080,13.3
900,high variant,5Yearly,2080,16.574
900,instant-replacement,5Yearly,2080,12.383
900,low variant,5Yearly,2080,8.673
900,medium variant,5Yearly,2080,12.582
900,no change,5Yearly,2080,26.614
900,zero-migration,5Yearly,2080,12.6
900,constant-fertility,5Yearly,2085,27.146
900,constant-mortality,5Yearly,2085,13.076
900,high variant,5Yearly,2085,16.296
900,instant-replacement,5Yearly,2085,12.273
900,low variant,5Yearly,2085,8.385
900,medium variant,5Yearly,2085,12.304
900,no change,5Yearly,2085,27.521
900,zero-migration,5Yearly,2085,12.322
900,constant-fertility,5Yearly,2090,28.077
900,constant-mortality,5Yearly,2090,12.877
900,high variant,5Yearly,2090,15.989
900,instant-replacement,5Yearly,2090,12.143
900,low variant,5Yearly,2090,8.146
900,medium variant,5Yearly,2090,12.042
900,no change,5Yearly,2090,28.416
900,zero-migration,5Yearly,2090,12.059
900,constant-fertility,5Yearly,2095,28.983
900,constant-mortality,5Yearly,2095,12.721
900,high variant,5Yearly,2095,15.715
900,instant-replacement,5Yearly,2095,12.025
900,low variant,5Yearly,2095,7.951
900,medium variant,5Yearly,2095,11.811
900,no change,5Yearly,2095,29.295
900,zero-migration,5Yearly,2095,11.826
