global,variant,freq,year,noofbirth
900,constant_mortality,5yearly,2055,662234.684
900,high_variant,5yearly,2055,1027340.608
900,instant_replacement,5yearly,2055,622807.836
900,low_variant,5yearly,2055,444998.215
900,medium_variant,5yearly,2055,703354.039
900,no_change,5yearly,2055,1202880.123
900,zero_migration,5yearly,2055,704159.681
900,constant_fertility,5yearly,2060,1436552.99
900,constant_mortality,5yearly,2060,650467.645
900,high_variant,5yearly,2060,1052024.367
900,instant_replacement,5yearly,2060,620402.06
900,low_variant,5yearly,2060,427239.138
900,medium_variant,5yearly,2060,700135.324
900,no_change,5yearly,2060,1311543.406
900,zero_migration,5yearly,2060,700799.755
900,constant_fertility,5yearly,2065,1607551.453
900,constant_mortality,5yearly,2065,640145.356
900,high_variant,5yearly,2065,1082513.404
900,instant_replacement,5yearly,2065,619493.583
900,low_variant,5yearly,2065,411320.255
900,medium_variant,5yearly,2065,698764.606
900,no_change,5yearly,2065,1437638.53
900,zero_migration,5yearly,2065,699259.270999999
900,constant_fertility,5yearly,2070,1810343.589
900,constant_mortality,5yearly,2070,629129.809
900,high_variant,5yearly,2070,1119447.417
900,instant_replacement,5yearly,2070,619949.349
900,low_variant,5yearly,2070,393482.794
900,medium_variant,5yearly,2070,696927.232
900,no_change,5yearly,2070,1582588.071
900,zero_migration,5yearly,2070,697312.556
900,constant_fertility,5yearly,2075,2050291.404
900,constant_mortality,5yearly,2075,615695.486
900,high_variant,5yearly,2075,1157705.702
900,instant_replacement,5yearly,2075,621077.133
900,low_variant,5yearly,2075,372907.385
900,medium_variant,5yearly,2075,692555.448
900,no_change,5yearly,2075,1748935.104
900,zero_migration,5yearly,2075,692876.286
900,constant_fertility,5yearly,2080,2334732.829
900,constant_mortality,5yearly,2080,599810.297
900,high_variant,5yearly,2080,1192072.943
900,instant_replacement,5yearly,2080,621793.318
900,low_variant,5yearly,2080,351278.924
900,medium_variant,5yearly,2080,685397.507
900,no_change,5yearly,2080,1940394.212
900,zero_migration,5yearly,2080,685649.8
900,constant_fertility,5yearly,2085,2672933.466
900,constant_mortality,5yearly,2085,583049.05
900,high_variant,5yearly,2085,1221830.366
900,instant_replacement,5yearly,2085,620981.533
900,low_variant,5yearly,2085,330805.085
900,medium_variant,5yearly,2085,676987.955
900,no_change,5yearly,2085,2161444.772
900,zero_migration,5yearly,2085,677128.11
900,constant_fertility,5yearly,2090,3075830.771
900,constant_mortality,5yearly,2090,566404.064
900,high_variant,5yearly,2090,1248895.383
900,instant_replacement,5yearly,2090,619090.967
900,low_variant,5yearly,2090,312085.588
900,medium_variant,5yearly,2090,668260.302
900,no_change,5yearly,2090,2416993.968
900,zero_migration,5yearly,2090,668245.193
900,constant_fertility,5yearly,2095,3556139.951
900,constant_mortality,5yearly,2095,550719.388
900,high_variant,5yearly,2095,1277415.143
900,instant_replacement,5yearly,2095,617754.645
900,low_variant,5yearly,2095,294925.951
900,medium_variant,5yearly,2095,660103.706
900,no_change,5yearly,2095,2712447.328
900,zero_migration,5yearly,2095,659924.072000001
