global,year,variant,gender,freq,agebroad,percentagetotaldeaths
900,1965,estimates,male,5yearly,0_24,48.3669857812471
900,1965,estimates,female,5yearly,5_14,4.97199391850263
900,1965,estimates,male,5yearly,5_14,4.71206497277456
900,1965,estimates,female,5yearly,15plus,56.8780777911706
900,1965,estimates,male,5yearly,15plus,55.4342649766397
900,1965,estimates,female,5yearly,15_24,3.56337099487996
900,1965,estimates,male,5yearly,15_24,3.80125075788673
900,1965,estimates,female,5yearly,15_49,15.1300525768087
900,1965,estimates,male,5yearly,15_49,16.2885888279993
900,1965,estimates,female,5yearly,15_59,22.5077786444828
900,1965,estimates,male,5yearly,15_59,25.2341764613575
900,1965,estimates,female,5yearly,15_64,27.5961371424703
900,1965,estimates,male,5yearly,15_64,31.3431452411532
900,1965,estimates,female,5yearly,20plus,55.1515520462599
900,1965,estimates,male,5yearly,20plus,53.6080294009553
900,1965,estimates,female,5yearly,20_64,25.8696113975596
900,1965,estimates,male,5yearly,20_64,29.5169096654688
900,1965,estimates,female,5yearly,20_69,31.8595921255821
900,1965,estimates,male,5yearly,20_69,36.1062714775688
900,1965,estimates,female,5yearly,25plus,53.3147067962906
900,1965,estimates,male,5yearly,25plus,51.6330142187529
900,1965,estimates,female,5yearly,25_69,30.0227468756129
900,1965,estimates,male,5yearly,25_69,34.1312562953665
900,1965,estimates,female,5yearly,40plus,46.9840482650517
900,1965,estimates,male,5yearly,40plus,45.0997114970416
900,1965,estimates,female,5yearly,50plus,41.7480252143619
900,1965,estimates,male,5yearly,50plus,39.1456761486404
900,1965,estimates,female,5yearly,60plus,34.3702991466878
900,1965,estimates,male,5yearly,60plus,30.2000885152821
900,1965,estimates,female,5yearly,65plus,29.2819406487003
900,1965,estimates,male,5yearly,65plus,24.0911197354865
900,1965,estimates,female,5yearly,70plus,23.2919599206778
900,1965,estimates,male,5yearly,70plus,17.5017579233865
900,1965,estimates,female,5yearly,80plus,10.064750123905
900,1965,estimates,male,5yearly,80plus,6.04137618135729
900,1965,estimates,female,5yearly,90plus,1.52882308421169
900,1965,estimates,male,5yearly,90plus,0.694127539933859
900,1970,estimates,female,5yearly,0_4,35.9145902924384
900,1970,estimates,male,5yearly,0_4,36.6397347641263
900,1970,estimates,female,5yearly,0_14,40.780961400625
900,1970,estimates,male,5yearly,0_14,41.2794166968717
900,1970,estimates,female,5yearly,0_19,42.4343312678428
900,1970,estimates,male,5yearly,0_19,43.0475874063656
900,1970,estimates,female,5yearly,0_24,44.240743554961
900,1970,estimates,male,5yearly,0_24,45.0199836012445
900,1970,estimates,female,5yearly,5_14,4.8663711081866
900,1970,estimates,male,5yearly,5_14,4.63968193274539
900,1970,estimates,female,5yearly,15plus,59.219038599375
900,1970,estimates,male,5yearly,15plus,58.7205833031283
900,1970,estimates,female,5yearly,15_24,3.45978215433593
900,1970,estimates,male,5yearly,15_24,3.74056690437283
900,1970,estimates,female,5yearly,15_49,13.659648800798
900,1970,estimates,male,5yearly,15_49,15.6199698480007
900,1970,estimates,female,5yearly,15_59,20.6706383420076
900,1970,estimates,male,5yearly,15_59,24.6875235737038
900,1970,estimates,female,5yearly,15_64,25.9080270912086
900,1970,estimates,male,5yearly,15_64,31.1622031487503
900,1970,estimates,female,5yearly,20plus,57.5656687321573
900,1970,estimates,male,5yearly,20plus,56.9524125936344
900,1970,estimates,female,5yearly,20_64,24.2546572239909
900,1970,estimates,male,5yearly,20_64,29.3940324392564
900,1970,estimates,female,5yearly,20_69,30.7218707561271
900,1970,estimates,male,5yearly,20_69,36.6729178324835
900,1970,estimates,female,5yearly,25plus,55.7592564450391
900,1970,estimates,male,5yearly,25plus,54.9800163987555
900,1970,estimates,female,5yearly,25_69,28.9154584690089
