country,year,variant,gender,freq,agebroad,totaldeaths
854,1975,Estimates,male,5yearly,0_14,229.677
854,1975,Estimates,female,5yearly,0_19,220.096
854,1975,Estimates,male,5yearly,0_19,238.792
854,1975,Estimates,female,5yearly,0_24,229.767
854,1975,Estimates,male,5yearly,0_24,249.704
854,1975,Estimates,female,5yearly,5_14,25.451
854,1975,Estimates,male,5yearly,5_14,25.542
854,1975,Estimates,female,5yearly,15plus,125.954
854,1975,Estimates,male,5yearly,15plus,131.64
854,1975,Estimates,female,5yearly,15_24,18.381
854,1975,Estimates,male,5yearly,15_24,20.027
854,1975,Estimates,female,5yearly,15_49,54.721
854,1975,Estimates,male,5yearly,15_49,58.291
854,1975,Estimates,female,5yearly,15_59,70.966
854,1975,Estimates,male,5yearly,15_59,77.405
854,1975,Estimates,female,5yearly,15_64,82.468
854,1975,Estimates,male,5yearly,15_64,89.882
854,1975,Estimates,female,5yearly,20plus,117.244
854,1975,Estimates,male,5yearly,20plus,122.525
854,1975,Estimates,female,5yearly,20_64,73.758
854,1975,Estimates,male,5yearly,20_64,80.767
854,1975,Estimates,female,5yearly,20_69,87.155
854,1975,Estimates,male,5yearly,20_69,94.307
854,1975,Estimates,female,5yearly,25plus,107.573
854,1975,Estimates,male,5yearly,25plus,111.613
854,1975,Estimates,female,5yearly,25_69,77.484
854,1975,Estimates,male,5yearly,25_69,83.395
854,1975,Estimates,female,5yearly,40plus,83.966
854,1975,Estimates,male,5yearly,40plus,87.594
854,1975,Estimates,female,5yearly,50plus,71.233
854,1975,Estimates,male,5yearly,50plus,73.349
854,1975,Estimates,female,5yearly,60plus,54.988
854,1975,Estimates,male,5yearly,60plus,54.235
854,1975,Estimates,female,5yearly,65plus,43.486
854,1975,Estimates,male,5yearly,65plus,41.758
854,1975,Estimates,female,5yearly,70plus,30.089
854,1975,Estimates,male,5yearly,70plus,28.218
854,1975,Estimates,female,5yearly,80plus,6.802
854,1975,Estimates,male,5yearly,80plus,6.02
854,1975,Estimates,female,5yearly,90plus,0.238
854,1975,Estimates,male,5yearly,90plus,0.188
854,1980,Estimates,female,5yearly,0_4,184.272
854,1980,Estimates,male,5yearly,0_4,202.884
854,1980,Estimates,female,5yearly,0_14,205.565
854,1980,Estimates,male,5yearly,0_14,223.986
854,1980,Estimates,female,5yearly,0_19,212.495
854,1980,Estimates,male,5yearly,0_19,231.109
854,1980,Estimates,female,5yearly,0_24,220.214
854,1980,Estimates,male,5yearly,0_24,239.546
