region,year,variant,freq,age1yearinterval,lifeexpectancy
927,2010,estimates,5yearly,45,38.6139346865719
927,2010,estimates,5yearly,50,33.9483337097497
927,2010,estimates,5yearly,55,29.3857878916061
927,2010,estimates,5yearly,60,24.9450215056954
927,2010,estimates,5yearly,65,20.6662222414266
927,2010,estimates,5yearly,70,16.5877878024707
927,2010,estimates,5yearly,75,12.8401770535236
927,2010,estimates,5yearly,80,9.58987568235087
927,2010,estimates,5yearly,85,6.92035749299555
927,2010,estimates,5yearly,90,4.86630767671956
927,2010,estimates,5yearly,95,3.39613892151211
927,2010,estimates,5yearly,100plus,2.41801194886828
927,2015,medium_variant,5yearly,0,82.9831861572936
927,2015,medium_variant,5yearly,1,82.2541369059766
927,2015,medium_variant,5yearly,5,78.3106623835697
927,2015,medium_variant,5yearly,10,73.3395722721755
927,2015,medium_variant,5yearly,15,68.3793707528894
927,2015,medium_variant,5yearly,20,63.4785365441633
927,2015,medium_variant,5yearly,25,58.6198526218477
927,2015,medium_variant,5yearly,30,53.7620035479732
927,2015,medium_variant,5yearly,35,48.9064867822701
927,2015,medium_variant,5yearly,40,44.0710368033798
927,2015,medium_variant,5yearly,45,39.2777930281882
927,2015,medium_variant,5yearly,50,34.5522749964524
927,2015,medium_variant,5yearly,55,29.9213813400926
927,2015,medium_variant,5yearly,60,25.416776211013
927,2015,medium_variant,5yearly,65,21.0786424941178
927,2015,medium_variant,5yearly,70,16.9379490675146
927,2015,medium_variant,5yearly,75,13.1225966185434
927,2015,medium_variant,5yearly,80,9.79923242880247
927,2015,medium_variant,5yearly,85,7.05917400854174
927,2015,medium_variant,5yearly,90,4.94556621770065
927,2015,medium_variant,5yearly,95,3.43248042493816
927,2015,medium_variant,5yearly,100plus,2.42864662993577
927,2020,medium_variant,5yearly,0,83.8026336127066
927,2020,medium_variant,5yearly,1,83.0429634941609
927,2020,medium_variant,5yearly,5,79.0935574751655
927,2020,medium_variant,5yearly,10,74.1191089880652
927,2020,medium_variant,5yearly,15,69.1548526119256
927,2020,medium_variant,5yearly,20,64.2446571649636
927,2020,medium_variant,5yearly,25,59.3728524523944
927,2020,medium_variant,5yearly,30,54.5036508379122
927,2020,medium_variant,5yearly,35,49.6373821482938
927,2020,medium_variant,5yearly,40,44.7883861349392
927,2020,medium_variant,5yearly,45,39.977462850751
927,2020,medium_variant,5yearly,50,35.2283174718717
927,2020,medium_variant,5yearly,55,30.565164799554
927,2020,medium_variant,5yearly,60,26.0189029633581
927,2020,medium_variant,5yearly,65,21.6257918271921
927,2020,medium_variant,5yearly,70,17.4124965225324
927,2020,medium_variant,5yearly,75,13.5106197886509
927,2020,medium_variant,5yearly,80,10.0917705364335
927,2020,medium_variant,5yearly,85,7.25736214773617
927,2020,medium_variant,5yearly,90,5.0622424605119
927,2020,medium_variant,5yearly,95,3.48906155113433
927,2020,medium_variant,5yearly,100plus,2.44831687022761
927,2025,medium_variant,5yearly,0,84.4910397738045
927,2025,medium_variant,5yearly,1,83.7077080838996
927,2025,medium_variant,5yearly,5,79.7531647042872
927,2025,medium_variant,5yearly,10,74.7759412770893
927,2025,medium_variant,5yearly,15,69.8085464487427
927,2025,medium_variant,5yearly,20,64.890841645612
927,2025,medium_variant,5yearly,25,60.0090790821935
927,2025,medium_variant,5yearly,30,55.1296379618846
927,2025,medium_variant,5yearly,35,50.2539587097127
927,2025,medium_variant,5yearly,40,45.3948552897299
927,2025,medium_variant,5yearly,45,40.570005459043
927,2025,medium_variant,5yearly,50,35.8016110491828
927,2025,medium_variant,5yearly,55,31.112727595766
927,2025,medium_variant,5yearly,60,26.531703994305
927,2025,medium_variant,5yearly,65,22.0944959685134
927,2025,medium_variant,5yearly,70,17.8206425250124
927,2025,medium_variant,5yearly,75,13.8375920538248
927,2025,medium_variant,5yearly,80,10.3291931895894
927,2025,medium_variant,5yearly,85,7.40713202811401
927,2025,medium_variant,5yearly,90,5.13815236780179
927,2025,medium_variant,5yearly,95,3.51329746851697
927,2025,medium_variant,5yearly,100plus,2.44402595837101
927,2030,medium_variant,5yearly,0,85.1664091810545
927,2030,medium_variant,5yearly,1,84.3625038400937
927,2030,medium_variant,5yearly,5,80.4034688468023
927,2030,medium_variant,5yearly,10,75.4241425386421
927,2030,medium_variant,5yearly,15,70.4539435190758
927,2030,medium_variant,5yearly,20,65.5296074671768
927,2030,medium_variant,5yearly,25,60.6385140434941
927,2030,medium_variant,5yearly,30,55.7498442643552
927,2030,medium_variant,5yearly,35,50.8645222776363
927,2030,medium_variant,5yearly,40,45.9951106408718
927,2030,medium_variant,5yearly,45,41.1577911574732
927,2030,medium_variant,5yearly,50,36.3718858049647
927,2030,medium_variant,5yearly,55,31.6590012808216
927,2030,medium_variant,5yearly,60,27.0463672588855
927,2030,medium_variant,5yearly,65,22.5665840814125
