continent,year,variant,gender,freq,agebroad,percentagetotaldeaths
909,1965,Estimates,male,5yearly,0_24,21.4073071190567
909,1965,Estimates,female,5yearly,5_14,2.20477894493824
909,1965,Estimates,male,5yearly,5_14,2.30864072290849
909,1965,Estimates,female,5yearly,15plus,82.1693793528031
909,1965,Estimates,male,5yearly,15plus,82.3264325121538
909,1965,Estimates,female,5yearly,15_24,3.27422178614029
909,1965,Estimates,male,5yearly,15_24,3.73373963121054
909,1965,Estimates,female,5yearly,15_49,14.3445303782369
909,1965,Estimates,male,5yearly,15_49,16.7281835987795
909,1965,Estimates,female,5yearly,15_59,23.334150986956
909,1965,Estimates,male,5yearly,15_59,29.4186845000741
909,1965,Estimates,female,5yearly,15_64,29.4093174035169
909,1965,Estimates,male,5yearly,15_64,38.3516453503344
909,1965,Estimates,female,5yearly,20plus,80.6759590596021
909,1965,Estimates,male,5yearly,20plus,80.6192401033172
909,1965,Estimates,female,5yearly,20_64,27.9158971103159
909,1965,Estimates,male,5yearly,20_64,36.6444529414978
909,1965,Estimates,female,5yearly,20_69,35.6610008080342
909,1965,Estimates,male,5yearly,20_69,46.7354407759717
909,1965,Estimates,female,5yearly,25plus,78.8951575666628
909,1965,Estimates,male,5yearly,25plus,78.5926928809433
909,1965,Estimates,female,5yearly,25_69,33.8801993150948
909,1965,Estimates,male,5yearly,25_69,44.7088935535978
909,1965,Estimates,female,5yearly,40plus,73.4094232175151
909,1965,Estimates,male,5yearly,40plus,72.6872624835153
909,1965,Estimates,female,5yearly,50plus,67.8248489745662
909,1965,Estimates,male,5yearly,50plus,65.5982489133743
909,1965,Estimates,female,5yearly,60plus,58.8352283658471
909,1965,Estimates,male,5yearly,60plus,52.9077480120797
909,1965,Estimates,female,5yearly,65plus,52.7600619492862
909,1965,Estimates,male,5yearly,65plus,43.9747871618194
909,1965,Estimates,female,5yearly,70plus,45.014958251568
909,1965,Estimates,male,5yearly,70plus,33.8837993273455
909,1965,Estimates,female,5yearly,80plus,23.4072588402786
909,1965,Estimates,male,5yearly,80plus,13.6803642634745
909,1965,Estimates,female,5yearly,90plus,4.48218477047982
909,1965,Estimates,male,5yearly,90plus,1.87067398106891
909,1970,Estimates,female,5yearly,0_4,14.9415173104626
909,1970,Estimates,male,5yearly,0_4,14.6299603623156
909,1970,Estimates,female,5yearly,0_14,16.9244836958395
909,1970,Estimates,male,5yearly,0_14,16.7497475546714
909,1970,Estimates,female,5yearly,0_19,18.3362932704127
909,1970,Estimates,male,5yearly,0_19,18.5132854063993
