continent,year,variant,agebroad,population
909,1990,Estimates,70plus,1580.564
909,1990,Estimates,75plus,940.041
909,1990,Estimates,80plus,459.512
909,1990,Estimates,85plus,177.598
909,1990,Estimates,90plus,52.078
909,1995,Estimates,total,29053.844
909,1995,Estimates,0_1,1091.558
909,1995,Estimates,0_4,2666.641
909,1995,Estimates,0_14,7625.271
909,1995,Estimates,0_17,9024.522
909,1995,Estimates,0_19,9965.516
909,1995,Estimates,0_24,12392.289
909,1995,Estimates,3_4,1042.896
909,1995,Estimates,3_5,1555.518
909,1995,Estimates,3_6,2063.303
909,1995,Estimates,4_5,1030.832
909,1995,Estimates,4_6,1538.617
909,1995,Estimates,5_10,3014.542
909,1995,Estimates,5_11,3506.986
909,1995,Estimates,5_14,4958.63
909,1995,Estimates,6_9,2007.91
909,1995,Estimates,6_10,2501.92
909,1995,Estimates,6_11,2994.364
909,1995,Estimates,6_12,3483.889
909,1995,Estimates,7_10,1994.135
909,1995,Estimates,7_12,2976.104
909,1995,Estimates,11_16,2880.904
909,1995,Estimates,11_17,3343.339
909,1995,Estimates,11_18,3809.862
909,1995,Estimates,12_14,1451.644
909,1995,Estimates,12_16,2388.46
909,1995,Estimates,12_17,2850.895
909,1995,Estimates,12_18,3317.418
909,1995,Estimates,13_17,2361.37
909,1995,Estimates,13_18,2827.893
909,1995,Estimates,13_19,3302.364
909,1995,Estimates,15plus,21428.573
909,1995,Estimates,15_17,1399.251
909,1995,Estimates,15_24,4767.018
909,1995,Estimates,15_49,15143.266
909,1995,Estimates,15_59,17663.723
909,1995,Estimates,15_64,18644.542
909,1995,Estimates,16plus,20956.754
909,1995,Estimates,17plus,20491.757
909,1995,Estimates,18plus,20029.322
909,1995,Estimates,18_23,2893.156
909,1995,Estimates,20plus,19088.328
909,1995,Estimates,20_64,16304.297
909,1995,Estimates,20_69,17220.243
909,1995,Estimates,21plus,18606.493
909,1995,Estimates,25plus,16661.555
909,1995,Estimates,25_49,10376.248
909,1995,Estimates,25_64,13877.524
909,1995,Estimates,25_69,14793.47
909,1995,Estimates,50plus,6285.307
909,1995,Estimates,60plus,3764.85
909,1995,Estimates,65plus,2784.031
909,1995,Estimates,70plus,1868.085
909,1995,Estimates,75plus,1100.108
909,1995,Estimates,80plus,580.63
909,1995,Estimates,85plus,231.563
909,1995,Estimates,90plus,66.879
909,2000,Estimates,total,31067.62
909,2000,Estimates,0_1,1093.872
909,2000,Estimates,0_4,2749.994
909,2000,Estimates,0_14,8003.246
909,2000,Estimates,0_17,9491.091
909,2000,Estimates,0_19,10448.503
909,2000,Estimates,0_24,12731.829
909,2000,Estimates,3_4,1104.225
909,2000,Estimates,3_5,1653.434
909,2000,Estimates,3_6,2198.985
909,2000,Estimates,4_5,1100.838
909,2000,Estimates,4_6,1646.389
909,2000,Estimates,5_10,3223.224
909,2000,Estimates,5_11,3738.328
909,2000,Estimates,5_14,5253.252
909,2000,Estimates,6_9,2151.311
909,2000,Estimates,6_10,2674.015
909,2000,Estimates,6_11,3189.119
909,2000,Estimates,6_12,3697.848
909,2000,Estimates,7_10,2128.464
909,2000,Estimates,7_12,3152.297
909,2000,Estimates,11_16,3025.527
909,2000,Estimates,11_17,3517.873
909,2000,Estimates,11_18,4001.797
