agebroad,gender,population,global,variant,year
0_19,male,605847.148,900,estimates,1953
0_24,male,721410.166,900,estimates,1953
3_4,male,71484.489,900,estimates,1953
3_5,male,104131.708,900,estimates,1953
3_6,male,135122.66,900,estimates,1953
4_5,male,67250.792,900,estimates,1953
4_6,male,98241.744,900,estimates,1953
5_14,male,282021.06,900,estimates,1953
5_10,male,176038.819,900,estimates,1953
5_11,male,202548.223,900,estimates,1953
6_9,male,116563.154,900,estimates,1953
6_10,male,143391.6,900,estimates,1953
6_11,male,169901.004,900,estimates,1953
6_12,male,196326.197,900,estimates,1953
7_10,male,112400.648,900,estimates,1953
7_12,male,165335.245,900,estimates,1953
11_16,male,158658.711,900,estimates,1953
11_17,male,184088.568,900,estimates,1953
11_18,male,208908.188,900,estimates,1953
12_14,male,79472.837,900,estimates,1953
12_16,male,132149.307,900,estimates,1953
12_17,male,157579.164,900,estimates,1953
12_18,male,182398.784,900,estimates,1953
13_17,male,131153.971,900,estimates,1953
13_18,male,155973.591,900,estimates,1953
13_19,male,180177.808,900,estimates,1953
15_17,male,78106.327,900,estimates,1953
18_23,male,142019.001,900,estimates,1953
15_24,male,242693.182,900,estimates,1953
15_49,male,656581.414,900,estimates,1953
15_59,male,756896.128,900,estimates,1953
15_64,male,791796.713,900,estimates,1953
20_64,male,664666.549,900,estimates,1953
20_69,male,690731.238,900,estimates,1953
25_49,male,413888.232,900,estimates,1953
25_64,male,549103.531,900,estimates,1953
25_69,male,575168.22,900,estimates,1953
15plus,male,851307.602,900,estimates,1953
16plus,male,824748.214,900,estimates,1953
17plus,male,798631.132,900,estimates,1953
18plus,male,773201.275,900,estimates,1953
20plus,male,724177.438,900,estimates,1953
21plus,male,700488.84,900,estimates,1953
25plus,male,608614.42,900,estimates,1953
50plus,male,194726.188,900,estimates,1953
60plus,male,94411.474,900,estimates,1953
65plus,male,59510.889,900,estimates,1953
70plus,male,33446.2,900,estimates,1953
75plus,male,16350.561,900,estimates,1953
80plus,male,6452.528,900,estimates,1953
85plus,male,1921.436,900,estimates,1953
90plus,male,480.187,900,estimates,1953
total,male,1330024.586,900,estimates,1953
0,female,43277.421,900,estimates,1954
0_1,female,84010.642,900,estimates,1954
0_4,female,193474.612,900,estimates,1954
0_14,female,469346.16,900,estimates,1954
0_17,female,544835.6,900,estimates,1954
0_19,female,592861.666,900,estimates,1954
0_24,female,705522.623,900,estimates,1954
3_4,female,71018.172,900,estimates,1954
3_5,female,103810.102,900,estimates,1954
3_6,female,134894.523,900,estimates,1954
4_5,female,67505.708,900,estimates,1954
4_6,female,98590.129,900,estimates,1954
5_14,female,275871.548,900,estimates,1954
5_10,female,175052.985,900,estimates,1954
5_11,female,200485.563,900,estimates,1954
6_9,female,116125.838,900,estimates,1954
6_10,female,142261.055,900,estimates,1954
6_11,female,167693.633,900,estimates,1954
6_12,female,192828.052,900,estimates,1954
7_10,female,111176.634,900,estimates,1954
7_12,female,161743.631,900,estimates,1954
11_16,female,151413.236,900,estimates,1954
11_17,female,176308.003,900,estimates,1954
11_18,female,200589.03,900,estimates,1954
12_14,female,75385.985,900,estimates,1954
12_16,female,125980.658,900,estimates,1954
12_17,female,150875.425,900,estimates,1954
12_18,female,175156.452,900,estimates,1954
13_17,female,125741.006,900,estimates,1954
13_18,female,150022.033,900,estimates,1954
13_19,female,173767.072,900,estimates,1954
15_17,female,75489.44,900,estimates,1954
18_23,female,138703.878,900,estimates,1954
15_24,female,236176.463,900,estimates,1954
15_49,female,660446.783,900,estimates,1954
15_59,female,769448.395,900,estimates,1954
15_64,female,809694.664,900,estimates,1954
20_64,female,686179.158,900,estimates,1954
20_69,female,718193.657,900,estimates,1954
25_49,female,424270.32,900,estimates,1954
25_64,female,573518.201,900,estimates,1954
25_69,female,605532.7,900,estimates,1954
15plus,female,887774.335,900,estimates,1954
16plus,female,862464.002,900,estimates,1954
17plus,female,837179.662,900,estimates,1954
18plus,female,812284.895,900,estimates,1954
20plus,female,764258.829,900,estimates,1954
21plus,female,741044.504,900,estimates,1954
25plus,female,651597.872,900,estimates,1954
50plus,female,227327.552,900,estimates,1954
60plus,female,118325.94,900,estimates,1954
65plus,female,78079.671,900,estimates,1954
70plus,female,46065.172,900,estimates,1954
75plus,female,23671.697,900,estimates,1954
80plus,female,10082.847,900,estimates,1954
85plus,female,3267.299,900,estimates,1954
90plus,female,895.735,900,estimates,1954
total,female,1357120.495,900,estimates,1954
0,male,45132.713,900,estimates,1954
0_1,male,87949.492,900,estimates,1954
0_4,male,201707.628,900,estimates,1954
0_14,male,489797.82,900,estimates,1954
0_17,male,568752.676,900,estimates,1954
0_19,male,618754.546,900,estimates,1954
0_24,male,735250.261,900,estimates,1954
3_4,male,73717.409,900,estimates,1954
3_5,male,107740.976,900,estimates,1954
3_6,male,140030.221,900,estimates,1954
4_5,male,70017.032,900,estimates,1954
4_6,male,102306.277,900,estimates,1954
5_14,male,288090.192,900,estimates,1954
5_10,male,182332.523,900,estimates,1954
5_11,male,209018.248,900,estimates,1954
6_9,male,120935.995,900,estimates,1954
6_10,male,148308.956,900,estimates,1954
6_11,male,174994.681,900,estimates,1954
6_12,male,201376.967,900,estimates,1954
7_10,male,116019.711,900,estimates,1954
7_12,male,169087.722,900,estimates,1954
11_16,male,158712.906,900,estimates,1954
11_17,male,184712.525,900,estimates,1954
11_18,male,210022.103,900,estimates,1954
12_14,male,79071.944,900,estimates,1954
12_16,male,132027.181,900,estimates,1954
12_17,male,158026.8,900,estimates,1954
12_18,male,183336.378,900,estimates,1954
13_17,male,131644.514,900,estimates,1954
13_18,male,156954.092,900,estimates,1954
13_19,male,181646.384,900,estimates,1954
15_17,male,78954.856,900,estimates,1954
18_23,male,143795.731,900,estimates,1954
15_24,male,245452.441,900,estimates,1954
15_49,male,665855.52,900,estimates,1954
15_59,male,768414.883,900,estimates,1954
15_64,male,803695.928,900,estimates,1954
20_64,male,674739.202,900,estimates,1954
20_69,male,701171.354,900,estimates,1954
25_49,male,420403.079,900,estimates,1954
25_64,male,558243.487,900,estimates,1954
25_69,male,584675.639,900,estimates,1954
15plus,male,863759.458,900,estimates,1954
16plus,male,837252.497,900,estimates,1954
17plus,male,810804.221,900,estimates,1954
