region,year,variant,freq,agebroad,totaldeaths
957,1975,estimates,5yearly,75_79,1.117
957,1975,estimates,5yearly,80_84,0.698
957,1975,estimates,5yearly,85_89,0.364
957,1975,estimates,5yearly,90_94,0.142
957,1975,estimates,5yearly,95plus,0.029
957,1975,estimates,5yearly,0_14,5.622
957,1975,estimates,5yearly,0_19,6.081
957,1975,estimates,5yearly,0_24,6.594
957,1975,estimates,5yearly,5_14,0.646
957,1975,estimates,5yearly,15plus,12.43
957,1975,estimates,5yearly,15_24,0.972
957,1975,estimates,5yearly,15_49,3.814
957,1975,estimates,5yearly,15_59,5.975
957,1975,estimates,5yearly,15_64,7.309
957,1975,estimates,5yearly,20plus,11.971
957,1975,estimates,5yearly,20_64,6.85
957,1975,estimates,5yearly,20_69,8.274
957,1975,estimates,5yearly,25plus,11.458
957,1975,estimates,5yearly,25_69,7.761
957,1975,estimates,5yearly,40plus,10.041
957,1975,estimates,5yearly,50plus,8.616
957,1975,estimates,5yearly,60plus,6.455
957,1975,estimates,5yearly,65plus,5.121
957,1975,estimates,5yearly,70plus,3.697
957,1975,estimates,5yearly,80plus,1.233
957,1975,estimates,5yearly,90plus,0.171
957,1980,estimates,5yearly,0_4,3.965
957,1980,estimates,5yearly,5_9,0.238
957,1980,estimates,5yearly,10_14,0.26
957,1980,estimates,5yearly,15_19,0.414
957,1980,estimates,5yearly,20_24,0.486
957,1980,estimates,5yearly,25_29,0.456
957,1980,estimates,5yearly,30_34,0.424
957,1980,estimates,5yearly,35_39,0.464
957,1980,estimates,5yearly,40_44,0.585
957,1980,estimates,5yearly,45_49,0.752
957,1980,estimates,5yearly,50_54,0.965
957,1980,estimates,5yearly,55_59,1.204
957,1980,estimates,5yearly,60_64,1.384
957,1980,estimates,5yearly,65_69,1.509
957,1980,estimates,5yearly,70_74,1.483
957,1980,estimates,5yearly,75_79,1.207
957,1980,estimates,5yearly,80_84,0.882
957,1980,estimates,5yearly,85_89,0.44
957,1980,estimates,5yearly,90_94,0.155
957,1980,estimates,5yearly,95plus,0.037
957,1980,estimates,5yearly,0_14,4.463
957,1980,estimates,5yearly,0_19,4.877
957,1980,estimates,5yearly,0_24,5.363
957,1980,estimates,5yearly,5_14,0.498
957,1980,estimates,5yearly,15plus,12.847
957,1980,estimates,5yearly,15_24,0.9
957,1980,estimates,5yearly,15_49,3.581
957,1980,estimates,5yearly,15_59,5.75
957,1980,estimates,5yearly,15_64,7.134
957,1980,estimates,5yearly,20plus,12.433
957,1980,estimates,5yearly,20_64,6.72
957,1980,estimates,5yearly,20_69,8.229
957,1980,estimates,5yearly,25plus,11.947
957,1980,estimates,5yearly,25_69,7.743
957,1980,estimates,5yearly,40plus,10.603
957,1980,estimates,5yearly,50plus,9.266
957,1980,estimates,5yearly,60plus,7.097
957,1980,estimates,5yearly,65plus,5.713
957,1980,estimates,5yearly,70plus,4.204
957,1980,estimates,5yearly,80plus,1.514
957,1980,estimates,5yearly,90plus,0.192
957,1985,estimates,5yearly,0_4,3.146
957,1985,estimates,5yearly,5_9,0.189
957,1985,estimates,5yearly,10_14,0.206
957,1985,estimates,5yearly,15_19,0.356
957,1985,estimates,5yearly,20_24,0.468
957,1985,estimates,5yearly,25_29,0.449
957,1985,estimates,5yearly,30_34,0.44
957,1985,estimates,5yearly,35_39,0.464
957,1985,estimates,5yearly,40_44,0.55
957,1985,estimates,5yearly,45_49,0.716
957,1985,estimates,5yearly,50_54,0.945
957,1985,estimates,5yearly,55_59,1.211
957,1985,estimates,5yearly,60_64,1.485
957,1985,estimates,5yearly,65_69,1.603
957,1985,estimates,5yearly,70_74,1.612
957,1985,estimates,5yearly,75_79,1.443
957,1985,estimates,5yearly,80_84,0.985
957,1985,estimates,5yearly,85_89,0.573
957,1985,estimates,5yearly,90_94,0.2
957,1985,estimates,5yearly,95plus,0.043
957,1985,estimates,5yearly,0_14,3.541
