global,variant,gender,year,population
900,Medium_variant,female,2036,4419837.328
900,Medium_variant,male,2036,4484340.135
900,No_change,female,2036,4480821.118
900,No_change,male,2036,4541496.496
900,Zero_migration,female,2036,4418839.429
900,Zero_migration,male,2036,4487087.112
900,Constant_fertility,female,2037,4650580.254
900,Constant_fertility,male,2037,4730542.583
900,Constant_mortality,female,2037,4326477.451
900,Constant_mortality,male,2037,4378129.134
900,High_variant,female,2037,4708789.168
900,High_variant,male,2037,4789721.915
900,Instant_replacement,female,2037,4320503.639
900,Instant_replacement,male,2037,4385850.07
900,Low_variant,female,2037,4196990.917
900,Low_variant,male,2037,4243985.038
900,Medium_variant,female,2037,4452365.517
900,Medium_variant,male,2037,4516296.975
900,No_change,female,2037,4519987.861
900,No_change,male,2037,4579887.95
900,Zero_migration,female,2037,4451274.667
900,Zero_migration,male,2037,4519106.343
900,Constant_fertility,female,2038,4701595.097
900,Constant_fertility,male,2038,4782428.427
900,Constant_mortality,female,2038,4347875.796
900,Constant_mortality,male,2038,4398059.109
900,High_variant,female,2038,4756838.166
900,High_variant,male,2038,4838150.968
900,Instant_replacement,female,2038,4346452.56
900,Instant_replacement,male,2038,4411321.81
900,Low_variant,female,2038,4213757.412
900,Low_variant,male,2038,4259311.393
900,Medium_variant,female,2038,4484482.578
900,Medium_variant,male,2038,4547865.543
900,No_change,female,2038,4559292.611
900,No_change,male,2038,4618451.407
900,Zero_migration,female,2038,4483292.483
900,Zero_migration,male,2038,4550725.582
900,Constant_fertility,female,2039,4753359.222
900,Constant_fertility,male,2039,4835177.421
900,Constant_mortality,female,2039,4368413.253
900,Constant_mortality,male,2039,4417132.447
900,High_variant,female,2039,4805046.565
900,High_variant,male,2039,4886806.449
900,Instant_replacement,female,2039,4371763.606
900,Instant_replacement,male,2039,4436202.717
900,Low_variant,female,2039,4229694.387
900,Low_variant,male,2039,4273841.569
900,Medium_variant,female,2039,4516167.155
900,Medium_variant,male,2039,4579045.681
900,No_change,female,2039,4598774.569
900,No_change,male,2039,4657229.431
900,Zero_migration,female,2039,4514872.642
900,Zero_migration,male,2039,4581946.049
900,Constant_fertility,female,2040,4805913.627
900,Constant_fertility,male,2040,4888848.394
900,Constant_mortality,female,2040,4388082.149
900,Constant_mortality,male,2040,4435345.817
900,High_variant,female,2040,4853477.034
900,High_variant,male,2040,4935771.785
900,Instant_replacement,female,2040,4396399.773
900,Instant_replacement,male,2040,4460471.892
900,Low_variant,female,2040,4244734.309
900,Low_variant,male,2040,4287522.268
900,Medium_variant,female,2040,4547399.696
900,Medium_variant,male,2040,4609834.28
900,No_change,female,2040,4638471.848
900,No_change,male,2040,4696264.407
900,Zero_migration,female,2040,4545996.525
900,Zero_migration,male,2040,4612765.77
900,Constant_fertility,female,2041,4859305.769
900,Constant_fertility,male,2041,4943501.36
900,Constant_mortality,female,2041,4406879.612
900,Constant_mortality,male,2041,4452701.666
900,High_variant,female,2041,4902162.891
900,High_variant,male,2041,4985093.031
900,Instant_replacement,female,2041,4420340.3
900,Instant_replacement,male,2041,4484119.359
900,Low_variant,female,2041,4258840.862
900,Low_variant,male,2041,4300326.653
900,Medium_variant,female,2041,4578169.439
900,Medium_variant,male,2041,4640231.184
900,No_change,female,2041,4678423.583
900,No_change,male,2041,4735601.292
900,Zero_migration,female,2041,4576653.885
900,Zero_migration,male,2041,4643184.66
900,Constant_fertility,female,2042,4913583.285
900,Constant_fertility,male,2042,4999185.712
900,Constant_mortality,female,2042,4424800.908
900,Constant_mortality,male,2042,4469201.733
900,High_variant,female,2042,4951121.845
900,High_variant,male,2042,5034791.662
900,Instant_replacement,female,2042,4443589.799
900,Instant_replacement,male,2042,4507152.591
900,Low_variant,female,2042,4271988.707
900,Low_variant,male,2042,4312230.413
900,Medium_variant,female,2042,4608465.95
900,Medium_variant,male,2042,4670228.052
900,No_change,female,2042,4718664.174
900,No_change,male,2042,4775282.633
900,Zero_migration,female,2042,4606834.533
900,Zero_migration,male,2042,4673194.196
900,Constant_fertility,female,2043,4968788.433
900,Constant_fertility,male,2043,5055937.3
900,Constant_mortality,female,2043,4441834.406
900,Constant_mortality,male,2043,4484840.886
900,High_variant,female,2043,5000377.868
900,High_variant,male,2043,5084891.726
900,Instant_replacement,female,2043,4466170.186
900,Instant_replacement,male,2043,4529591.738
900,Low_variant,female,2043,4284136.504
900,Low_variant,male,2043,4323187.499
900,Medium_variant,female,2043,4638269.876
900,Medium_variant,male,2043,4699802.63
900,No_change,female,2043,4759222.062
900,No_change,male,2043,4815345.709
900,Zero_migration,female,2043,4636519.531
900,Zero_migration,male,2043,4702772.679
900,Constant_fertility,female,2044,5024962.734
900,Constant_fertility,male,2044,5113785.151
900,Constant_mortality,female,2044,4457966.317
900,Constant_mortality,male,2044,4499611.934
900,High_variant,female,2044,5049948.344
900,High_variant,male,2044,5135406.087
900,Instant_replacement,female,2044,4488118.212
900,Instant_replacement,male,2044,4551467.567
900,Low_variant,female,2044,4295244.484
900,Low_variant,male,2044,4333148.728
900,Medium_variant,female,2044,4667559.774
900,Medium_variant,male,2044,4728926.032
900,No_change,female,2044,4800122.965
900,No_change,male,2044,4855825.884
900,Zero_migration,female,2044,4665687.753
900,Zero_migration,male,2044,4731891.881
900,Constant_fertility,female,2045,5082151.965
900,Constant_fertility,male,2045,5172767.388
900,Constant_mortality,female,2045,4473186.72
900,Constant_mortality,male,2045,4513510.155
900,High_variant,female,2045,5099842.505
900,High_variant,male,2045,5186341.512
900,Instant_replacement,female,2045,4509463.719
900,Instant_replacement,male,2045,4572806.628
900,Low_variant,female,2045,4305281.588
900,Low_variant,male,2045,4342077.307
900,Medium_variant,female,2045,4696316.798
900,Medium_variant,male,2045,4757574.982
900,No_change,female,2045,4841397.926
900,No_change,male,2045,4896761.914
900,Zero_migration,female,2045,4694320.762
900,Zero_migration,male,2045,4760528.833
900,Constant_fertility,female,2046,5140412.057
900,Constant_fertility,male,2046,5232939.135
900,Constant_mortality,female,2046,4487494.514
900,Constant_mortality,male,2046,4526536.761
900,High_variant,female,2046,5150069.579
900,High_variant,male,2046,5237707.693
900,Instant_replacement,female,2046,4530209.867
900,Instant_replacement,male,2046,4593611.794
900,Low_variant,female,2046,4314227.934
900,Low_variant,male,2046,4349952.099
900,Medium_variant,female,2046,4724529.912
900,Medium_variant,male,2046,4785737.788
900,No_change,female,2046,4883089.286
900,No_change,male,2046,4938200.029
900,Zero_migration,female,2046,4722407.533
900,Zero_migration,male,2046,4788672.255
900,Constant_fertility,female,2047,5199801.37
900,Constant_fertility,male,2047,5294367.532
900,Constant_mortality,female,2047,4500892.062
900,Constant_mortality,male,2047,4538695.09
900,High_variant,female,2047,5200623.332
900,High_variant,male,2047,5289503.978
900,Instant_replacement,female,2047,4550355.831
900,Instant_replacement,male,2047,4613888.452
900,Low_variant,female,2047,4322074.672
900,Low_variant,male,2047,4356770.661
900,Medium_variant,female,2047,4752189.537
900,Medium_variant,male,2047,4813410.854
900,No_change,female,2047,4925244.607
900,No_change,male,2047,4980189.798
900,Zero_migration,female,2047,4749938.942
900,Zero_migration,male,2047,4816318.243
900,Constant_fertility,female,2048,5260373.143
900,Constant_fertility,male,2048,5357118.723
900,Constant_mortality,female,2048,4513378.169
900,Constant_mortality,male,2048,4549985.561
900,High_variant,female,2048,5251474.043
900,High_variant,male,2048,5341708.498
900,Instant_replacement,female,2048,4569923.781
900,Instant_replacement,male,2048,4633669.208
900,Low_variant,female,2048,4328819.398
900,Low_variant,male,2048,4362541.181
900,Medium_variant,female,2048,4779280.771
900,Medium_variant,male,2048,4840588.751
900,No_change,female,2048,4967907.928
900,No_change,male,2048,5022778.405
900,Zero_migration,female,2048,4776901.405
900,Zero_migration,male,2048,4843460.251
900,Constant_fertility,female,2049,5322181.413
900,Constant_fertility,male,2049,5421263.87
900,Constant_mortality,female,2049,4524952.784
900,Constant_mortality,male,2049,4560408.975
900,High_variant,female,2049,5302578.554
900,High_variant,male,2049,5394287.827
900,Instant_replacement,female,2049,4588940.133
900,Instant_replacement,male,2049,4652993.913
900,Low_variant,female,2049,4334467.399
900,Low_variant,male,2049,4367283.099
900,Medium_variant,female,2049,4805788.452
900,Medium_variant,male,2049,4867268.699
900,No_change,female,2049,5011125.256
900,No_change,male,2049,5066014.237
900,Zero_migration,female,2049,4803281.437
900,Zero_migration,male,2049,4870093.872
900,Constant_fertility,female,2050,5385286.18
900,Constant_fertility,male,2050,5486875.197
900,Constant_mortality,female,2050,4535619.043
900,Constant_mortality,male,2050,4569968.041
900,High_variant,female,2050,5353897.368
900,High_variant,male,2050,5447207.933
900,Instant_replacement,female,2050,4607424.511
900,Instant_replacement,male,2050,4671890.861
900,Low_variant,female,2050,4339027.577
900,Low_variant,male,2050,4371014.916
900,Medium_variant,female,2050,4831700.968
900,Medium_variant,male,2050,4893447.026
900,No_change,female,2050,5054946.361
900,No_change,male,2050,5109948.011
900,Zero_migration,female,2050,4829068.497
900,Zero_migration,male,2050,4896214.278
900,Constant_fertility,female,2051,5449757.22
900,Constant_fertility,male,2051,5554025.557
900,Constant_mortality,female,2051,4545384.552
900,Constant_mortality,male,2051,4578671.245
900,High_variant,female,2051,5405421.222
900,High_variant,male,2051,5500460.565
900,Instant_replacement,female,2051,4625394.208
900,Instant_replacement,male,2051,4690379.725
900,Low_variant,female,2051,4342505.439
900,Low_variant,male,2051,4373743.948
900,Medium_variant,female,2051,4857015.62
900,Medium_variant,male,2051,4919122.455
900,No_change,female,2051,5099422.568
900,No_change,male,2051,5154632.874
