region,variant,freq,year,noofbirth
921,low_variant,5yearly,2040,116991.249
921,medium_variant,5yearly,2040,169775.164
921,no_change,5yearly,2040,236786.884
921,zero_migration,5yearly,2040,172956.444
921,constant_fertility,5yearly,2045,253565.731
921,constant_mortality,5yearly,2045,159786.602
921,high_variant,5yearly,2045,236927.043
921,instant_replacement,5yearly,2045,176823.297
921,low_variant,5yearly,2045,104939.508
921,medium_variant,5yearly,2045,164803.595
921,no_change,5yearly,2045,246087.604
921,zero_migration,5yearly,2045,168486.312
921,constant_fertility,5yearly,2050,264567.097
921,constant_mortality,5yearly,2050,152641.973
921,high_variant,5yearly,2050,240194.317
921,instant_replacement,5yearly,2050,176793.322
921,low_variant,5yearly,2050,94410.441
921,medium_variant,5yearly,2050,159012.502
921,no_change,5yearly,2050,254488.47
921,zero_migration,5yearly,2050,163179.677
921,constant_fertility,5yearly,2055,275334.314
921,constant_mortality,5yearly,2055,145503.154
921,high_variant,5yearly,2055,239552.281
921,instant_replacement,5yearly,2055,176799.73
921,low_variant,5yearly,2055,86335.284
921,medium_variant,5yearly,2055,153085.906
921,no_change,5yearly,2055,262445.236
921,zero_migration,5yearly,2055,157624.611
921,constant_fertility,5yearly,2060,287777.474
921,constant_mortality,5yearly,2060,139226.324
921,high_variant,5yearly,2060,239596.725
921,instant_replacement,5yearly,2060,175966.425
921,low_variant,5yearly,2060,79841.786
921,medium_variant,5yearly,2060,147999.452
921,no_change,5yearly,2060,271604.226
921,zero_migration,5yearly,2060,152811.069
921,constant_fertility,5yearly,2065,303028.967
921,constant_mortality,5yearly,2065,133678.346
921,high_variant,5yearly,2065,242813.313
921,instant_replacement,5yearly,2065,174648.746
921,low_variant,5yearly,2065,73579.614
921,medium_variant,5yearly,2065,143692.836
921,no_change,5yearly,2065,282813.661
921,zero_migration,5yearly,2065,148740.9
921,constant_fertility,5yearly,2070,320502.322
921,constant_mortality,5yearly,2070,128460.125
921,high_variant,5yearly,2070,248100.496
921,instant_replacement,5yearly,2070,173599.482
921,low_variant,5yearly,2070,67247.309
921,medium_variant,5yearly,2070,139736.556
921,no_change,5yearly,2070,295437.797
921,zero_migration,5yearly,2070,145031.352
921,constant_fertility,5yearly,2075,339183.023
921,constant_mortality,5yearly,2075,123275.121
921,high_variant,5yearly,2075,252912.59
921,instant_replacement,5yearly,2075,173110.934
921,low_variant,5yearly,2075,61242.959
921,medium_variant,5yearly,2075,135756.649
921,no_change,5yearly,2075,308588.136
921,zero_migration,5yearly,2075,141305.564
921,constant_fertility,5yearly,2080,359017.043
921,constant_mortality,5yearly,2080,118061.857
921,high_variant,5yearly,2080,255857.169
921,instant_replacement,5yearly,2080,172976.334
921,low_variant,5yearly,2080,55921.721
921,medium_variant,5yearly,2080,131635.489
921,no_change,5yearly,2080,322219.672
921,zero_migration,5yearly,2080,137414.023
921,constant_fertility,5yearly,2085,380958.596
921,constant_mortality,5yearly,2085,113109.861
921,high_variant,5yearly,2085,257664.119
921,instant_replacement,5yearly,2085,172764.829
921,low_variant,5yearly,2085,51433.199
921,medium_variant,5yearly,2085,127679.325
921,no_change,5yearly,2085,337081.404
921,zero_migration,5yearly,2085,133641.882
921,constant_fertility,5yearly,2090,405973.839
921,constant_mortality,5yearly,2090,108596.064
921,high_variant,5yearly,2090,259757.836
921,instant_replacement,5yearly,2090,172273.639
921,low_variant,5yearly,2090,47594.113
921,medium_variant,5yearly,2090,124106.348
921,no_change,5yearly,2090,353848.847
921,zero_migration,5yearly,2090,130202.874
921,constant_fertility,5yearly,2095,434323.149
921,constant_mortality,5yearly,2095,104552.733
921,high_variant,5yearly,2095,263179.094
921,instant_replacement,5yearly,2095,171616.354
921,low_variant,5yearly,2095,44147.855
921,medium_variant,5yearly,2095,120987.79
921,no_change,5yearly,2095,372586.66
921,zero_migration,5yearly,2095,127185.212
