country,variant,gender,year,population
64,Low_variant,female,2027,393.188
64,Low_variant,male,2027,445.762
64,Medium_variant,female,2027,407.511
64,Medium_variant,male,2027,460.566
64,No_change,female,2027,412.555
64,No_change,male,2027,466.083
64,Zero_migration,female,2027,407.511
64,Zero_migration,male,2027,460.566
64,Constant_fertility,female,2028,422.508
64,Constant_fertility,male,2028,475.425
64,Constant_mortality,female,2028,405.097
64,Constant_mortality,male,2028,457.804
64,High_variant,female,2028,426.936
64,High_variant,male,2028,480
64,Instant_replacement,female,2028,425.392
64,Instant_replacement,male,2028,478.404
64,Low_variant,female,2028,394.842
64,Low_variant,male,2028,446.825
64,Medium_variant,female,2028,410.888
64,Medium_variant,male,2028,463.409
64,No_change,female,2028,416.536
64,No_change,male,2028,469.602
64,Zero_migration,female,2028,410.888
64,Zero_migration,male,2028,463.409
64,Constant_fertility,female,2029,427.171
64,Constant_fertility,male,2029,479.579
64,Constant_mortality,female,2029,407.595
64,Constant_mortality,male,2029,459.783
64,High_variant,female,2029,431.926
64,High_variant,male,2029,484.491
64,Instant_replacement,female,2029,430.181
64,Instant_replacement,male,2029,482.686
64,Low_variant,female,2029,396.369
64,Low_variant,male,2029,447.741
64,Medium_variant,female,2029,414.147
64,Medium_variant,male,2029,466.112
64,No_change,female,2029,420.402
64,No_change,male,2029,472.989
64,Zero_migration,female,2029,414.147
64,Zero_migration,male,2029,466.112
64,Constant_fertility,female,2030,431.762
64,Constant_fertility,male,2030,483.64
64,Constant_mortality,female,2030,409.935
64,Constant_mortality,male,2030,461.587
64,High_variant,female,2030,436.785
64,High_variant,male,2030,488.828
64,Instant_replacement,female,2030,434.887
64,Instant_replacement,male,2030,486.865
64,Low_variant,female,2030,397.795
64,Low_variant,male,2030,448.535
64,Medium_variant,female,2030,417.29
64,Medium_variant,male,2030,468.679
64,No_change,female,2030,424.148
64,No_change,male,2030,476.241
64,Zero_migration,female,2030,417.29
64,Zero_migration,male,2030,468.679
64,Constant_fertility,female,2031,436.276
