region,year,variant,freq,age1yearinterval,survivorage
915,1990,estimates,5yearly,5,93795.8452286046
915,1990,estimates,5yearly,10,93147.9812462401
915,1990,estimates,5yearly,15,92636.6806712711
915,1990,estimates,5yearly,20,91928.5947892266
915,1990,estimates,5yearly,25,90972.4852530087
915,1990,estimates,5yearly,30,89854.1904932319
915,1990,estimates,5yearly,35,88555.4622271549
915,1990,estimates,5yearly,40,87010.4013615093
915,1990,estimates,5yearly,45,85156.6435017205
915,1990,estimates,5yearly,50,82781.9907853813
915,1990,estimates,5yearly,55,79594.5215166685
915,1990,estimates,5yearly,60,75190.7867164764
915,1990,estimates,5yearly,65,69068.7547633305
915,1990,estimates,5yearly,70,60799.5711786053
915,1990,estimates,5yearly,75,49919.4948057148
915,1990,estimates,5yearly,80,36764.9278146912
915,1990,estimates,5yearly,85,23011.7026919754
915,1990,estimates,5yearly,90,11375.3797350802
915,1990,estimates,5yearly,95,4052.89953698982
915,1990,estimates,5yearly,100plus,941.755045246656
915,1995,estimates,5yearly,"Region, subregion, country or area *",Caribbean
915,1995,estimates,5yearly,0,100000
915,1995,estimates,5yearly,1,96073.5215736758
915,1995,estimates,5yearly,5,94589.6346357955
915,1995,estimates,5yearly,10,93973.2155251332
915,1995,estimates,5yearly,15,93454.9087636112
915,1995,estimates,5yearly,20,92717.1902338806
915,1995,estimates,5yearly,25,91758.3062047541
915,1995,estimates,5yearly,30,90657.9881169784
915,1995,estimates,5yearly,35,89419.6999577349
915,1995,estimates,5yearly,40,87931.0332804411
915,1995,estimates,5yearly,45,86089.0836614207
915,1995,estimates,5yearly,50,83806.6037492251
915,1995,estimates,5yearly,55,80771.1255786127
915,1995,estimates,5yearly,60,76567.2939863717
915,1995,estimates,5yearly,65,70693.8249582326
915,1995,estimates,5yearly,70,62664.0384202599
915,1995,estimates,5yearly,75,52014.9496060215
915,1995,estimates,5yearly,80,38988.3139469291
915,1995,estimates,5yearly,85,25086.0394875092
915,1995,estimates,5yearly,90,12927.5826557738
915,1995,estimates,5yearly,95,4888.11388300646
915,1995,estimates,5yearly,100plus,1229.43397507601
915,2000,estimates,5yearly,"Region, subregion, country or area *",Caribbean
915,2000,estimates,5yearly,0,100000
915,2000,estimates,5yearly,1,96703.744317159
915,2000,estimates,5yearly,5,95271.6898366708
915,2000,estimates,5yearly,10,94652.033843277
915,2000,estimates,5yearly,15,94149.4010167325
915,2000,estimates,5yearly,20,93412.2099177185
915,2000,estimates,5yearly,25,92381.3075376796
915,2000,estimates,5yearly,30,91242.6257164586
915,2000,estimates,5yearly,35,90037.9641784103
915,2000,estimates,5yearly,40,88654.1429435081
915,2000,estimates,5yearly,45,86913.689207301
915,2000,estimates,5yearly,50,84678.2878120453
915,2000,estimates,5yearly,55,81774.7330996459
915,2000,estimates,5yearly,60,77782.4957456833
915,2000,estimates,5yearly,65,72163.9241498885
915,2000,estimates,5yearly,70,64370.3445068055
915,2000,estimates,5yearly,75,53925.6377609975
915,2000,estimates,5yearly,80,40987.7873127519
915,2000,estimates,5yearly,85,26921.8542413439
915,2000,estimates,5yearly,90,14288.7079702034
915,2000,estimates,5yearly,95,5624.2856882379
915,2000,estimates,5yearly,100plus,1489.08870019731
915,2005,estimates,5yearly,"Region, subregion, country or area *",Caribbean
915,2005,estimates,5yearly,0,100000
915,2005,estimates,5yearly,1,96959.1611035578
915,2005,estimates,5yearly,5,95602.8760622322
915,2005,estimates,5yearly,10,95027.5550471163
915,2005,estimates,5yearly,15,94546.1511312503
915,2005,estimates,5yearly,20,93880.0295381908
915,2005,estimates,5yearly,25,92940.587020695
915,2005,estimates,5yearly,30,91794.5701453181
915,2005,estimates,5yearly,35,90591.7422230475
915,2005,estimates,5yearly,40,89309.0305760771
915,2005,estimates,5yearly,45,87774.7994067331
915,2005,estimates,5yearly,50,85759.6231754071
915,2005,estimates,5yearly,55,83027.6648669267
915,2005,estimates,5yearly,60,79271.9385946646
915,2005,estimates,5yearly,65,73927.0029286757
915,2005,estimates,5yearly,70,66382.7639830732
915,2005,estimates,5yearly,75,56260.2498546879
915,2005,estimates,5yearly,80,43766.4904685392
915,2005,estimates,5yearly,85,30000.7802627589
915,2005,estimates,5yearly,90,17131.2610614358
