continent,year,variant,agebroad,feminityratio_femaleper100male
935,1970,Estimates,15plus,96.702850655512
935,1970,Estimates,15_17,94.8137967668037
935,1970,Estimates,15_24,95.4715616792582
935,1970,Estimates,15_49,94.4154667350545
935,1970,Estimates,15_59,94.7673074758288
935,1970,Estimates,15_64,95.2073801011626
935,1970,Estimates,16plus,96.7771086925376
935,1970,Estimates,17plus,96.8570955940353
935,1970,Estimates,18plus,96.9385791028916
935,1970,Estimates,18_23,95.836063507944
935,1970,Estimates,20plus,97.0761925815858
935,1970,Estimates,20_64,95.2592212206782
935,1970,Estimates,20_69,95.8283610126945
935,1970,Estimates,21plus,97.1258113316696
935,1970,Estimates,25plus,97.271284852957
935,1970,Estimates,25_49,93.7202250810827
935,1970,Estimates,25_64,95.0745917383995
935,1970,Estimates,25_69,95.7705423054628
935,1970,Estimates,50plus,105.607549984193
935,1970,Estimates,60plus,115.386453217266
935,1970,Estimates,65plus,122.016387533517
935,1970,Estimates,70plus,130.902033288136
935,1970,Estimates,75plus,144.809607173196
935,1970,Estimates,80plus,165.936466850353
935,1970,Estimates,85plus,200.745025868764
935,1970,Estimates,90plus,242.276309824967
935,1975,Estimates,total,95.9948900913558
935,1975,Estimates,0_1,94.5420337686311
935,1975,Estimates,0_4,94.967256896046
935,1975,Estimates,0_14,95.0809873413542
935,1975,Estimates,0_17,95.0504625813847
935,1975,Estimates,0_19,95.0393221576088
935,1975,Estimates,0_24,95.0398353165101
935,1975,Estimates,3_4,95.3486985996118
935,1975,Estimates,3_5,95.3934723903234
935,1975,Estimates,3_6,95.4176725477137
935,1975,Estimates,4_5,95.4509197273469
935,1975,Estimates,4_6,95.4645894254811
935,1975,Estimates,5_10,95.3612569674018
935,1975,Estimates,5_11,95.2987510512537
935,1975,Estimates,5_14,95.1464225279335
935,1975,Estimates,6_9,95.3916208681524
935,1975,Estimates,6_10,95.3348033026142
935,1975,Estimates,6_11,95.2650855382765
935,1975,Estimates,6_12,95.1960346709875
935,1975,Estimates,7_10,95.2928262350077
935,1975,Estimates,7_12,95.1418629453385
935,1975,Estimates,11_16,94.7896658436407
935,1975,Estimates,11_17,94.8039500736811
935,1975,Estimates,11_18,94.8159504383335
935,1975,Estimates,12_14,94.7323710228925
935,1975,Estimates,12_16,94.7686908045583
935,1975,Estimates,12_17,94.7888542645959
935,1975,Estimates,12_18,94.8047833840241
935,1975,Estimates,13_17,94.8008244204865
935,1975,Estimates,13_18,94.8178808666477
935,1975,Estimates,13_19,94.8292756558857
935,1975,Estimates,15plus,96.6094956736969
935,1975,Estimates,15_17,94.8516583961309
935,1975,Estimates,15_24,94.9542420012311
935,1975,Estimates,15_49,94.4436617029446
935,1975,Estimates,15_59,94.7431806397191
935,1975,Estimates,15_64,95.0764366320387
935,1975,Estimates,16plus,96.6764084705611
935,1975,Estimates,17plus,96.7435514584155
935,1975,Estimates,18plus,96.8119067887734
935,1975,Estimates,18_23,94.9405448931272
935,1975,Estimates,20plus,96.9615709866313
935,1975,Estimates,20_64,95.1208010300408
935,1975,Estimates,20_69,95.6773996614337
935,1975,Estimates,21plus,97.0449317345982
935,1975,Estimates,25plus,97.4004226908369
935,1975,Estimates,25_49,94.0938187502837
935,1975,Estimates,25_64,95.1403808781714
935,1975,Estimates,25_69,95.8296580344676
935,1975,Estimates,50plus,105.020017064544
935,1975,Estimates,60plus,113.929322511281
935,1975,Estimates,65plus,121.15038429253
935,1975,Estimates,70plus,129.566554175084
935,1975,Estimates,75plus,140.784669111058
935,1975,Estimates,80plus,158.976585712563
935,1975,Estimates,85plus,188.722268661792
935,1975,Estimates,90plus,236.783413183545
935,1980,Estimates,total,95.9768650614021
935,1980,Estimates,0_1,95.4343340214864
935,1980,Estimates,0_4,95.0041018853955
935,1980,Estimates,0_14,95.0449597186833
935,1980,Estimates,0_17,95.0295677074675
935,1980,Estimates,0_19,95.0051338125648
935,1980,Estimates,0_24,94.9700967944061
935,1980,Estimates,3_4,94.6358447330749
935,1980,Estimates,3_5,94.6126780997025
935,1980,Estimates,3_6,94.6131096813838
935,1980,Estimates,4_5,94.5757421663216
935,1980,Estimates,4_6,94.5886208837651
935,1980,Estimates,5_10,94.8215815517629
935,1980,Estimates,5_11,94.9073884665474
935,1980,Estimates,5_14,95.0659272488149
935,1980,Estimates,6_9,94.7941588068889
935,1980,Estimates,6_10,94.873200100906
935,1980,Estimates,6_11,94.9650987723508
935,1980,Estimates,6_12,95.0481964366797
935,1980,Estimates,7_10,94.9387248591795
935,1980,Estimates,7_12,95.122136672941
935,1980,Estimates,11_16,95.3189519756845
935,1980,Estimates,11_17,95.2468486204895
935,1980,Estimates,11_18,95.1878673290453
935,1980,Estimates,12_14,95.4603810047342
935,1980,Estimates,12_16,95.2938329515084
935,1980,Estimates,12_17,95.2124756736441
935,1980,Estimates,12_18,95.1485991279419
935,1980,Estimates,13_17,95.1355990219846
935,1980,Estimates,13_18,95.0717029435277
935,1980,Estimates,13_19,95.0302766999158
935,1980,Estimates,15plus,96.5505267486096
935,1980,Estimates,15_17,94.9404101643798
935,1980,Estimates,15_24,94.8248223598394
935,1980,Estimates,15_49,94.640475557743
935,1980,Estimates,15_59,94.7902076575334
935,1980,Estimates,15_64,95.0388612918536
935,1980,Estimates,16plus,96.604707448111
935,1980,Estimates,17plus,96.6690181532714
935,1980,Estimates,18plus,96.741984774168
935,1980,Estimates,18_23,94.767457356446
935,1980,Estimates,20plus,96.89973477934
935,1980,Estimates,20_64,95.0783572378134
935,1980,Estimates,20_69,95.5315967133118
935,1980,Estimates,21plus,96.9823321900044
935,1980,Estimates,25plus,97.3522929614018
935,1980,Estimates,25_49,94.5174510239202
935,1980,Estimates,25_64,95.1481573726012
935,1980,Estimates,25_69,95.7002046452772
935,1980,Estimates,50plus,103.848295112267
935,1980,Estimates,60plus,112.471995822852
935,1980,Estimates,65plus,119.597652352981
935,1980,Estimates,70plus,129.312543364289
935,1980,Estimates,75plus,141.278433222522
935,1980,Estimates,80plus,158.237729649779
935,1980,Estimates,85plus,184.904372560504
935,1980,Estimates,90plus,225.745920116906
935,1985,Estimates,total,96.0110788205163
935,1985,Estimates,0_1,94.6841832096352
935,1985,Estimates,0_4,94.7565137658993
935,1985,Estimates,0_14,94.7451135457628
935,1985,Estimates,0_17,94.8484456012825
935,1985,Estimates,0_19,94.9006123149185
935,1985,Estimates,0_24,94.9000796359901
935,1985,Estimates,3_4,94.8231645897508
935,1985,Estimates,3_5,94.8214861102667
935,1985,Estimates,3_6,94.8146629760638
935,1985,Estimates,4_5,94.8230806336742
935,1985,Estimates,4_6,94.8133606352857
935,1985,Estimates,5_10,94.7416617040773
935,1985,Estimates,5_11,94.7198610324497
935,1985,Estimates,5_14,94.7388524259666
935,1985,Estimates,6_9,94.744050520774
935,1985,Estimates,6_10,94.7262380953859
935,1985,Estimates,6_11,94.7033902642119
935,1985,Estimates,6_12,94.6898083265459
935,1985,Estimates,7_10,94.709423933199
935,1985,Estimates,7_12,94.6726536122652
935,1985,Estimates,11_16,94.9243541763465
935,1985,Estimates,11_17,95.0121554542603
935,1985,Estimates,11_18,95.0709624713474
935,1985,Estimates,12_14,94.7825767648481
935,1985,Estimates,12_16,94.9917040019739
935,1985,Estimates,12_17,95.0835005170844
935,1985,Estimates,12_18,95.1411961398438
935,1985,Estimates,13_17,95.1807612283461
935,1985,Estimates,13_18,95.2328743536806
935,1985,Estimates,13_19,95.2457977386288
935,1985,Estimates,15plus,96.7132653646006
935,1985,Estimates,15_17,95.3941137045684
935,1985,Estimates,15_24,95.1692808033964
935,1985,Estimates,15_49,94.939030195421
935,1985,Estimates,15_59,95.0124154934122
935,1985,Estimates,15_64,95.2648322242417
935,1985,Estimates,16plus,96.7690125133836
935,1985,Estimates,17plus,96.8195039575272
935,1985,Estimates,18plus,96.8680850780165
935,1985,Estimates,18_23,95.103543750312
935,1985,Estimates,20plus,96.98405613778
935,1985,Estimates,20_64,95.2336876952017
935,1985,Estimates,20_69,95.60615181805
935,1985,Estimates,21plus,97.0564448559704
935,1985,Estimates,25plus,97.4374906368067
935,1985,Estimates,25_49,94.7831545704029
935,1985,Estimates,25_64,95.3142536782792
935,1985,Estimates,25_69,95.7686362002139
935,1985,Estimates,50plus,103.425609992609
935,1985,Estimates,60plus,111.947848115493
935,1985,Estimates,65plus,118.11663088144
935,1985,Estimates,70plus,127.743262088629
