continent,variant,freq,year,populationgrowthrate
904,constant_fertility,5yearly,2040,0.662
904,constant_mortality,5yearly,2040,0.141
904,high_variant,5yearly,2040,0.741
904,instant_replacement,5yearly,2040,0.562
904,low_variant,5yearly,2040,-0.033
904,medium_variant,5yearly,2040,0.36
904,no_change,5yearly,2040,0.455
904,zero_migration,5yearly,2040,0.411
904,constant_fertility,5yearly,2045,0.602
904,constant_mortality,5yearly,2045,0.007
904,high_variant,5yearly,2045,0.692
904,instant_replacement,5yearly,2045,0.484
904,low_variant,5yearly,2045,-0.186
904,medium_variant,5yearly,2045,0.255
904,no_change,5yearly,2045,0.372
904,zero_migration,5yearly,2045,0.307
904,constant_fertility,5yearly,2050,0.548
904,constant_mortality,5yearly,2050,-0.115
904,high_variant,5yearly,2050,0.646
904,instant_replacement,5yearly,2050,0.415
904,low_variant,5yearly,2050,-0.335
904,medium_variant,5yearly,2050,0.158
904,no_change,5yearly,2050,0.301
904,zero_migration,5yearly,2050,0.209
904,constant_fertility,5yearly,2055,0.497
904,constant_mortality,5yearly,2055,-0.227
904,high_variant,5yearly,2055,0.59
904,instant_replacement,5yearly,2055,0.347
904,low_variant,5yearly,2055,-0.477
904,medium_variant,5yearly,2055,0.063
904,no_change,5yearly,2055,0.242
904,zero_migration,5yearly,2055,0.115
904,constant_fertility,5yearly,2060,0.453
904,constant_mortality,5yearly,2060,-0.328
904,high_variant,5yearly,2060,0.531
904,instant_replacement,5yearly,2060,0.28
904,low_variant,5yearly,2060,-0.611
904,medium_variant,5yearly,2060,-0.026
904,no_change,5yearly,2060,0.196
904,zero_migration,5yearly,2060,0.025
904,constant_fertility,5yearly,2065,0.418
904,constant_mortality,5yearly,2065,-0.414
904,high_variant,5yearly,2065,0.481
904,instant_replacement,5yearly,2065,0.22
904,low_variant,5yearly,2065,-0.741
904,medium_variant,5yearly,2065,-0.109
904,no_change,5yearly,2065,0.166
904,zero_migration,5yearly,2065,-0.058
904,constant_fertility,5yearly,2070,0.397
904,constant_mortality,5yearly,2070,-0.485
904,high_variant,5yearly,2070,0.451
904,instant_replacement,5yearly,2070,0.173
904,low_variant,5yearly,2070,-0.872
904,medium_variant,5yearly,2070,-0.181
904,no_change,5yearly,2070,0.153
904,zero_migration,5yearly,2070,-0.13
904,constant_fertility,5yearly,2075,0.388
904,constant_mortality,5yearly,2075,-0.539
904,high_variant,5yearly,2075,0.441
904,instant_replacement,5yearly,2075,0.141
904,low_variant,5yearly,2075,-1.004
904,medium_variant,5yearly,2075,-0.241
904,no_change,5yearly,2075,0.156
904,zero_migration,5yearly,2075,-0.191
904,constant_fertility,5yearly,2080,0.391
904,constant_mortality,5yearly,2080,-0.58
904,high_variant,5yearly,2080,0.439
904,instant_replacement,5yearly,2080,0.119
904,low_variant,5yearly,2080,-1.132
904,medium_variant,5yearly,2080,-0.29
904,no_change,5yearly,2080,0.17
904,zero_migration,5yearly,2080,-0.241
904,constant_fertility,5yearly,2085,0.403
904,constant_mortality,5yearly,2085,-0.607
904,high_variant,5yearly,2085,0.441
904,instant_replacement,5yearly,2085,0.107
904,low_variant,5yearly,2085,-1.248
904,medium_variant,5yearly,2085,-0.327
904,no_change,5yearly,2085,0.19
904,zero_migration,5yearly,2085,-0.279
904,constant_fertility,5yearly,2090,0.422
904,constant_mortality,5yearly,2090,-0.623
904,high_variant,5yearly,2090,0.441
904,instant_replacement,5yearly,2090,0.1
904,low_variant,5yearly,2090,-1.352
904,medium_variant,5yearly,2090,-0.354
904,no_change,5yearly,2090,0.214
904,zero_migration,5yearly,2090,-0.307
904,constant_fertility,5yearly,2095,0.447
904,constant_mortality,5yearly,2095,-0.628
904,high_variant,5yearly,2095,0.443
904,instant_replacement,5yearly,2095,0.099
904,low_variant,5yearly,2095,-1.435
904,medium_variant,5yearly,2095,-0.37
904,no_change,5yearly,2095,0.239
904,zero_migration,5yearly,2095,-0.325
