global,year,variant,agebroad,sexratio_maleper100female
900,1980,estimates,4_5,104.840789504834
900,1980,estimates,4_6,104.834449165427
900,1980,estimates,5_10,104.684419892511
900,1980,estimates,5_11,104.625806889984
900,1980,estimates,5_14,104.511449832912
900,1980,estimates,6_9,104.704155652283
900,1980,estimates,6_10,104.650677355743
900,1980,estimates,6_11,104.587538644
900,1980,estimates,6_12,104.529480598987
900,1980,estimates,7_10,104.607113556578
900,1980,estimates,7_12,104.479404181526
900,1980,estimates,11_16,104.315106168171
900,1980,estimates,11_17,104.352327770734
900,1980,estimates,11_18,104.373923685766
900,1980,estimates,12_14,104.229493666895
900,1980,estimates,12_16,104.325882127075
900,1980,estimates,12_17,104.368008994665
900,1980,estimates,12_18,104.390840638011
900,1980,estimates,13_17,104.410184255532
900,1980,estimates,13_18,104.430492598158
900,1980,estimates,13_19,104.427719594476
900,1980,estimates,15plus,98.977911311762
900,1980,estimates,15_17,104.51575912367
900,1980,estimates,15_24,104.308824824371
900,1980,estimates,15_49,103.605500507293
900,1980,estimates,15_59,102.649705938449
900,1980,estimates,15_64,102.063277747773
900,1980,estimates,16plus,98.7984827063119
900,1980,estimates,17plus,98.6073350531387
900,1980,estimates,18plus,98.4061783480073
900,1980,estimates,18_23,104.242717919507
900,1980,estimates,20plus,97.9872811277773
900,1980,estimates,20_64,101.564345456172
900,1980,estimates,20_69,100.624006901013
900,1980,estimates,21plus,97.7720175760121
900,1980,estimates,25plus,96.8496070058377
900,1980,estimates,25_49,103.157702955358
900,1980,estimates,25_64,101.012412304647
900,1980,estimates,25_69,99.9123347582965
900,1980,estimates,50plus,86.2433992765257
900,1980,estimates,60plus,77.8929955790241
900,1980,estimates,65plus,72.6720036021518
900,1980,estimates,70plus,66.6445658186681
900,1980,estimates,75plus,59.9019997508696
900,1980,estimates,80plus,51.6369545969943
900,1980,estimates,85plus,44.2857984629833
900,1980,estimates,90plus,37.3868041967313
900,1985,estimates,"Region, subregion, country or area *",WORLD
900,1985,estimates,total,101.015434971279
900,1985,estimates,0_1,104.810652655633
900,1985,estimates,0_4,104.711621332515
900,1985,estimates,0_14,104.691936968966
900,1985,estimates,0_17,104.618471316812
900,1985,estimates,0_19,104.568581265214
900,1985,estimates,0_24,104.487508099353
900,1985,estimates,3_4,104.617969701216
900,1985,estimates,3_5,104.612634007821
900,1985,estimates,3_6,104.61329232416
900,1985,estimates,4_5,104.603413144811
900,1985,estimates,4_6,104.607323366393
900,1985,estimates,5_10,104.662863313324
900,1985,estimates,5_11,104.682744148178
900,1985,estimates,5_14,104.680870938598
900,1985,estimates,6_9,104.658205550716
900,1985,estimates,6_10,104.675485466962
900,1985,estimates,6_11,104.69669664587
900,1985,estimates,6_12,104.71125729604
900,1985,estimates,7_10,104.690804265295
900,1985,estimates,7_12,104.727575740516
900,1985,estimates,11_16,104.570342996071
900,1985,estimates,11_17,104.502388276778
900,1985,estimates,11_18,104.448327910107
900,1985,estimates,12_14,104.676407292344
900,1985,estimates,12_16,104.522822400449
900,1985,estimates,12_17,104.450995469366
900,1985,estimates,12_18,104.396055856934
900,1985,estimates,13_17,104.379493888184
900,1985,estimates,13_18,104.326632483313
900,1985,estimates,13_19,104.293449726811
900,1985,estimates,15plus,99.1891728427574
900,1985,estimates,15_17,104.219150672868
900,1985,estimates,15_24,104.130872596984
900,1985,estimates,15_49,103.490976353432
900,1985,estimates,15_59,102.871163832608
900,1985,estimates,15_64,102.185519367427
900,1985,estimates,16plus,99.0245664189251
900,1985,estimates,17plus,98.8563971034547
900,1985,estimates,18plus,98.6832565604754
900,1985,estimates,18_23,104.098230844664
900,1985,estimates,20plus,98.3124733635922
900,1985,estimates,20_64,101.789203294833
900,1985,estimates,20_69,101.066732983004
900,1985,estimates,21plus,98.1129144113161
900,1985,estimates,25plus,97.221932720805
900,1985,estimates,25_49,103.08759129729
900,1985,estimates,25_64,101.280588366357
900,1985,estimates,25_69,100.435029263199
900,1985,estimates,50plus,87.1700910787713
900,1985,estimates,60plus,78.1691042471678
900,1985,estimates,65plus,73.137748134183
900,1985,estimates,70plus,66.7588516738621
900,1985,estimates,75plus,59.5548780132994
900,1985,estimates,80plus,51.7797546573554
900,1985,estimates,85plus,42.8526987736489
900,1985,estimates,90plus,35.8186878894476
900,1990,estimates,"Region, subregion, country or area *",WORLD
900,1990,estimates,total,101.189433477551
900,1990,estimates,0_1,105.377670334426
900,1990,estimates,0_4,105.236954084272
900,1990,estimates,0_14,104.899315976374
900,1990,estimates,0_17,104.861585838527
900,1990,estimates,0_19,104.819368129183
900,1990,estimates,0_24,104.636903739241
900,1990,estimates,3_4,105.091620230084
900,1990,estimates,3_5,105.050033003701
900,1990,estimates,3_6,105.010458968978
900,1990,estimates,4_5,105.006035014395
900,1990,estimates,4_6,104.967027272144
900,1990,estimates,5_10,104.793310624139
900,1990,estimates,5_11,104.762815841814
900,1990,estimates,5_14,104.703169705202
900,1990,estimates,6_9,104.786708162864
900,1990,estimates,6_10,104.756943605578
900,1990,estimates,6_11,104.726748443805
900,1990,estimates,6_12,104.7003694984
900,1990,estimates,7_10,104.722870725833
900,1990,estimates,7_12,104.667118732789
900,1990,estimates,11_16,104.586530410781
900,1990,estimates,11_17,104.596223962838
900,1990,estimates,11_18,104.585288434087
900,1990,estimates,12_14,104.552505269938
900,1990,estimates,12_16,104.590626623201
900,1990,estimates,12_17,104.601289791605
900,1990,estimates,12_18,104.588039931182
900,1990,estimates,13_17,104.615343511033
900,1990,estimates,13_18,104.597541114836
900,1990,estimates,13_19,104.553209368105
900,1990,estimates,15plus,99.4218415141935
900,1990,estimates,15_17,104.650298562923
900,1990,estimates,15_24,104.182231705233
900,1990,estimates,15_49,103.428913547815
900,1990,estimates,15_59,102.886999617583
900,1990,estimates,15_64,102.419960649079
900,1990,estimates,16plus,99.2699513852397
900,1990,estimates,17plus,99.1072719913886
900,1990,estimates,18plus,98.9356266711767
900,1990,estimates,18_23,104.011063735703
900,1990,estimates,20plus,98.5800967864549
900,1990,estimates,20_64,102.021616893697
900,1990,estimates,20_69,101.206087583097
900,1990,estimates,21plus,98.398310151784
900,1990,estimates,25plus,97.616319567058
900,1990,estimates,25_49,102.980631115446
900,1990,estimates,25_64,101.638113865155
900,1990,estimates,25_69,100.67831990339
900,1990,estimates,50plus,88.188115594756
900,1990,estimates,60plus,79.9651409012239
900,1990,estimates,65plus,73.9222369154384
900,1990,estimates,70plus,67.846045644408
900,1990,estimates,75plus,60.0228659576747
900,1990,estimates,80plus,51.5121137822138
900,1990,estimates,85plus,43.2316199830607
900,1990,estimates,90plus,34.3422145067552
900,1995,estimates,"Region, subregion, country or area *",WORLD
900,1995,estimates,total,101.301356421328
900,1995,estimates,0_1,106.666928459778
900,1995,estimates,0_4,106.223069035914
900,1995,estimates,0_14,105.43828182679
900,1995,estimates,0_17,105.28935343145
900,1995,estimates,0_19,105.199761309554
900,1995,estimates,0_24,104.9884840332
900,1995,estimates,3_4,105.826938355974
900,1995,estimates,3_5,105.732018528896
900,1995,estimates,3_6,105.646336707048
900,1995,estimates,4_5,105.632705642837
900,1995,estimates,4_6,105.551731811662
900,1995,estimates,5_10,105.220170205622
900,1995,estimates,5_11,105.170634199991
900,1995,estimates,5_14,105.035376123767
900,1995,estimates,6_9,105.205238471533
900,1995,estimates,6_10,105.15353386895
900,1995,estimates,6_11,105.10598472018
900,1995,estimates,6_12,105.061110943934
900,1995,estimates,7_10,105.0926252518
900,1995,estimates,7_12,105.003413643833
900,1995,estimates,11_16,104.649085191888
900,1995,estimates,11_17,104.609734164742
900,1995,estimates,11_18,104.572958404192
900,1995,estimates,12_14,104.687694396693
900,1995,estimates,12_16,104.605487297346
900,1995,estimates,12_17,104.566034005055
900,1995,estimates,12_18,104.529539709029
900,1995,estimates,13_17,104.522436378423
900,1995,estimates,13_18,104.486459896405
900,1995,estimates,13_19,104.45351105392
900,1995,estimates,15plus,99.427773860723
900,1995,estimates,15_17,104.437208056861
900,1995,estimates,15_24,104.198482907816
900,1995,estimates,15_49,103.215414823465
900,1995,estimates,15_59,102.691496536892
900,1995,estimates,15_64,102.287709454872
900,1995,estimates,16plus,99.2871090291486
900,1995,estimates,17plus,99.1439813059831
900,1995,estimates,18plus,98.9971883223021
900,1995,estimates,18_23,104.1569688352
900,1995,estimates,20plus,98.6849223616181
900,1995,estimates,20_64,101.929852916902
900,1995,estimates,20_69,101.306369509705
900,1995,estimates,21plus,98.5171472794285
900,1995,estimates,25plus,97.7701647797544
900,1995,estimates,25_49,102.687929813921
900,1995,estimates,25_64,101.510171438932
900,1995,estimates,25_69,100.792441210245
900,1995,estimates,50plus,88.7348823379487
900,1995,estimates,60plus,81.4047551449187
900,1995,estimates,65plus,75.9181987185949
900,1995,estimates,70plus,68.8790660463658
900,1995,estimates,75plus,61.7064113837095
900,1995,estimates,80plus,52.6655880248438
900,1995,estimates,85plus,43.3217382072572
900,1995,estimates,90plus,34.9772781830029
900,2000,estimates,"Region, subregion, country or area *",WORLD
900,2000,estimates,total,101.342896133694
900,2000,estimates,0_1,106.389276272316
900,2000,estimates,0_4,106.56426010501
900,2000,estimates,0_14,106.022554221771
900,2000,estimates,0_17,105.81113076029
900,2000,estimates,0_19,105.677909598709
900,2000,estimates,0_24,105.362388564128
900,2000,estimates,3_4,106.702071208075
900,2000,estimates,3_5,106.672693461415
900,2000,estimates,3_6,106.624584560214
900,2000,estimates,4_5,106.654151896429
900,2000,estimates,4_6,106.596279551754
900,2000,estimates,5_10,106.172640296564
900,2000,estimates,5_11,106.059567029404
900,2000,estimates,5_14,105.757372615839
900,2000,estimates,6_9,106.196218818535
900,2000,estimates,6_10,106.08666978847
900,2000,estimates,6_11,105.970072080684
900,2000,estimates,6_12,105.856557066343
900,2000,estimates,7_10,105.99034267471
900,2000,estimates,7_12,105.75590659479
900,2000,estimates,11_16,105.026827573678
900,2000,estimates,11_17,104.966148838495
900,2000,estimates,11_18,104.904290839453
900,2000,estimates,12_14,105.06460020747
900,2000,estimates,12_16,104.948241987522
900,2000,estimates,12_17,104.889310323266
900,2000,estimates,12_18,104.828331136018
900,2000,estimates,13_17,104.824323332602
900,2000,estimates,13_18,104.76264786878
900,2000,estimates,13_19,104.698777210793
900,2000,estimates,15plus,99.3932109079003
900,2000,estimates,15_17,104.701764689696
900,2000,estimates,15_24,104.250888463895
900,2000,estimates,15_49,103.112423904894
900,2000,estimates,15_59,102.521293610162
900,2000,estimates,15_64,102.124056388154
900,2000,estimates,16plus,99.241853024858
900,2000,estimates,17plus,99.0892151365289
900,2000,estimates,18plus,98.9353488735718
900,2000,estimates,18_23,104.087101755195
900,2000,estimates,20plus,98.6231431405524
900,2000,estimates,20_64,101.70725071315
900,2000,estimates,20_69,101.159909107188
900,2000,estimates,21plus,98.4646449767107
900,2000,estimates,25plus,97.7959009159274
900,2000,estimates,25_49,102.53251214591
900,2000,estimates,25_64,101.304035859312
900,2000,estimates,25_69,100.683894337223
900,2000,estimates,50plus,89.1699006705219
900,2000,estimates,60plus,82.4392512178766
900,2000,estimates,65plus,77.4646613975103
900,2000,estimates,70plus,71.0258454961779
900,2000,estimates,75plus,62.9800833009244
900,2000,estimates,80plus,54.923843551378
900,2000,estimates,85plus,45.0570313557238
900,2000,estimates,90plus,35.3961046131259
900,2005,estimates,"Region, subregion, country or area *",WORLD
900,2005,estimates,total,101.542924798033
900,2005,estimates,0_1,107.25753850238
900,2005,estimates,0_4,107.048139412806
900,2005,estimates,0_14,106.65303088973
900,2005,estimates,0_17,106.415473888095
900,2005,estimates,0_19,106.242187028116
900,2005,estimates,0_24,105.826987737023
900,2005,estimates,3_4,106.847872156187
900,2005,estimates,3_5,106.810247646132
900,2005,estimates,3_6,106.778378237571
900,2005,estimates,4_5,106.768367409367
900,2005,estimates,4_6,106.739596672963
900,2005,estimates,5_10,106.617244365264
900,2005,estimates,5_11,106.597526072902
900,2005,estimates,5_14,106.449768252436
900,2005,estimates,6_9,106.615886295404
900,2005,estimates,6_10,106.593794376544
900,2005,estimates,6_11,106.574712855053
900,2005,estimates,6_12,106.545346155226
900,2005,estimates,7_10,106.57185769832
900,2005,estimates,7_12,106.522727260249
900,2005,estimates,11_16,105.93121718827
900,2005,estimates,11_17,105.795808700772
900,2005,estimates,11_18,105.66917087263
