region,year,variant,gender,freq,agebroad,percentagetotaldeaths
948,1965,estimates,male,5yearly,20plus,42.4044154161505
948,1965,estimates,female,5yearly,20_64,25.5331205351906
948,1965,estimates,male,5yearly,20_64,26.752968131227
948,1965,estimates,female,5yearly,20_69,29.9576552881549
948,1965,estimates,male,5yearly,20_69,31.3332021723588
948,1965,estimates,female,5yearly,25plus,40.5414432019126
948,1965,estimates,male,5yearly,25plus,40.0939909643601
948,1965,estimates,female,5yearly,25_69,27.6254560970334
948,1965,estimates,male,5yearly,25_69,29.0227777205683
948,1965,estimates,female,5yearly,40plus,32.9428853571799
948,1965,estimates,male,5yearly,40plus,33.0680879002363
948,1965,estimates,female,5yearly,50plus,27.6671042299724
948,1965,estimates,male,5yearly,50plus,27.3784572125536
948,1965,estimates,female,5yearly,60plus,21.3316716925289
948,1965,estimates,male,5yearly,60plus,20.048513182531
948,1965,estimates,female,5yearly,65plus,17.3405218578435
948,1965,estimates,male,5yearly,65plus,15.6514472849235
948,1965,estimates,female,5yearly,70plus,12.9159871048792
948,1965,estimates,male,5yearly,70plus,11.0712132437917
948,1965,estimates,female,5yearly,80plus,4.70678248396662
948,1965,estimates,male,5yearly,80plus,3.46542444530748
948,1965,estimates,female,5yearly,90plus,0.630506086787631
948,1965,estimates,male,5yearly,90plus,0.34056950204347
948,1970,estimates,female,5yearly,"Region, subregion, country or area *","Less developed regions, excluding China"
948,1970,estimates,male,5yearly,"Region, subregion, country or area *","Less developed regions, excluding China"
948,1970,estimates,female,5yearly,0_4,47.4474017991351
948,1970,estimates,male,5yearly,0_4,47.8638303947989
948,1970,estimates,female,5yearly,0_14,53.9456949668254
948,1970,estimates,male,5yearly,0_14,53.815747117798
948,1970,estimates,female,5yearly,0_19,56.154540485757
948,1970,estimates,male,5yearly,0_19,55.9699617231643
948,1970,estimates,female,5yearly,0_24,58.5331761431983
948,1970,estimates,male,5yearly,0_24,58.2868312311525
948,1970,estimates,female,5yearly,5_14,6.49829316769025
948,1970,estimates,male,5yearly,5_14,5.9519167229991
948,1970,estimates,female,5yearly,15plus,46.0543050331746
948,1970,estimates,male,5yearly,15plus,46.184252882202
948,1970,estimates,female,5yearly,15_24,4.58748117637289
948,1970,estimates,male,5yearly,15_24,4.47108411335451
948,1970,estimates,female,5yearly,15_49,16.4035223566833
948,1970,estimates,male,5yearly,15_49,16.7423043012182
948,1970,estimates,female,5yearly,15_59,22.6456496440312
948,1970,estimates,male,5yearly,15_59,24.1913025531397
948,1970,estimates,female,5yearly,15_64,26.8010162000233
948,1970,estimates,male,5yearly,15_64,28.8607239766856
948,1970,estimates,female,5yearly,20plus,43.845459514243
948,1970,estimates,male,5yearly,20plus,44.0300382768358
948,1970,estimates,female,5yearly,20_64,24.5921706810916
948,1970,estimates,male,5yearly,20_64,26.7065093713193
948,1970,estimates,female,5yearly,20_69,29.2920144653725
948,1970,estimates,male,5yearly,20_69,31.6702929504146
948,1970,estimates,female,5yearly,25plus,41.4668238568017
948,1970,estimates,male,5yearly,25plus,41.7131687688475
948,1970,estimates,female,5yearly,25_69,26.9133788079312
948,1970,estimates,male,5yearly,25_69,29.3534234424264
948,1970,estimates,female,5yearly,40plus,34.5804435491345
948,1970,estimates,male,5yearly,40plus,35.094346097731
948,1970,estimates,female,5yearly,50plus,29.6507826764913
948,1970,estimates,male,5yearly,50plus,29.4419485809839
948,1970,estimates,female,5yearly,60plus,23.4086553891434
948,1970,estimates,male,5yearly,60plus,21.9929503290623
948,1970,estimates,female,5yearly,65plus,19.2532888331513
948,1970,estimates,male,5yearly,65plus,17.3235289055164
948,1970,estimates,female,5yearly,70plus,14.5534450488705
948,1970,estimates,male,5yearly,70plus,12.3597453264211
948,1970,estimates,female,5yearly,80plus,5.45713197927035
948,1970,estimates,male,5yearly,80plus,3.89337015227879
948,1970,estimates,female,5yearly,90plus,0.737785224171264
948,1970,estimates,male,5yearly,90plus,0.383948371654893
948,1975,estimates,female,5yearly,"Region, subregion, country or area *","Less developed regions, excluding China"
948,1975,estimates,male,5yearly,"Region, subregion, country or area *","Less developed regions, excluding China"
948,1975,estimates,female,5yearly,0_4,45.5370747090871
948,1975,estimates,male,5yearly,0_4,45.2839022359144
948,1975,estimates,female,5yearly,0_14,51.6745486636154
948,1975,estimates,male,5yearly,0_14,50.9050594446703
948,1975,estimates,female,5yearly,0_19,53.9676269652251
948,1975,estimates,male,5yearly,0_19,53.1929376318613
948,1975,estimates,female,5yearly,0_24,56.5024615107547
948,1975,estimates,male,5yearly,0_24,55.721876954028
948,1975,estimates,female,5yearly,5_14,6.13747395452835
948,1975,estimates,male,5yearly,5_14,5.62115720875595
948,1975,estimates,female,5yearly,15plus,48.3254513363845
948,1975,estimates,male,5yearly,15plus,49.0949405553297
948,1975,estimates,female,5yearly,15_24,4.82791284713921
948,1975,estimates,male,5yearly,15_24,4.81681750935773
948,1975,estimates,female,5yearly,15_49,16.3015681410051
948,1975,estimates,male,5yearly,15_49,17.2145371802865
948,1975,estimates,female,5yearly,15_59,22.6654241625231
948,1975,estimates,male,5yearly,15_59,24.9810642129357
948,1975,estimates,female,5yearly,15_64,26.9175912446058
948,1975,estimates,male,5yearly,15_64,29.8365798467762
948,1975,estimates,female,5yearly,20plus,46.0323730347748
948,1975,estimates,male,5yearly,20plus,46.8070623681387
948,1975,estimates,female,5yearly,20_64,24.6245129429962
948,1975,estimates,male,5yearly,20_64,27.5487016595851
948,1975,estimates,female,5yearly,20_69,29.627327859486
948,1975,estimates,male,5yearly,20_69,32.8664838844779
948,1975,estimates,female,5yearly,25plus,43.4975384892453
948,1975,estimates,male,5yearly,25plus,44.278123045972
