country,year,variant,agebroad,percentagetotalpopulation
540,1965,Estimates,18_23,10.4729322236477
540,1965,Estimates,20plus,52.6629165433073
540,1965,Estimates,20_64,49.1233264252113
540,1965,Estimates,20_69,50.7056153162933
540,1965,Estimates,21plus,50.8975075934515
540,1965,Estimates,25plus,44.2361042578155
540,1965,Estimates,25_49,30.3935436472691
540,1965,Estimates,25_64,40.6965141397195
540,1965,Estimates,25_69,42.2788030308014
540,1965,Estimates,50plus,13.8425606105464
540,1965,Estimates,60plus,5.86751757184995
540,1965,Estimates,65plus,3.53959011809599
540,1965,Estimates,70plus,1.95730122701405
540,1965,Estimates,75plus,0.935337785234163
540,1965,Estimates,80plus,0.345406098884832
540,1970,Estimates,total,100
540,1970,Estimates,0_1,6.51178290883123
540,1970,Estimates,0_4,14.9116876934063
540,1970,Estimates,0_14,37.6472268507498
540,1970,Estimates,0_17,43.5972387526779
540,1970,Estimates,0_19,47.3325398714592
540,1970,Estimates,0_24,55.8981194953582
540,1970,Estimates,3_4,5.44632230421328
540,1970,Estimates,3_5,7.98952630326113
540,1970,Estimates,3_6,10.4384670316591
540,1970,Estimates,4_5,5.19876219947631
540,1970,Estimates,4_6,7.64770292787431
540,1970,Estimates,5_10,14.1690073791954
540,1970,Estimates,5_11,16.3694358486075
540,1970,Estimates,5_14,22.7355391573435
540,1970,Estimates,6_9,9.39966674601285
540,1970,Estimates,6_10,11.6258033801476
540,1970,Estimates,6_11,13.8262318495596
540,1970,Estimates,6_12,15.996191383004
540,1970,Estimates,7_10,9.17686265174958
540,1970,Estimates,7_12,13.547250654606
540,1970,Estimates,11_16,12.5760533206379
540,1970,Estimates,11_17,14.5165436800762
540,1970,Estimates,11_18,16.408474172816
540,1970,Estimates,12_14,6.36610330873601
540,1970,Estimates,12_16,10.3756248512259
540,1970,Estimates,12_17,12.3161152106641
540,1970,Estimates,12_18,14.2080457034039
540,1970,Estimates,13_17,10.1461556772197
540,1970,Estimates,13_18,12.0380861699595
540,1970,Estimates,13_19,13.881456796001
540,1970,Estimates,15plus,62.3527731492502
540,1970,Estimates,15_17,5.95001190192811
540,1970,Estimates,15_24,18.2508926446084
540,1970,Estimates,15_49,48.8245655796239
540,1970,Estimates,15_59,55.8933587241133
540,1970,Estimates,15_64,58.773625327303
540,1970,Estimates,16plus,60.326588907403
540,1970,Estimates,17plus,58.3432516067603
540,1970,Estimates,18plus,56.4027612473221
540,1970,Estimates,18_23,10.6555582004285
540,1970,Estimates,20plus,52.6674601285408
540,1970,Estimates,20_64,49.0883123065937
540,1970,Estimates,20_69,50.7269697691026
540,1970,Estimates,21plus,50.8716972149488
540,1970,Estimates,25plus,44.1018805046417
540,1970,Estimates,25_49,30.5736729350155
540,1970,Estimates,25_64,40.5227326826946
540,1970,Estimates,25_69,42.1613901452035
540,1970,Estimates,50plus,13.5282075696263
540,1970,Estimates,60plus,6.45941442513687
540,1970,Estimates,65plus,3.57914782194715
540,1970,Estimates,70plus,1.94049035943823
540,1970,Estimates,75plus,0.928350392763627
540,1970,Estimates,80plus,0.374196619852416
540,1975,Estimates,total,100
540,1975,Estimates,0_1,6.63567729456542
540,1975,Estimates,0_4,14.8226430398702
540,1975,Estimates,0_14,37.1217320771199
540,1975,Estimates,0_17,43.1669994384476
540,1975,Estimates,0_19,46.9527984026954
540,1975,Estimates,0_24,55.5211518063268
540,1975,Estimates,3_4,5.27001310288887
540,1975,Estimates,3_5,7.70028701566107
540,1975,Estimates,3_6,10.0377487989019
540,1975,Estimates,4_5,4.98455730954015
540,1975,Estimates,4_6,7.32201909278093
540,1975,Estimates,5_10,13.6543021151806
540,1975,Estimates,5_11,15.8513758033319
540,1975,Estimates,5_14,22.2990890372496
540,1975,Estimates,6_9,9.03475385287327
540,1975,Estimates,6_10,11.2240282024084
540,1975,Estimates,6_11,13.4211018905597
540,1975,Estimates,6_12,15.6111561739564
540,1975,Estimates,7_10,8.88656641916766
540,1975,Estimates,7_12,13.2736943907157
540,1975,Estimates,11_16,12.7183814812504
540,1975,Estimates,11_17,14.6900542833968
540,1975,Estimates,11_18,16.6094715168154
540,1975,Estimates,12_14,6.44771323391776
540,1975,Estimates,12_16,10.5213077930991
540,1975,Estimates,12_17,12.4929805952455
540,1975,Estimates,12_18,14.4123978286641
540,1975,Estimates,13_17,10.3029263118488
540,1975,Estimates,13_18,12.2223435452674
540,1975,Estimates,13_19,14.0887252760966
540,1975,Estimates,15plus,62.8782679228801
540,1975,Estimates,15_17,6.04526736132776
540,1975,Estimates,15_24,18.399419729207
540,1975,Estimates,15_49,49.6131528046422
540,1975,Estimates,15_59,56.3330629562613
540,1975,Estimates,15_64,58.7368191177388
540,1975,Estimates,16plus,60.8208023959568
540,1975,Estimates,17plus,58.8046733636988
540,1975,Estimates,18plus,56.8330005615524
540,1975,Estimates,18_23,10.7264303987022
540,1975,Estimates,20plus,53.0472015973045
540,1975,Estimates,20_64,48.9057527921632
540,1975,Estimates,20_69,50.9569788481937
540,1975,Estimates,21plus,51.2361951706495
540,1975,Estimates,25plus,44.4788481936732
540,1975,Estimates,25_49,31.2137330754352
540,1975,Estimates,25_64,40.3373993885319
540,1975,Estimates,25_69,42.3886254445623
540,1975,Estimates,50plus,13.265115118238
540,1975,Estimates,60plus,6.54520496661883
540,1975,Estimates,65plus,4.14144880514132
540,1975,Estimates,70plus,2.09022274911088
540,1975,Estimates,75plus,1.01703375553753
540,1975,Estimates,80plus,0.443002433393648
540,1980,Estimates,total,100
540,1980,Estimates,0_1,4.85246641196622
540,1980,Estimates,0_4,12.8184342971537
540,1980,Estimates,0_14,36.2482906404635
540,1980,Estimates,0_17,42.3737893505139
