agebroad,gender,percentagetotalpopulation,global,variant,year
25_64,male,41.686,900,estimates,1951
25_69,male,43.655,900,estimates,1951
15plus,male,64.619,900,estimates,1951
16plus,male,62.62,900,estimates,1951
17plus,male,60.667,900,estimates,1951
18plus,male,58.76,900,estimates,1951
20plus,male,55.048,900,estimates,1951
21plus,male,53.223,900,estimates,1951
25plus,male,46.167,900,estimates,1951
50plus,male,14.677,900,estimates,1951
60plus,male,7.164,900,estimates,1951
65plus,male,4.481,900,estimates,1951
70plus,male,2.511,900,estimates,1951
75plus,male,1.208,900,estimates,1951
80plus,male,0.462,900,estimates,1951
85plus,male,0.141,900,estimates,1951
90plus,male,0.033,900,estimates,1951
total,male,100,900,estimates,1951
"Region, subregion, country or area *",female,WORLD,900,estimates,1952
0_1,female,6.142,900,estimates,1952
0_4,female,13.938,900,estimates,1952
0_14,female,34.08,900,estimates,1952
0_17,female,39.675,900,estimates,1952
0_19,female,43.214,900,estimates,1952
0_24,female,51.669,900,estimates,1952
3_4,female,5.011,900,estimates,1952
3_5,female,7.295,900,estimates,1952
3_6,female,9.466,900,estimates,1952
4_5,female,4.706,900,estimates,1952
4_6,female,6.877,900,estimates,1952
5_14,female,20.142,900,estimates,1952
5_10,female,12.424,900,estimates,1952
5_11,female,14.346,900,estimates,1952
6_9,female,8.211,900,estimates,1952
6_10,female,10.141,900,estimates,1952
6_11,female,12.062,900,estimates,1952
6_12,female,13.985,900,estimates,1952
7_10,female,7.97,900,estimates,1952
7_12,female,11.814,900,estimates,1952
11_16,female,11.489,900,estimates,1952
11_17,female,13.312,900,estimates,1952
11_18,female,15.098,900,estimates,1952
12_14,female,5.796,900,estimates,1952
12_16,female,9.567,900,estimates,1952
12_17,female,11.391,900,estimates,1952
12_18,female,13.177,900,estimates,1952
13_17,female,9.468,900,estimates,1952
13_18,female,11.254,900,estimates,1952
13_19,female,13.007,900,estimates,1952
15_17,female,5.595,900,estimates,1952
18_23,female,10.346,900,estimates,1952
15_24,female,17.589,900,estimates,1952
15_49,female,49.202,900,estimates,1952
15_59,female,57.178,900,estimates,1952
15_64,female,60.185,900,estimates,1952
20_64,female,51.052,900,estimates,1952
20_69,female,53.41,900,estimates,1952
25_49,female,31.613,900,estimates,1952
25_64,female,42.596,900,estimates,1952
25_69,female,44.955,900,estimates,1952
15plus,female,65.92,900,estimates,1952
16plus,female,64.011,900,estimates,1952
17plus,female,62.149,900,estimates,1952
18plus,female,60.325,900,estimates,1952
20plus,female,56.786,900,estimates,1952
21plus,female,55.056,900,estimates,1952
25plus,female,48.331,900,estimates,1952
50plus,female,16.718,900,estimates,1952
60plus,female,8.741,900,estimates,1952
65plus,female,5.735,900,estimates,1952
70plus,female,3.376,900,estimates,1952
75plus,female,1.737,900,estimates,1952
80plus,female,0.737,900,estimates,1952
85plus,female,0.251,900,estimates,1952
90plus,female,0.07,900,estimates,1952
total,female,100,900,estimates,1952
"Region, subregion, country or area *",male,WORLD,900,estimates,1952
0_1,male,6.419,900,estimates,1952
0_4,male,14.523,900,estimates,1952
0_14,male,35.673,900,estimates,1952
0_17,male,41.532,900,estimates,1952
0_19,male,45.212,900,estimates,1952
0_24,male,54.001,900,estimates,1952
3_4,male,5.213,900,estimates,1952
3_5,male,7.597,900,estimates,1952
3_6,male,9.868,900,estimates,1952
4_5,male,4.906,900,estimates,1952
4_6,male,7.177,900,estimates,1952
5_14,male,21.151,900,estimates,1952
5_10,male,13.031,900,estimates,1952
5_11,male,15.054,900,estimates,1952
6_9,male,8.615,900,estimates,1952
6_10,male,10.647,900,estimates,1952
6_11,male,12.67,900,estimates,1952
6_12,male,14.694,900,estimates,1952
7_10,male,8.377,900,estimates,1952
7_12,male,12.423,900,estimates,1952
11_16,male,12.073,900,estimates,1952
11_17,male,13.978,900,estimates,1952
11_18,male,15.838,900,estimates,1952
12_14,male,6.097,900,estimates,1952
12_16,male,10.051,900,estimates,1952
12_17,male,11.956,900,estimates,1952
12_18,male,13.815,900,estimates,1952
13_17,male,9.932,900,estimates,1952
13_18,male,11.791,900,estimates,1952
13_19,male,13.612,900,estimates,1952
15_17,male,5.858,900,estimates,1952
18_23,male,10.758,900,estimates,1952
15_24,male,18.327,900,estimates,1952
15_49,male,49.683,900,estimates,1952
15_59,male,57.201,900,estimates,1952
15_64,male,59.85,900,estimates,1952
20_64,male,50.311,900,estimates,1952
20_69,male,52.272,900,estimates,1952
25_49,male,31.356,900,estimates,1952
25_64,male,41.522,900,estimates,1952
25_69,male,43.483,900,estimates,1952
15plus,male,64.327,900,estimates,1952
16plus,male,62.324,900,estimates,1952
17plus,male,60.373,900,estimates,1952
18plus,male,58.468,900,estimates,1952
20plus,male,54.788,900,estimates,1952
21plus,male,52.991,900,estimates,1952
25plus,male,45.999,900,estimates,1952
50plus,male,14.643,900,estimates,1952
60plus,male,7.126,900,estimates,1952
65plus,male,4.477,900,estimates,1952
70plus,male,2.516,900,estimates,1952
75plus,male,1.223,900,estimates,1952
80plus,male,0.478,900,estimates,1952
85plus,male,0.146,900,estimates,1952
90plus,male,0.035,900,estimates,1952
total,male,100,900,estimates,1952
"Region, subregion, country or area *",female,WORLD,900,estimates,1953
0_1,female,6.208,900,estimates,1953
0_4,female,14.182,900,estimates,1953
0_14,female,34.33,900,estimates,1953
0_17,female,39.915,900,estimates,1953
0_19,female,43.444,900,estimates,1953
0_24,female,51.806,900,estimates,1953
3_4,female,5.165,900,estimates,1953
3_5,female,7.517,900,estimates,1953
3_6,female,9.743,900,estimates,1953
4_5,female,4.849,900,estimates,1953
4_6,female,7.076,900,estimates,1953
5_14,female,20.148,900,estimates,1953
5_10,female,12.605,900,estimates,1953
5_11,female,14.49,900,estimates,1953
6_9,female,8.344,900,estimates,1953
6_10,female,10.253,900,estimates,1953
6_11,female,12.138,900,estimates,1953
6_12,female,14.018,900,estimates,1953
7_10,female,8.026,900,estimates,1953
7_12,female,11.791,900,estimates,1953
11_16,female,11.306,900,estimates,1953
11_17,female,13.128,900,estimates,1953
11_18,female,14.911,900,estimates,1953
12_14,female,5.658,900,estimates,1953
12_16,female,9.421,900,estimates,1953
12_17,female,11.243,900,estimates,1953
12_18,female,13.026,900,estimates,1953
13_17,female,9.363,900,estimates,1953
13_18,female,11.146,900,estimates,1953
13_19,female,12.892,900,estimates,1953
15_17,female,5.584,900,estimates,1953
18_23,female,10.259,900,estimates,1953
15_24,female,17.476,900,estimates,1953
15_49,female,48.943,900,estimates,1953
15_59,female,56.95,900,estimates,1953
15_64,female,59.927,900,estimates,1953
20_64,female,50.814,900,estimates,1953
20_69,female,53.171,900,estimates,1953
25_49,female,31.467,900,estimates,1953
25_64,female,42.452,900,estimates,1953
25_69,female,44.809,900,estimates,1953
15plus,female,65.67,900,estimates,1953
16plus,female,63.775,900,estimates,1953
17plus,female,61.907,900,estimates,1953
18plus,female,60.085,900,estimates,1953
20plus,female,56.556,900,estimates,1953
21plus,female,54.843,900,estimates,1953
25plus,female,48.194,900,estimates,1953
50plus,female,16.727,900,estimates,1953
60plus,female,8.72,900,estimates,1953
65plus,female,5.742,900,estimates,1953
70plus,female,3.385,900,estimates,1953
75plus,female,1.744,900,estimates,1953
80plus,female,0.745,900,estimates,1953
85plus,female,0.249,900,estimates,1953
90plus,female,0.07,900,estimates,1953
total,female,100,900,estimates,1953
"Region, subregion, country or area *",male,WORLD,900,estimates,1953
0_1,male,6.502,900,estimates,1953
0_4,male,14.798,900,estimates,1953
0_14,male,35.918,900,estimates,1953
0_17,male,41.77,900,estimates,1953
0_19,male,45.444,900,estimates,1953
0_24,male,54.124,900,estimates,1953
3_4,male,5.366,900,estimates,1953
3_5,male,7.814,900,estimates,1953
3_6,male,10.137,900,estimates,1953
4_5,male,5.045,900,estimates,1953
4_6,male,7.368,900,estimates,1953
5_14,male,21.12,900,estimates,1953
5_10,male,13.187,900,estimates,1953
5_11,male,15.171,900,estimates,1953
6_9,male,8.731,900,estimates,1953
6_10,male,10.738,900,estimates,1953
6_11,male,12.722,900,estimates,1953
6_12,male,14.7,900,estimates,1953
7_10,male,8.416,900,estimates,1953
7_12,male,12.377,900,estimates,1953
11_16,male,11.88,900,estimates,1953
11_17,male,13.785,900,estimates,1953
11_18,male,15.645,900,estimates,1953
12_14,male,5.95,900,estimates,1953
12_16,male,9.896,900,estimates,1953
12_17,male,11.801,900,estimates,1953
12_18,male,13.661,900,estimates,1953
13_17,male,9.823,900,estimates,1953
13_18,male,11.684,900,estimates,1953
13_19,male,13.498,900,estimates,1953
15_17,male,5.852,900,estimates,1953
18_23,male,10.656,900,estimates,1953
15_24,male,18.206,900,estimates,1953
15_49,male,49.462,900,estimates,1953
15_59,male,57.004,900,estimates,1953
15_64,male,59.624,900,estimates,1953
20_64,male,50.098,900,estimates,1953
20_69,male,52.053,900,estimates,1953
25_49,male,31.256,900,estimates,1953
25_64,male,41.418,900,estimates,1953
25_69,male,43.373,900,estimates,1953
15plus,male,64.082,900,estimates,1953
16plus,male,62.092,900,estimates,1953
17plus,male,60.136,900,estimates,1953
18plus,male,58.23,900,estimates,1953
20plus,male,54.556,900,estimates,1953
21plus,male,52.779,900,estimates,1953
25plus,male,45.876,900,estimates,1953
50plus,male,14.62,900,estimates,1953
60plus,male,7.078,900,estimates,1953
65plus,male,4.458,900,estimates,1953
70plus,male,2.503,900,estimates,1953
75plus,male,1.221,900,estimates,1953
80plus,male,0.482,900,estimates,1953
85plus,male,0.145,900,estimates,1953
90plus,male,0.036,900,estimates,1953
total,male,100,900,estimates,1953
"Region, subregion, country or area *",female,WORLD,900,estimates,1954
0_1,female,6.214,900,estimates,1954
0_4,female,14.287,900,estimates,1954
0_14,female,34.544,900,estimates,1954
0_17,female,40.086,900,estimates,1954
0_19,female,43.616,900,estimates,1954
0_24,female,51.906,900,estimates,1954
3_4,female,5.233,900,estimates,1954
3_5,female,7.646,900,estimates,1954
3_6,female,9.931,900,estimates,1954
4_5,female,4.968,900,estimates,1954
4_6,female,7.253,900,estimates,1954
5_14,female,20.257,900,estimates,1954
5_10,female,12.86,900,estimates,1954
5_11,female,14.726,900,estimates,1954
6_9,female,8.53,900,estimates,1954
6_10,female,10.448,900,estimates,1954
6_11,female,12.314,900,estimates,1954
6_12,female,14.157,900,estimates,1954
7_10,female,8.163,900,estimates,1954
7_12,female,11.872,900,estimates,1954
11_16,female,11.111,900,estimates,1954
11_17,female,12.939,900,estimates,1954
11_18,female,14.723,900,estimates,1954
12_14,female,5.531,900,estimates,1954
12_16,female,9.245,900,estimates,1954
12_17,female,11.073,900,estimates,1954
12_18,female,12.858,900,estimates,1954
13_17,female,9.229,900,estimates,1954
13_18,female,11.014,900,estimates,1954
13_19,female,12.76,900,estimates,1954
15_17,female,5.542,900,estimates,1954
18_23,female,10.203,900,estimates,1954
15_24,female,17.362,900,estimates,1954
15_49,female,48.704,900,estimates,1954
15_59,female,56.756,900,estimates,1954
15_64,female,59.718,900,estimates,1954
20_64,female,50.646,900,estimates,1954
20_69,female,53.002,900,estimates,1954
25_49,female,31.342,900,estimates,1954
25_64,female,42.356,900,estimates,1954
25_69,female,44.713,900,estimates,1954
15plus,female,65.456,900,estimates,1954
16plus,female,63.599,900,estimates,1954
17plus,female,61.742,900,estimates,1954
18plus,female,59.914,900,estimates,1954
20plus,female,56.384,900,estimates,1954
21plus,female,54.676,900,estimates,1954
25plus,female,48.094,900,estimates,1954
50plus,female,16.752,900,estimates,1954
60plus,female,8.7,900,estimates,1954
65plus,female,5.738,900,estimates,1954
70plus,female,3.381,900,estimates,1954
75plus,female,1.735,900,estimates,1954
80plus,female,0.738,900,estimates,1954
85plus,female,0.24,900,estimates,1954
90plus,female,0.066,900,estimates,1954
total,female,100,900,estimates,1954
"Region, subregion, country or area *",male,WORLD,900,estimates,1954
0_1,male,6.515,900,estimates,1954
0_4,male,14.921,900,estimates,1954
0_14,male,36.119,900,estimates,1954
0_17,male,41.93,900,estimates,1954
0_19,male,45.612,900,estimates,1954
0_24,male,54.203,900,estimates,1954
3_4,male,5.443,900,estimates,1954
3_5,male,7.952,900,estimates,1954
3_6,male,10.33,900,estimates,1954
4_5,male,5.164,900,estimates,1954
4_6,male,7.542,900,estimates,1954
5_14,male,21.198,900,estimates,1954
5_10,male,13.423,900,estimates,1954
5_11,male,15.385,900,estimates,1954
6_9,male,8.902,900,estimates,1954
6_10,male,10.915,900,estimates,1954
6_11,male,12.876,900,estimates,1954
6_12,male,14.816,900,estimates,1954
7_10,male,8.536,900,estimates,1954
7_12,male,12.437,900,estimates,1954
11_16,male,11.672,900,estimates,1954
11_17,male,13.586,900,estimates,1954
11_18,male,15.45,900,estimates,1954
12_14,male,5.814,900,estimates,1954
12_16,male,9.711,900,estimates,1954
12_17,male,11.625,900,estimates,1954
12_18,male,13.488,900,estimates,1954
13_17,male,9.685,900,estimates,1954
13_18,male,11.549,900,estimates,1954
13_19,male,13.367,900,estimates,1954
15_17,male,5.811,900,estimates,1954
18_23,male,10.596,900,estimates,1954
15_24,male,18.083,900,estimates,1954
15_49,male,49.272,900,estimates,1954
15_59,male,56.854,900,estimates,1954
15_64,male,59.458,900,estimates,1954
20_64,male,49.966,900,estimates,1954
20_69,male,51.915,900,estimates,1954
25_49,male,31.188,900,estimates,1954
25_64,male,41.375,900,estimates,1954
25_69,male,43.324,900,estimates,1954
15plus,male,63.881,900,estimates,1954
16plus,male,61.93,900,estimates,1954
17plus,male,59.984,900,estimates,1954
18plus,male,58.07,900,estimates,1954
20plus,male,54.388,900,estimates,1954
21plus,male,52.616,900,estimates,1954
25plus,male,45.797,900,estimates,1954
50plus,male,14.609,900,estimates,1954
60plus,male,7.026,900,estimates,1954
65plus,male,4.423,900,estimates,1954
70plus,male,2.473,900,estimates,1954
75plus,male,1.201,900,estimates,1954
80plus,male,0.471,900,estimates,1954
85plus,male,0.138,900,estimates,1954
90plus,male,0.033,900,estimates,1954
total,male,100,900,estimates,1954
"Region, subregion, country or area *",female,WORLD,900,estimates,1955
0_1,female,6.168,900,estimates,1955
0_4,female,14.311,900,estimates,1955
0_14,female,34.743,900,estimates,1955
0_17,female,40.195,900,estimates,1955
0_19,female,43.735,900,estimates,1955
0_24,female,51.979,900,estimates,1955
3_4,female,5.289,900,estimates,1955
3_5,female,7.738,900,estimates,1955
3_6,female,10.069,900,estimates,1955
4_5,female,5.026,900,estimates,1955
4_6,female,7.357,900,estimates,1955
5_14,female,20.432,900,estimates,1955
5_10,female,13.117,900,estimates,1955
5_11,female,14.995,900,estimates,1955
6_9,female,8.713,900,estimates,1955
6_10,female,10.668,900,estimates,1955
6_11,female,12.546,900,estimates,1955
6_12,female,14.371,900,estimates,1955
7_10,female,8.337,900,estimates,1955
7_12,female,12.04,900,estimates,1955
11_16,female,10.946,900,estimates,1955
11_17,female,12.766,900,estimates,1955
11_18,female,14.558,900,estimates,1955
12_14,female,5.436,900,estimates,1955
12_16,female,9.068,900,estimates,1955
12_17,female,10.888,900,estimates,1955
12_18,female,12.68,900,estimates,1955
13_17,female,9.063,900,estimates,1955
13_18,female,10.855,900,estimates,1955
13_19,female,12.603,900,estimates,1955
15_17,female,5.451,900,estimates,1955
18_23,female,10.183,900,estimates,1955
15_24,female,17.236,900,estimates,1955
15_49,female,48.468,900,estimates,1955
