country,year,variant,gender,freq,agebroad,percentagetotaldeaths
417,1970,estimates,male,5yearly,15_24,3.15519556269672
417,1970,estimates,female,5yearly,15_49,11.509363919149
417,1970,estimates,male,5yearly,15_49,18.8508352959303
417,1970,estimates,female,5yearly,15_59,17.6973591571833
417,1970,estimates,male,5yearly,15_59,25.9657077454714
417,1970,estimates,female,5yearly,15_64,22.7934305354651
417,1970,estimates,male,5yearly,15_64,30.977483327097
417,1970,estimates,female,5yearly,20plus,63.5107976292579
417,1970,estimates,male,5yearly,20plus,59.8408645698061
417,1970,estimates,female,5yearly,20_64,21.65798333312
417,1970,estimates,male,5yearly,20_64,29.5435036207162
417,1970,estimates,female,5yearly,20_69,29.0889540316696
417,1970,estimates,male,5yearly,20_69,35.8715030924658
417,1970,estimates,female,5yearly,25plus,62.2831833484812
417,1970,estimates,male,5yearly,25plus,58.1196487134902
417,1970,estimates,female,5yearly,25_69,27.8613397508929
417,1970,estimates,male,5yearly,25_69,34.1502872361499
417,1970,estimates,female,5yearly,40plus,58.1919891447663
417,1970,estimates,male,5yearly,40plus,50.9508507032333
417,1970,estimates,female,5yearly,50plus,53.1368809124541
417,1970,estimates,male,5yearly,50plus,42.4240089802566
417,1970,estimates,female,5yearly,60plus,46.9488856744198
417,1970,estimates,male,5yearly,60plus,35.3091365307156
417,1970,estimates,female,5yearly,65plus,41.8528142961379
417,1970,estimates,male,5yearly,65plus,30.2973609490899
417,1970,estimates,female,5yearly,70plus,34.4218435975883
417,1970,estimates,male,5yearly,70plus,23.9693614773403
417,1970,estimates,female,5yearly,80plus,16.2418873769506
417,1970,estimates,male,5yearly,80plus,9.97953029736095
417,1970,estimates,female,5yearly,90plus,3.64187969636068
417,1970,estimates,male,5yearly,90plus,1.7575330706755
417,1975,estimates,female,5yearly,0_4,30.1962408487934
417,1975,estimates,male,5yearly,0_4,33.9165516281957
417,1975,estimates,female,5yearly,0_14,32.034400009745
417,1975,estimates,male,5yearly,0_14,36.1285006474258
417,1975,estimates,female,5yearly,0_19,33.2050235708282
417,1975,estimates,male,5yearly,0_19,37.6919537277815
417,1975,estimates,female,5yearly,0_24,34.6411996150707
417,1975,estimates,male,5yearly,0_24,39.9499181354136
417,1975,estimates,female,5yearly,5_14,1.8381591609516
417,1975,estimates,male,5yearly,5_14,2.21194901923015
417,1975,estimates,female,5yearly,15plus,67.9655999902549
417,1975,estimates,male,5yearly,15plus,63.8714993525742
417,1975,estimates,female,5yearly,15_24,2.60679960532567
417,1975,estimates,male,5yearly,15_24,3.82141748798784
417,1975,estimates,female,5yearly,15_49,11.1702581218862
417,1975,estimates,male,5yearly,15_49,19.8583154087344
417,1975,estimates,female,5yearly,15_59,18.2293252774293
417,1975,estimates,male,5yearly,15_59,29.0196582019754
417,1975,estimates,female,5yearly,15_64,22.7266636619444
