continent,variant,gender,year,population
908,Instant_replacement,female,2023,390059.862
908,Instant_replacement,male,2023,365741.908
908,Low_variant,female,2023,376564.524
908,Low_variant,male,2023,351487.305
908,Medium_variant,female,2023,381933.792
908,Medium_variant,male,2023,357154.209
908,No_change,female,2023,378474.603
908,No_change,male,2023,353221.775
908,Zero_migration,female,2023,378095.035
908,Zero_migration,male,2023,353283.536
908,Constant_fertility,female,2024,379894.286
908,Constant_fertility,male,2024,355181.444
908,Constant_mortality,female,2024,379292.845
908,Constant_mortality,male,2024,354158.404
908,High_variant,female,2024,387922.597
908,High_variant,male,2024,363616.941
908,Instant_replacement,female,2024,390611.371
908,Instant_replacement,male,2024,366467.021
908,Low_variant,female,2024,375371.338
908,Low_variant,male,2024,350370.33
908,Medium_variant,female,2024,381646.864
908,Medium_variant,male,2024,356993.525
908,No_change,female,2024,377561.45
908,No_change,male,2024,352330.671
908,Zero_migration,female,2024,377318.286
908,Zero_migration,male,2024,352639.046
908,Constant_fertility,female,2025,379300.714
908,Constant_fertility,male,2025,354699.171
908,Constant_mortality,female,2025,378565.204
908,Constant_mortality,male,2025,353452.178
908,High_variant,female,2025,388530.55
908,High_variant,male,2025,364398.589
908,Instant_replacement,female,2025,391104.961
908,Instant_replacement,male,2025,367129.039
908,Low_variant,female,2025,374091.067
908,Low_variant,male,2025,349159.475
908,Medium_variant,female,2025,381310.807
908,Medium_variant,male,2025,356779.037
908,No_change,female,2025,376578.918
908,No_change,male,2025,351355.396
908,Zero_migration,female,2025,376471.797
908,Zero_migration,male,2025,351919.178
908,Constant_fertility,female,2026,378661.584
908,Constant_fertility,male,2026,354167.296
908,Constant_mortality,female,2026,377770.679
908,Constant_mortality,male,2026,352664.904
908,High_variant,female,2026,389125.427
908,High_variant,male,2026,365164.955
908,Instant_replacement,female,2026,391539.602
908,Instant_replacement,male,2026,367727.348
908,Low_variant,female,2026,372728.144
908,Low_variant,male,2026,347859.936
908,Medium_variant,female,2026,380926.889
908,Medium_variant,male,2026,356512.561
908,No_change,female,2026,375531.865
908,No_change,male,2026,350301.56
908,Zero_migration,female,2026,375557.359
908,Zero_migration,male,2026,351125.935
908,Constant_fertility,female,2027,377978.872
908,Constant_fertility,male,2027,353587.224
908,Constant_mortality,female,2027,376911.514
908,Constant_mortality,male,2027,351799.075
908,High_variant,female,2027,389700.383
908,High_variant,male,2027,365908.174
908,Instant_replacement,female,2027,391902.136
908,Instant_replacement,male,2027,368247.387
908,Low_variant,female,2027,371291.963
908,Low_variant,male,2027,346480.997
908,Medium_variant,female,2027,380496.3
908,Medium_variant,male,2027,356194.72
908,No_change,female,2027,374423.305
908,No_change,male,2027,349172.46
908,Zero_migration,female,2027,374582.729
908,Zero_migration,male,2027,350266.918
908,Constant_fertility,female,2028,377257.848
908,Constant_fertility,male,2028,352965.51
908,Constant_mortality,female,2028,375990.818
908,Constant_mortality,male,2028,350860.455
908,High_variant,female,2028,390245.53
908,High_variant,male,2028,366618.754
908,Instant_replacement,female,2028,392197.506
908,Instant_replacement,male,2028,368695.345
908,Low_variant,female,2028,369798.011
908,Low_variant,male,2028,345039.978
908,Medium_variant,female,2028,380021.868
908,Medium_variant,male,2028,355829.463
908,No_change,female,2028,373258.791
908,No_change,male,2028,347976.454
908,Zero_migration,female,2028,373550.985
908,Zero_migration,male,2028,349346.558
908,Constant_fertility,female,2029,376504.031
908,Constant_fertility,male,2029,352309.117
908,Constant_mortality,female,2029,375011.716
908,Constant_mortality,male,2029,349855.463
908,High_variant,female,2029,390748.81
908,High_variant,male,2029,367285.074
908,Instant_replacement,female,2029,392431.496
908,Instant_replacement,male,2029,369078.409
908,Low_variant,female,2029,368264.789
908,Low_variant,male,2029,343557.501
908,Medium_variant,female,2029,379506.87
908,Medium_variant,male,2029,355421.349
908,No_change,female,2029,372043.684
908,No_change,male,2029,346722.292
908,Zero_migration,female,2029,372466.147
