country,variant,freq,year,birthper1000population
694,no change,5Yearly,2060,36.164
694,zero-migration,5Yearly,2060,17.583
694,constant-fertility,5Yearly,2065,35.135
694,constant-mortality,5Yearly,2065,17.009
694,high variant,5Yearly,2065,20.722
694,instant-replacement,5Yearly,2065,15.915
694,low variant,5Yearly,2065,12.265
694,medium variant,5Yearly,2065,16.578
694,no change,5Yearly,2065,36.136
694,zero-migration,5Yearly,2065,16.578
694,constant-fertility,5Yearly,2070,35.087
694,constant-mortality,5Yearly,2070,16.132
694,high variant,5Yearly,2070,19.905
694,instant-replacement,5Yearly,2070,15.322
694,low variant,5Yearly,2070,11.334
694,medium variant,5Yearly,2070,15.686
694,no change,5Yearly,2070,36.123
694,zero-migration,5Yearly,2070,15.686
694,constant-fertility,5Yearly,2075,35.056
694,constant-mortality,5Yearly,2075,15.39
694,high variant,5Yearly,2075,19.218
694,instant-replacement,5Yearly,2075,14.925
694,low variant,5Yearly,2075,10.525
694,medium variant,5Yearly,2075,14.922
694,no change,5Yearly,2075,36.126
694,zero-migration,5Yearly,2075,14.923
694,constant-fertility,5Yearly,2080,35.026
694,constant-mortality,5Yearly,2080,14.803
694,high variant,5Yearly,2080,18.637
694,instant-replacement,5Yearly,2080,14.792
694,low variant,5Yearly,2080,9.878
694,medium variant,5Yearly,2080,14.302
694,no change,5Yearly,2080,36.134
694,zero-migration,5Yearly,2080,14.303
694,constant-fertility,5Yearly,2085,34.991
694,constant-mortality,5Yearly,2085,14.321
694,high variant,5Yearly,2085,18.111
694,instant-replacement,5Yearly,2085,14.816
694,low variant,5Yearly,2085,9.355
694,medium variant,5Yearly,2085,13.778
694,no change,5Yearly,2085,36.136
694,zero-migration,5Yearly,2085,13.778
694,constant-fertility,5Yearly,2090,34.946
694,constant-mortality,5Yearly,2090,13.93
694,high variant,5Yearly,2090,17.652
694,instant-replacement,5Yearly,2090,14.791
694,low variant,5Yearly,2090,8.937
694,medium variant,5Yearly,2090,13.338
694,no change,5Yearly,2090,36.132
694,zero-migration,5Yearly,2090,13.338
694,constant-fertility,5Yearly,2095,34.898
694,constant-mortality,5Yearly,2095,13.593
694,high variant,5Yearly,2095,17.25
694,instant-replacement,5Yearly,2095,14.644
694,low variant,5Yearly,2095,8.575
694,medium variant,5Yearly,2095,12.952
694,no change,5Yearly,2095,36.128
694,zero-migration,5Yearly,2095,12.952
