region,variant,gender,year,population
926,constantmortality,male,2036,93719.323
926,highvariant,female,2036,104353.227
926,highvariant,male,2036,102008.892
926,instantreplacement,female,2036,103550.622
926,instantreplacement,male,2036,101170.087
926,lowvariant,female,2036,94816.188
926,lowvariant,male,2036,91957.075
926,mediumvariant,female,2036,99582.526
926,mediumvariant,male,2036,96980.675
926,nochange,female,2036,96477.417
926,nochange,male,2036,92884.58
926,zeromigration,female,2036,95062.611
926,zeromigration,male,2036,92396.595
926,constantfertility,female,2037,98757.314
926,constantfertility,male,2037,96131.633
926,constantmortality,female,2037,97125.141
926,constantmortality,male,2037,93540.745
926,highvariant,female,2037,104641.094
926,highvariant,male,2037,102326.256
926,instantreplacement,female,2037,103730.668
926,instantreplacement,male,2037,101374.091
926,lowvariant,female,2037,94574.95
926,lowvariant,male,2037,91717.059
926,mediumvariant,female,2037,99604.495
926,mediumvariant,male,2037,97017.934
926,nochange,female,2037,96284.003
926,nochange,male,2037,92652.497
926,zeromigration,female,2037,94840.319
926,zeromigration,male,2037,92189.047
926,constantfertility,female,2038,98717.153
926,constantfertility,male,2038,96102.857
926,constantmortality,female,2038,96967.976
926,constantmortality,male,2038,93349.685
926,highvariant,female,2038,104920.748
926,highvariant,male,2038,102634.073
926,instantreplacement,female,2038,103901.11
926,instantreplacement,male,2038,101567.079
926,lowvariant,female,2038,94322.361
926,lowvariant,male,2038,91464.249
926,mediumvariant,female,2038,99615.996
926,mediumvariant,male,2038,97043.298
926,nochange,female,2038,96075.573
926,nochange,male,2038,92407.346
926,zeromigration,female,2038,94606.104
926,zeromigration,male,2038,91968.188
926,constantfertility,female,2039,98665.401
926,constantfertility,male,2039,96061.761
926,constantmortality,female,2039,96795.742
926,constantmortality,male,2039,93146.833
926,highvariant,female,2039,105193.058
926,highvariant,male,2039,102934.006
926,instantreplacement,female,2039,104062.979
926,instantreplacement,male,2039,101750.902
926,lowvariant,female,2039,94057.308
926,lowvariant,male,2039,91198.233
926,mediumvariant,female,2039,99616.665
926,mediumvariant,male,2039,97057.14
926,nochange,female,2039,95851.33
926,nochange,male,2039,92149.623
926,zeromigration,female,2039,94359.662
926,zeromigration,male,2039,91734.457
926,constantfertility,female,2040,98601.63
926,constantfertility,male,2040,96008.571
926,constantmortality,female,2040,96608.188
926,constantmortality,male,2040,92933.025
926,highvariant,female,2040,105459.051
926,highvariant,male,2040,103227.823
926,instantreplacement,female,2040,104217.394
926,instantreplacement,male,2040,101927.423
926,lowvariant,female,2040,93778.776
926,lowvariant,male,2040,90918.627
926,mediumvariant,female,2040,99606.255
926,mediumvariant,male,2040,97059.882
926,nochange,female,2040,95610.836
926,nochange,male,2040,91879.977
926,zeromigration,female,2040,94100.781
926,zeromigration,male,2040,91488.314
926,constantfertility,female,2041,98525.786
926,constantfertility,male,2041,95943.524
926,constantmortality,female,2041,96405.496
926,constantmortality,male,2041,92709.047
926,highvariant,female,2041,105719.553
926,highvariant,male,2041,103516.678
926,instantreplacement,female,2041,104364.99
926,instantreplacement,male,2041,102097.601
926,lowvariant,female,2041,93486.332
926,lowvariant,male,2041,90625.263
926,mediumvariant,female,2041,99584.807
926,mediumvariant,male,2041,97051.856
926,nochange,female,2041,95354.184
926,nochange,male,2041,91599.093
926,zeromigration,female,2041,93829.675
926,zeromigration,male,2041,91230.28
926,constantfertility,female,2042,98437.829
926,constantfertility,male,2042,95866.925
926,constantmortality,female,2042,96188.434
926,constantmortality,male,2042,92476.072
926,highvariant,female,2042,105975.846
926,highvariant,male,2042,103802.271
926,instantreplacement,female,2042,104506.867
926,instantreplacement,male,2042,102262.953
926,lowvariant,female,2042,93179.384
926,lowvariant,male,2042,90317.865
926,mediumvariant,female,2042,99552.429
926,mediumvariant,male,2042,97033.528
926,nochange,female,2042,95081.996
926,nochange,male,2042,91307.994
926,zeromigration,female,2042,93546.464
926,zeromigration,male,2042,90960.838
926,constantfertility,female,2043,98337.414
926,constantfertility,male,2043,95779.212
926,constantmortality,female,2043,95958.125
926,constantmortality,male,2043,92235.851
926,highvariant,female,2043,106230.052
926,highvariant,male,2043,104087.648
926,instantreplacement,female,2043,104645.207
926,instantreplacement,male,2043,102426.585
926,lowvariant,female,2043,92856.607
926,lowvariant,male,2043,89995.841
926,mediumvariant,female,2043,99509.083
926,mediumvariant,male,2043,97005.654
926,nochange,female,2043,94795.088
926,nochange,male,2043,91008.111
926,zeromigration,female,2043,93250.799
926,zeromigration,male,2043,90680.428
926,constantfertility,female,2044,98224.159
926,constantfertility,male,2044,95680.894
926,constantmortality,female,2044,95716.032
926,constantmortality,male,2044,91990.429
926,highvariant,female,2044,106484.716
926,highvariant,male,2044,104376.392
926,instantreplacement,female,2044,104782.642
926,instantreplacement,male,2044,102592.194
926,lowvariant,female,2044,92516.482
926,lowvariant,male,2044,89658.498
926,mediumvariant,female,2044,99454.76
926,mediumvariant,male,2044,96969.144
926,nochange,female,2044,94494.559
926,nochange,male,2044,90701.1
926,zeromigration,female,2044,92942.214
926,zeromigration,male,2044,90389.506
926,constantfertility,female,2045,98097.915
926,constantfertility,male,2045,95572.497
926,constantmortality,female,2045,95463.555
926,constantmortality,male,2045,91741.619
926,highvariant,female,2045,106742.073
926,highvariant,male,2045,104671.56
926,instantreplacement,female,2045,104921.299
926,instantreplacement,male,2045,102762.718
926,lowvariant,female,2045,92157.939
926,lowvariant,male,2045,89305.399
926,mediumvariant,female,2045,99389.622
926,mediumvariant,male,2045,96924.85
926,nochange,female,2045,94181.497
926,nochange,male,2045,90388.442
926,zeromigration,female,2045,92620.592
926,zeromigration,male,2045,90088.643
926,constantfertility,female,2046,97958.819
926,constantfertility,male,2046,95454.673
926,constantmortality,female,2046,95201.702
926,constantmortality,male,2046,91490.653
926,highvariant,female,2046,107003.245
926,highvariant,male,2046,104974.834
926,instantreplacement,female,2046,105062.06
926,instantreplacement,male,2046,102939.598
926,lowvariant,female,2046,91780.716
926,lowvariant,male,2046,88936.774
926,mediumvariant,female,2046,99313.922
926,mediumvariant,male,2046,96873.551
926,nochange,female,2046,93856.796
926,nochange,male,2046,90071.254
926,zeromigration,female,2046,92286.098
926,zeromigration,male,2046,89778.531
926,constantfertility,female,2047,97807.34
926,constantfertility,male,2047,95327.958
926,constantmortality,female,2047,94931.425
926,constantmortality,male,2047,91238.491
926,highvariant,female,2047,107269.308
926,highvariant,male,2047,105287.387
926,instantreplacement,female,2047,105205.375
926,instantreplacement,male,2047,103123.336
926,lowvariant,female,2047,91385.102
926,lowvariant,male,2047,88552.956
926,mediumvariant,female,2047,99228.242
926,mediumvariant,male,2047,96815.89
926,nochange,female,2047,93521.302
926,nochange,male,2047,89750.388
926,zeromigration,female,2047,91939.558
926,zeromigration,male,2047,89460.066
926,constantfertility,female,2048,97644.16
926,constantfertility,male,2048,95192.666
926,constantmortality,female,2048,94654.053
926,constantmortality,male,2048,90986.338
926,highvariant,female,2048,107542.388
926,highvariant,male,2048,105611.069
926,instantreplacement,female,2048,105352.329
926,instantreplacement,male,2048,103314.696
926,lowvariant,female,2048,90971.36
926,lowvariant,male,2048,88153.835
926,mediumvariant,female,2048,99133.535
926,mediumvariant,male,2048,96752.482
926,nochange,female,2048,93176.075
926,nochange,male,2048,89426.756
926,zeromigration,female,2048,91582.412
926,zeromigration,male,2048,89134.351
926,constantfertility,female,2049,97470.154
926,constantfertility,male,2049,95049.05
926,constantmortality,female,2049,94371.035
926,constantmortality,male,2049,90735.35
926,highvariant,female,2049,107824.806
926,highvariant,male,2049,105947.652
926,instantreplacement,female,2049,105503.95
