country,variant,freq,year,netreporductionrate
860,zeromigration,5yearly,2035,0.92
860,constantfertility,5yearly,2040,1.159
860,constantmortality,5yearly,2040,0.878
860,highvariant,5yearly,2040,1.135
860,instantreplacement,5yearly,2040,1
860,lowvariant,5yearly,2040,0.668
860,mediumvariant,5yearly,2040,0.902
860,nochange,5yearly,2040,1.129
860,zeromigration,5yearly,2040,0.902
860,constantfertility,5yearly,2045,1.163
860,constantmortality,5yearly,2045,0.861
860,highvariant,5yearly,2045,1.122
860,instantreplacement,5yearly,2045,1
860,lowvariant,5yearly,2045,0.653
860,mediumvariant,5yearly,2045,0.888
860,nochange,5yearly,2045,1.129
860,zeromigration,5yearly,2045,0.888
860,constantfertility,5yearly,2050,1.166
860,constantmortality,5yearly,2050,0.849
860,highvariant,5yearly,2050,1.112
860,instantreplacement,5yearly,2050,1
860,lowvariant,5yearly,2050,0.642
860,mediumvariant,5yearly,2050,0.877
860,nochange,5yearly,2050,1.129
860,zeromigration,5yearly,2050,0.877
860,constantfertility,5yearly,2055,1.169
860,constantmortality,5yearly,2055,0.84
860,highvariant,5yearly,2055,1.106
860,instantreplacement,5yearly,2055,1
860,lowvariant,5yearly,2055,0.635
860,mediumvariant,5yearly,2055,0.87
860,nochange,5yearly,2055,1.129
860,zeromigration,5yearly,2055,0.87
860,constantfertility,5yearly,2060,1.172
860,constantmortality,5yearly,2060,0.834
860,highvariant,5yearly,2060,1.102
860,instantreplacement,5yearly,2060,1
860,lowvariant,5yearly,2060,0.63
860,mediumvariant,5yearly,2060,0.866
860,nochange,5yearly,2060,1.129
860,zeromigration,5yearly,2060,0.866
860,constantfertility,5yearly,2065,1.174
860,constantmortality,5yearly,2065,0.83
860,highvariant,5yearly,2065,1.1
860,instantreplacement,5yearly,2065,1
860,lowvariant,5yearly,2065,0.627
860,mediumvariant,5yearly,2065,0.864
860,nochange,5yearly,2065,1.129
860,zeromigration,5yearly,2065,0.864
860,constantfertility,5yearly,2070,1.176
860,constantmortality,5yearly,2070,0.828
860,highvariant,5yearly,2070,1.1
860,instantreplacement,5yearly,2070,1
860,lowvariant,5yearly,2070,0.626
860,mediumvariant,5yearly,2070,0.863
860,nochange,5yearly,2070,1.129
860,zeromigration,5yearly,2070,0.863
860,constantfertility,5yearly,2075,1.178
860,constantmortality,5yearly,2075,0.826
860,highvariant,5yearly,2075,1.101
860,instantreplacement,5yearly,2075,1
860,lowvariant,5yearly,2075,0.626
860,mediumvariant,5yearly,2075,0.863
860,nochange,5yearly,2075,1.129
860,zeromigration,5yearly,2075,0.863
860,constantfertility,5yearly,2080,1.18
860,constantmortality,5yearly,2080,0.826
860,highvariant,5yearly,2080,1.102
860,instantreplacement,5yearly,2080,1
860,lowvariant,5yearly,2080,0.627
860,mediumvariant,5yearly,2080,0.864
860,nochange,5yearly,2080,1.129
860,zeromigration,5yearly,2080,0.864
860,constantfertility,5yearly,2085,1.181
860,constantmortality,5yearly,2085,0.826
860,highvariant,5yearly,2085,1.104
860,instantreplacement,5yearly,2085,1
860,lowvariant,5yearly,2085,0.628
860,mediumvariant,5yearly,2085,0.866
860,nochange,5yearly,2085,1.129
860,zeromigration,5yearly,2085,0.866
860,constantfertility,5yearly,2090,1.183
860,constantmortality,5yearly,2090,0.826
860,highvariant,5yearly,2090,1.105
860,instantreplacement,5yearly,2090,1
860,lowvariant,5yearly,2090,0.629
860,mediumvariant,5yearly,2090,0.867
860,nochange,5yearly,2090,1.129
860,zeromigration,5yearly,2090,0.867
860,constantfertility,5yearly,2095,1.184
860,constantmortality,5yearly,2095,0.827
860,highvariant,5yearly,2095,1.108
860,instantreplacement,5yearly,2095,1
860,lowvariant,5yearly,2095,0.632
860,mediumvariant,5yearly,2095,0.87
860,nochange,5yearly,2095,1.129
860,zeromigration,5yearly,2095,0.87
