country,variant,freq,year,totaldeaths
512,zeromigration,5yearly,2055,279.896
512,constantfertility,5yearly,2060,262.049
512,constantmortality,5yearly,2060,351.61
512,highvariant,5yearly,2060,260.578
512,instantreplacement,5yearly,2060,259.306
512,lowvariant,5yearly,2060,257.979
512,mediumvariant,5yearly,2060,259.205
512,nochange,5yearly,2060,360.16
512,zeromigration,5yearly,2060,335.34
512,constantfertility,5yearly,2065,296.73
512,constantmortality,5yearly,2065,371.034
512,highvariant,5yearly,2065,294.949
512,instantreplacement,5yearly,2065,293.271
512,lowvariant,5yearly,2065,291.739
512,mediumvariant,5yearly,2065,293.251
512,nochange,5yearly,2065,382.096
512,zeromigration,5yearly,2065,391.328
512,constantfertility,5yearly,2070,324.854
512,constantmortality,5yearly,2070,380.975
512,highvariant,5yearly,2070,322.667
512,instantreplacement,5yearly,2070,320.251
512,lowvariant,5yearly,2070,318.455
512,mediumvariant,5yearly,2070,320.447
512,nochange,5yearly,2070,395.768
512,zeromigration,5yearly,2070,432.878
512,constantfertility,5yearly,2075,343.292
512,constantmortality,5yearly,2075,384.859
512,highvariant,5yearly,2075,340.536
512,instantreplacement,5yearly,2075,337.027
512,lowvariant,5yearly,2075,334.807
512,mediumvariant,5yearly,2075,337.528
512,nochange,5yearly,2075,405.284
512,zeromigration,5yearly,2075,442.282
512,constantfertility,5yearly,2080,351.382
512,constantmortality,5yearly,2080,385.648
512,highvariant,5yearly,2080,347.769
512,instantreplacement,5yearly,2080,342.453
512,lowvariant,5yearly,2080,339.659
512,mediumvariant,5yearly,2080,343.535
512,nochange,5yearly,2080,415.065
512,zeromigration,5yearly,2080,411.522
512,constantfertility,5yearly,2085,353.425
512,constantmortality,5yearly,2085,386.142
512,highvariant,5yearly,2085,348.511
512,instantreplacement,5yearly,2085,340.57
512,lowvariant,5yearly,2085,336.79
512,mediumvariant,5yearly,2085,342.441
512,nochange,5yearly,2085,428.893
512,zeromigration,5yearly,2085,353.212
512,constantfertility,5yearly,2090,358.525
512,constantmortality,5yearly,2090,385.837
512,highvariant,5yearly,2090,351.621
512,instantreplacement,5yearly,2090,339.618
512,lowvariant,5yearly,2090,334.261
512,mediumvariant,5yearly,2090,342.685
512,nochange,5yearly,2090,447.084
512,zeromigration,5yearly,2090,301.737
512,constantfertility,5yearly,2095,369.921
512,constantmortality,5yearly,2095,382.05
512,highvariant,5yearly,2095,359.887
512,instantreplacement,5yearly,2095,341.037
512,lowvariant,5yearly,2095,333.319
512,mediumvariant,5yearly,2095,346.284
512,nochange,5yearly,2095,468.114
512,zeromigration,5yearly,2095,282.043
